Project,now,before,Difference
Chart1,37,42,5
Chart2,95,92,-3
Chart3,1,3,2
Chart4,231,171,-60
Chart5,5,8,3
Chart6,84,57,-27
Chart7,45,81,36
Chart8,2,1,-1
Chart9,10,14,4
Chart10,1,3,2
Chart11,11,5,-6
Chart12,20,13,-7
Chart13,40,47,7
Chart14,16,6,-10
Chart15,29,29,0
Chart16,1,1,0
Chart17,2,2,0
Chart18,3,3,0
Chart19,1,1,0
Chart20,15,5,-10
Chart21,2,3,1
Chart22,11,12,1
Chart24,1,3,2
Chart25,2556,2640,84
Chart26,143,134,-9
Closure1,258,240,-18
Closure2,88,95,7
Closure3,311,279,-32
Closure4,272,168,-104
Closure5,138,154,16
Closure6,1,1,0
Closure7,1,2,1
Closure8,115,123,8
Closure9,1,1,0
Closure10,207,264,57
Closure11,3012,2712,-300
Closure12,3106,1081,-2025
Closure13,6929,5651,-1278
Closure14,3,3,0
Closure15,176,185,9
Closure16,110,111,1
Closure17,132,114,-18
Closure18,2348,1805,-543
Closure19,1,1,0
Closure20,12,2,-10
Closure21,13,7,-6
Closure22,5,2,-3
Closure23,7,8,1
Closure24,1,1,0
Closure25,107,107,0
Closure26,10,5,-5
Closure27,8,3,-5
Closure29,348,394,46
Closure30,223,222,-1
Closure31,2428,1492,-936
Closure32,39,35,-4
Closure33,1451,573,-878
Closure34,700,199,-501
Closure35,5,6,1
Closure36,981,1062,81
Closure37,1725,967,-758
Closure38,914,284,-630
Closure39,34,68,34
Closure40,113,120,7
Closure41,1272,902,-370
Closure42,1,1,0
Closure43,2181,465,-1716
Closure44,1212,571,-641
Closure45,254,280,26
Closure46,1,1,0
Closure47,332,336,4
Closure48,1608,2192,584
Closure49,1129,1172,43
Closure50,88,88,0
Closure51,903,274,-629
Closure52,204,138,-66
Closure53,47,47,0
Closure54,36,39,3
Closure55,325,329,4
Closure56,68,59,-9
Closure57,46,48,2
Closure58,7,7,0
Closure59,4497,5974,1477
Closure60,21,29,8
Closure61,182,115,-67
Closure62,2,4,2
Closure63,2,4,2
Closure64,712,1556,844
Closure65,73,71,-2
Closure66,3174,2781,-393
Closure67,440,223,-217
Closure68,1,3,2
Closure69,1673,2435,762
Closure70,4758,2674,-2084
Closure71,1120,383,-737
Closure72,331,241,-90
Closure73,1266,1355,89
Closure74,73,71,-2
Closure75,8,8,0
Closure76,113,116,3
Closure77,1454,1329,-125
Closure78,2,1,-1
Closure79,61,49,-12
Closure80,11,20,9
Closure81,522,137,-385
Closure82,2005,599,-1406
Closure83,15,10,-5
Closure84,278,172,-106
Closure85,156,162,6
Closure86,2,2,0
Closure87,188,150,-38
Closure88,55,69,14
Closure89,382,164,-218
Closure90,72,46,-26
Closure91,306,284,-22
Closure92,85,85,0
Closure93,85,85,0
Closure94,4,4,0
Closure95,2869,1640,-1229
Closure96,782,424,-358
Closure97,14,1,-13
Closure98,281,425,144
Closure99,61,22,-39
Closure100,35,7,-28
Closure101,3292,2775,-517
Closure102,4346,4752,406
Closure103,353,290,-63
Closure104,6,13,7
Closure105,26,7,-19
Closure106,15,26,11
Closure107,148,132,-16
Closure108,262,237,-25
Closure109,46,33,-13
Closure110,2,2,0
Closure111,1,1,0
Closure112,89,89,0
Closure113,15,17,2
Closure114,2259,215,-2044
Closure115,8,8,0
Closure116,16,14,-2
Closure117,393,279,-114
Closure118,2,2,0
Closure120,867,285,-582
Closure121,620,388,-232
Closure122,8,9,1
Closure123,868,219,-649
Closure124,9,10,1
Closure125,548,563,15
Closure126,55,5,-50
Closure127,201,200,-1
Closure128,148,133,-15
Closure129,1751,2329,578
Closure130,449,545,96
Closure131,828,340,-488
Closure132,77,80,3
Closure133,557,597,40
Lang1,2,3,1
Lang2,4,3,-1
Lang3,2,3,1
Lang4,2,2,0
Lang5,1,1,0
Lang6,90,98,8
Lang7,150,122,-28
Lang8,8,8,0
Lang9,84,92,8
Lang10,49,48,-1
Lang11,3,3,0
Lang12,3,5,2
Lang13,1,5,4
Lang14,1,4,3
Lang15,196,191,-5
Lang16,26,27,1
Lang17,83,102,19
Lang18,51,41,-10
Lang19,6,8,2
Lang20,3,8,5
Lang21,1,2,1
Lang22,23,26,3
Lang24,14,64,50
Lang26,35,7,-28
Lang27,133,127,-6
Lang28,1,3,2
Lang30,5,8,3
Lang31,2,4,2
Lang32,5,26,21
Lang33,3,7,4
Lang34,58,61,3
Lang35,1,2,1
Lang36,56,42,-14
Lang37,1,6,5
Lang38,1,3,2
Lang39,10,27,17
Lang40,1,2,1
Lang41,7,6,-1
Lang42,14,13,-1
Lang43,1,6,5
Lang44,6,3,-3
Lang45,8,10,2
Lang46,1,1,0
Lang47,6,5,-1
Lang48,2,2,0
Lang49,2,1,-1
Lang50,13,8,-5
Lang53,20,16,-4
Lang54,4,3,-1
Lang55,6,7,1
Lang57,3,6,3
Lang58,22,20,-2
Lang59,3,6,3
Lang60,4,2,-2
Lang61,19,21,2
Lang62,1,4,3
Lang63,1,1,0
Lang64,4,4,0
Lang65,11,7,-4
Math1,13,11,-2
Math2,39,44,5
Math3,10,3,-7
Math4,14,17,3
Math5,2,1,-1
Math6,186,170,-16
Math7,43,42,-1
Math8,1,4,3
Math9,1,1,0
Math10,2,12,10
Math11,46,31,-15
Math13,119,159,40
Math14,133,99,-34
Math15,216,211,-5
Math16,213,214,1
Math17,207,258,51
Math18,21,14,-7
Math19,56,56,0
Math20,814,598,-216
Math21,46,41,-5
Math22,1,1,0
Math23,149,148,-1
Math24,150,150,0
Math25,1,1,0
Math26,329,38,-291
Math27,1,1,0
Math28,13,12,-1
Math29,1,6,5
Math30,31,41,10
Math31,89,101,12
Math32,7,4,-3
Math33,70,44,-26
Math34,2,3,1
Math35,1,3,2
Math36,2,2,0
Math37,9,6,-3
Math38,9,5,-4
Math39,93,117,24
Math40,38,33,-5
Math41,21,43,22
Math42,73,72,-1
Math43,96,62,-34
Math44,12,14,2
Math45,1,1,0
Math46,1,1,0
Math47,2,2,0
Math48,354,355,1
Math49,6,7,1
Math50,1,1,0
Math51,142,30,-112
Math52,24,22,-2
Math53,1,1,0
Math54,309,306,-3
Math55,1,1,0
Math56,7,20,13
Math57,6,4,-2
Math58,596,545,-51
Math59,2,2,0
Math60,37,36,-1
Math61,1,1,0
Math62,2,128,126
Math63,2,1,-1
Math64,178,143,-35
Math65,39,41,2
Math66,57,81,24
Math67,172,8,-164
Math68,127,127,0
Math69,22,44,22
Math70,1,1,0
Math71,1,1,0
Math72,2,1,-1
Math73,1,1,0
Math74,711,777,66
Math75,2,1,-1
Math76,50,99,49
Math77,3,19,16
Math78,116,117,1
Math79,31,29,-2
Math80,1,14,13
Math81,11,10,-1
Math82,149,151,2
Math83,27,40,13
Math84,33,45,12
Math85,85,77,-8
Math86,129,71,-58
Math87,127,115,-12
Math88,1,1,0
Math89,1,1,0
Math90,3,3,0
Math91,2,1,-1
Math92,2,2,0
Math93,2,2,0
Math94,15,6,-9
Math95,4,15,11
Math96,7,5,-2
Math97,2,1,-1
Math98,7,4,-3
Math99,2,4,2
Math100,15,9,-6
Math101,35,12,-23
Math102,3,3,0
Math103,35,32,-3
Math105,7,25,18
Math106,8,10,2
Mockito1,1,2,1
Mockito2,1,3,2
Mockito3,1,1,0
Mockito4,1,5,4
Mockito5,4060,4060,0
Mockito6,1,1,0
Mockito7,44,50,6
Mockito8,21,31,10
Mockito9,1827,1827,0
Mockito10,28,12,-16
Mockito11,1,1,0
Mockito12,1,2,1
Mockito13,150,85,-65
Mockito14,74,96,22
Mockito15,160,178,18
Mockito16,4,4,0
Mockito17,3,4,1
Mockito18,1,5,4
Mockito19,5,12,7
Mockito20,93,71,-22
Mockito21,1,1,0
Mockito22,41,11,-30
Mockito23,260,282,22
Mockito24,5,5,0
Mockito25,62,62,0
Mockito27,27,42,15
Mockito28,243,198,-45
Mockito29,27,31,4
Mockito30,2,1,-1
Mockito31,1,2,1
Mockito32,1,2,1
Mockito33,17,82,65
Mockito34,121,51,-70
Mockito35,1,1,0
Mockito36,4,4,0
Mockito37,19,4,-15
Mockito38,2,2,0
Time1,2,2,0
Time2,3,3,0
Time3,1,1,0
Time4,14,30,16
Time5,26,26,0
Time6,1,3,2
Time7,18,16,-2
Time8,20,24,4
Time9,3,3,0
Time10,122,197,75
Time11,433,448,15
Time12,7,4,-3
Time13,22,19,-3
Time14,4,5,1
Time15,3,2,-1
Time16,1,7,6
Time17,5,5,0
Time18,2,3,1
Time19,495,620,125
Time20,1241,942,-299
Time21,32,33,1
Time22,5,16,11
Time23,129,41,-88
Time24,390,466,76
Time25,287,306,19
Time26,359,396,37
Time27,152,346,194
