Project,MinRank1,MinRank2,Difference
Chart1,32,42,10
Chart2,91,92,1
Chart3,1,3,2
Chart4,267,171,-96
Chart5,3,8,5
Chart6,70,57,-13
Chart7,41,81,40
Chart8,2,1,-1
Chart9,10,14,4
Chart10,1,3,2
Chart11,11,5,-6
Chart12,20,13,-7
Chart13,40,47,7
Chart14,16,6,-10
Chart15,29,29,0
Chart16,7,1,-6
Chart17,2,2,0
Chart18,3,3,0
Chart19,1,1,0
Chart20,12,5,-7
Chart21,2,3,1
Chart22,11,12,1
Chart24,1,3,2
Chart25,2344,2640,296
Chart26,178,134,-44
Closure1,250,240,-10
Closure2,85,95,10
Closure3,307,279,-28
Closure4,217,168,-49
Closure5,138,154,16
Closure6,1,1,0
Closure7,1,2,1
Closure8,113,123,10
Closure9,1,1,0
Closure10,217,264,47
Closure11,2863,2712,-151
Closure12,1254,1081,-173
Closure13,6286,5651,-635
Closure14,3,3,0
Closure15,173,185,12
Closure16,104,111,7
Closure17,127,114,-13
Closure18,1543,1805,262
Closure19,1,1,0
Closure20,12,2,-10
Closure21,13,7,-6
Closure22,6,2,-4
Closure23,7,8,1
Closure24,1,1,0
Closure25,103,107,4
Closure26,12,5,-7
Closure27,8,3,-5
Closure29,339,394,55
Closure30,212,222,10
Closure31,1390,1492,102
Closure32,39,35,-4
Closure33,586,573,-13
Closure34,219,199,-20
Closure35,3,6,3
Closure36,954,1062,108
Closure37,1103,967,-136
Closure38,275,284,9
Closure39,43,68,25
Closure40,112,120,8
Closure41,2093,902,-1191
Closure42,1,1,0
Closure43,531,465,-66
Closure44,878,571,-307
Closure45,250,280,30
Closure46,1,1,0
Closure47,323,336,13
Closure48,1580,2192,612
Closure49,1100,1172,72
Closure50,80,88,8
Closure51,263,274,11
Closure52,161,138,-23
Closure53,47,47,0
Closure54,36,39,3
Closure55,313,329,16
Closure56,67,59,-8
Closure57,46,48,2
Closure58,10,7,-3
Closure59,5446,5974,528
Closure60,21,29,8
Closure61,110,115,5
Closure62,2,4,2
Closure63,2,4,2
Closure64,1394,1556,162
Closure65,72,71,-1
Closure66,3030,2781,-249
Closure67,339,223,-116
Closure68,1,3,2
Closure69,2344,2435,91
Closure70,3787,2674,-1113
Closure71,416,383,-33
Closure72,191,241,50
Closure73,1182,1355,173
Closure74,67,71,4
Closure75,7,8,1
Closure76,112,116,4
Closure77,1257,1329,72
Closure78,2,1,-1
Closure79,62,49,-13
Closure80,13,20,7
Closure81,145,137,-8
Closure82,863,599,-264
Closure83,10,10,0
Closure84,158,172,14
Closure85,140,162,22
Closure86,2,2,0
Closure87,153,150,-3
Closure88,13,69,56
Closure89,214,164,-50
Closure90,74,46,-28
Closure91,262,284,22
Closure92,84,85,1
Closure93,84,85,1
Closure94,1,4,3
Closure95,2839,1640,-1199
Closure96,403,424,21
Closure97,14,1,-13
Closure98,328,425,97
Closure99,108,22,-86
Closure100,95,7,-88
Closure101,3325,2775,-550
Closure102,4608,4752,144
Closure103,306,290,-16
Closure104,6,13,7
Closure105,26,7,-19
Closure106,16,26,10
Closure107,147,132,-15
Closure108,260,237,-23
Closure109,34,33,-1
Closure110,2,2,0
Closure111,1,1,0
Closure112,87,89,2
Closure113,15,17,2
Closure114,271,215,-56
Closure115,8,8,0
Closure116,16,14,-2
Closure117,266,279,13
Closure118,2,2,0
Closure120,305,285,-20
Closure121,336,388,52
Closure122,7,9,2
Closure123,268,219,-49
Closure124,9,10,1
Closure125,509,563,54
Closure126,55,5,-50
Closure127,196,200,4
Closure128,140,133,-7
Closure129,2162,2329,167
Closure130,416,545,129
Closure131,336,340,4
Closure132,76,80,4
Closure133,578,597,19
Lang1,3,3,0
Lang2,4,3,-1
Lang3,4,3,-1
Lang4,2,2,0
Lang5,1,1,0
Lang6,88,98,10
Lang7,154,122,-32
Lang8,7,8,1
Lang9,81,92,11
Lang10,59,48,-11
Lang11,4,3,-1
Lang12,4,5,1
Lang13,1,5,4
Lang14,1,4,3
Lang15,229,191,-38
Lang16,25,27,2
Lang17,80,102,22
Lang18,50,41,-9
Lang19,1,8,7
Lang20,3,8,5
Lang21,1,2,1
Lang22,22,26,4
Lang24,14,64,50
Lang26,14,7,-7
Lang27,130,127,-3
Lang28,1,3,2
Lang30,9,8,-1
Lang31,2,4,2
Lang32,5,26,21
Lang33,3,7,4
Lang34,54,61,7
Lang35,1,2,1
Lang36,61,42,-19
Lang37,1,6,5
Lang38,1,3,2
Lang39,9,27,18
Lang40,2,2,0
Lang41,7,6,-1
Lang42,12,13,1
Lang43,1,6,5
Lang44,6,3,-3
Lang45,8,10,2
Lang46,1,1,0
Lang47,8,5,-3
Lang48,2,2,0
Lang49,2,1,-1
Lang50,11,8,-3
Lang53,20,16,-4
Lang54,7,3,-4
Lang55,7,7,0
Lang57,3,6,3
Lang58,29,20,-9
Lang59,3,6,3
Lang60,5,2,-3
Lang61,14,21,7
Lang62,1,4,3
Lang63,1,1,0
Lang64,1,4,3
Lang65,11,7,-4
Math1,9,11,2
Math2,35,44,9
Math3,10,3,-7
Math4,17,17,0
Math5,2,1,-1
Math6,173,170,-3
Math7,63,42,-21
Math8,1,4,3
Math9,1,1,0
Math10,2,12,10
Math11,43,31,-12
Math13,119,159,40
Math14,133,99,-34
Math15,213,211,-2
Math16,189,214,25
Math17,222,258,36
Math18,19,14,-5
Math19,50,56,6
Math20,806,598,-208
Math21,33,41,8
Math22,1,1,0
Math23,166,148,-18
Math24,150,150,0
Math25,3,1,-2
Math26,124,38,-86
Math27,1,1,0
Math28,12,12,0
Math29,1,6,5
Math30,31,41,10
Math31,101,101,0
Math32,7,4,-3
Math33,73,44,-29
Math34,2,3,1
Math35,1,3,2
Math36,2,2,0
Math37,9,6,-3
Math38,9,5,-4
Math39,93,117,24
Math40,38,33,-5
Math41,21,43,22
Math42,286,72,-214
Math43,101,62,-39
Math44,12,14,2
Math45,1,1,0
Math46,1,1,0
Math47,2,2,0
Math48,345,355,10
Math49,5,7,2
Math50,1,1,0
Math51,72,30,-42
Math52,24,22,-2
Math53,1,1,0
Math54,285,306,21
Math55,1,1,0
Math56,7,20,13
Math57,11,4,-7
Math58,536,545,9
Math59,2,2,0
Math60,37,36,-1
Math61,1,1,0
Math62,2,128,126
Math63,2,1,-1
Math64,185,143,-42
Math65,39,41,2
Math66,27,81,54
Math67,172,8,-164
Math68,123,127,4
Math69,22,44,22
Math70,1,1,0
Math71,1,1,0
Math72,2,1,-1
Math73,1,1,0
Math74,697,777,80
Math75,2,1,-1
Math76,47,99,52
Math77,3,19,16
Math78,117,117,0
Math79,28,29,1
Math80,1,14,13
Math81,11,10,-1
Math82,143,151,8
Math83,29,40,11
Math84,45,45,0
Math85,85,77,-8
Math86,140,71,-69
Math87,119,115,-4
Math88,1,1,0
Math89,1,1,0
Math90,4,3,-1
Math91,2,1,-1
Math92,2,2,0
Math93,2,2,0
Math94,15,6,-9
Math95,4,15,11
Math96,6,5,-1
Math97,2,1,-1
Math98,7,4,-3
Math99,2,4,2
Math100,15,9,-6
Math101,54,12,-42
Math102,3,3,0
Math103,34,32,-2
Math105,7,25,18
Math106,8,10,2
Mockito1,1,2,1
Mockito2,1,3,2
Mockito3,1,1,0
Mockito4,1,5,4
Mockito5,4060,4060,0
Mockito6,1,1,0
Mockito7,41,50,9
Mockito8,16,31,15
Mockito9,1827,1827,0
Mockito10,28,12,-16
Mockito11,1,1,0
Mockito12,9,2,-7
Mockito13,120,85,-35
Mockito14,82,96,14
Mockito15,181,178,-3
Mockito16,4,4,0
Mockito17,2,4,2
Mockito18,1,5,4
Mockito19,5,12,7
Mockito20,85,71,-14
Mockito21,1,1,0
Mockito22,10,11,1
Mockito23,249,282,33
Mockito24,4,5,1
Mockito25,62,62,0
Mockito26,2995,-1,-1
Mockito27,28,42,14
Mockito28,232,198,-34
Mockito29,39,31,-8
Mockito30,5,1,-4
Mockito31,1,2,1
Mockito32,3,2,-1
Mockito33,41,82,41
Mockito34,77,51,-26
Mockito35,1,1,0
Mockito36,4,4,0
Mockito37,58,4,-54
Mockito38,2,2,0
Time1,2,2,0
Time2,3,3,0
Time3,1,1,0
Time4,14,30,16
Time5,27,26,-1
Time6,2,3,1
Time7,18,16,-2
Time8,22,24,2
Time9,3,3,0
Time10,117,197,80
Time11,421,448,27
Time12,7,4,-3
Time13,22,19,-3
Time14,3,5,2
Time15,3,2,-1
Time16,1,7,6
Time17,5,5,0
Time18,2,3,1
Time19,568,620,52
Time20,926,942,16
Time21,31,33,2
Time22,5,16,11
Time23,111,41,-70
Time24,379,466,87
Time25,290,306,16
Time26,364,396,32
Time27,268,346,78
