Project,now,before,Difference
Chart1,26,42,16
Chart2,125,137,12
Chart3,1,3,2
Chart4,398,17,-381
Chart5,1,8,7
Chart6,20,16,-4
Chart7,44,81,37
Chart8,2,1,-1
Chart9,10,14,4
Chart10,1,3,2
Chart11,11,5,-6
Chart12,34,13,-21
Chart13,42,47,5
Chart14,336,317,-19
Chart15,38,29,-9
Chart16,13,1,-12
Chart17,2,2,0
Chart18,3,3,0
Chart19,467,474,7
Chart20,8,5,-3
Chart21,3,3,0
Chart22,66,61,-5
Chart24,1,3,2
Chart25,2667,2745,78
Chart26,1122,134,-988
Closure1,768,121,-647
Closure2,1684,1666,-18
Closure3,503,275,-228
Closure4,362,157,-205
Closure5,111,154,43
Closure6,3639,3885,246
Closure7,678,909,231
Closure8,13,123,110
Closure9,1,1,0
Closure10,2774,2889,115
Closure11,3213,2641,-572
Closure12,1148,1081,-67
Closure13,5688,5651,-37
Closure14,29,1,-28
Closure15,56,185,129
Closure16,11,2,-9
Closure17,2470,2301,-169
Closure18,560,661,101
Closure19,2289,2272,-17
Closure20,29,2,-27
Closure21,2804,2788,-16
Closure22,2805,2787,-18
Closure23,24,8,-16
Closure24,3,1,-2
Closure25,29,107,78
Closure26,1962,2181,219
Closure27,190,35,-155
Closure29,157,184,27
Closure30,117,102,-15
Closure31,367,409,42
Closure32,676,673,-3
Closure33,2657,2576,-81
Closure34,9,6,-3
Closure35,10,6,-4
Closure36,745,1062,317
Closure37,304,171,-133
Closure38,8,7,-1
Closure39,603,662,59
Closure40,25,35,10
Closure41,2328,2163,-165
Closure42,3,1,-2
Closure43,2603,2222,-381
Closure44,375,153,-222
Closure45,254,280,26
Closure46,23,1,-22
Closure47,2370,1914,-456
Closure48,2320,2324,4
Closure49,379,96,-283
Closure50,5,76,71
Closure51,8,13,5
Closure52,2014,2028,14
Closure53,48,47,-1
Closure54,1349,1478,129
Closure55,313,329,16
Closure56,504,593,89
Closure57,1630,1729,99
Closure58,46,7,-39
Closure59,1778,2114,336
Closure60,1831,2348,517
Closure61,1924,1895,-29
Closure62,25,13,-12
Closure63,25,13,-12
Closure64,308,364,56
Closure65,2485,2328,-157
Closure66,3055,2557,-498
Closure67,229,116,-113
Closure68,6,3,-3
Closure69,2510,2275,-235
Closure70,3628,2295,-1333
Closure71,3165,2498,-667
Closure72,192,241,49
Closure73,1973,1977,4
Closure74,12,10,-2
Closure75,2298,2358,60
Closure76,35,79,44
Closure77,1961,1956,-5
Closure78,33,1,-32
Closure79,1813,1676,-137
Closure80,1233,1615,382
Closure81,3,1,-2
Closure82,412,164,-248
Closure83,10,10,0
Closure84,11,9,-2
Closure85,12,86,74
Closure86,725,1947,1222
Closure87,154,150,-4
Closure88,11,69,58
Closure89,798,133,-665
Closure90,2544,1579,-965
Closure91,285,284,-1
Closure92,259,85,-174
Closure93,260,85,-175
Closure94,671,1463,792
Closure95,2348,1192,-1156
Closure96,2029,2028,-1
Closure97,33,1,-32
Closure98,334,425,91
Closure99,66,4,-62
Closure100,1469,1428,-41
Closure101,3662,2775,-887
Closure102,4666,4752,86
Closure103,1874,1805,-69
Closure104,238,533,295
Closure105,7,7,0
Closure106,1528,1826,298
Closure107,140,132,-8
Closure108,255,237,-18
Closure109,206,137,-69
Closure110,2016,1931,-85
Closure111,26,1,-25
Closure112,42,64,22
Closure113,11,17,6
Closure114,249,215,-34
Closure115,5,8,3
Closure116,14,3,-11
Closure117,1784,1845,61
Closure118,218,2,-216
Closure120,2685,2413,-272
Closure121,338,388,50
Closure122,223,233,10
Closure123,2230,2096,-134
Closure124,50,10,-40
Closure125,1801,1913,112
Closure126,45,5,-40
Closure127,219,187,-32
Closure128,1797,1949,152
Closure129,316,330,14
Closure130,448,545,97
Closure131,1669,1696,27
Closure132,18,80,62
Closure133,590,597,7
Lang1,6,3,-3
Lang2,4,3,-1
Lang3,6,3,-3
Lang4,2,2,0
Lang5,1,1,0
Lang6,89,98,9
Lang7,116,122,6
Lang8,194,189,-5
Lang9,46,55,9
Lang10,56,17,-39
Lang11,3,3,0
Lang12,2,4,2
Lang13,2,5,3
Lang14,1,4,3
Lang15,66,12,-54
Lang16,8,27,19
Lang17,94,102,8
Lang18,59,41,-18
Lang19,1,6,5
Lang20,22,27,5
Lang21,1,2,1
Lang22,10,14,4
Lang24,28,64,36
Lang26,10,7,-3
Lang27,128,127,-1
Lang28,1,3,2
Lang30,27,30,3
Lang31,2,4,2
Lang32,4,26,22
Lang33,3,7,4
Lang34,47,5,-42
Lang35,5,2,-3
Lang36,58,42,-16
Lang37,1,6,5
Lang38,1,3,2
Lang39,10,27,17
Lang40,1,2,1
Lang41,39,38,-1
Lang42,14,13,-1
Lang43,1,6,5
Lang44,6,3,-3
Lang45,8,10,2
Lang46,1,1,0
Lang47,38,35,-3
Lang48,2,2,0
Lang49,2,1,-1
Lang50,59,134,75
Lang53,20,16,-4
Lang54,6,3,-3
Lang55,6,7,1
Lang57,3,6,3
Lang58,32,20,-12
Lang59,3,6,3
Lang60,17,2,-15
Lang61,7,8,1
Lang62,1,4,3
Lang63,2,1,-1
Lang64,1,4,3
Lang65,11,7,-4
Math1,365,356,-9
Math2,38,44,6
Math3,10,3,-7
Math4,73,76,3
Math5,2,1,-1
Math6,36,70,34
Math7,92,42,-50
Math8,1,4,3
Math9,1,1,0
Math10,8,12,4
Math11,46,31,-15
Math13,116,159,43
Math14,125,99,-26
Math15,225,217,-8
Math16,252,252,0
Math17,261,258,-3
Math18,19,14,-5
Math19,45,56,11
Math20,806,598,-208
Math21,29,41,12
Math22,53,53,0
Math23,149,148,-1
Math24,150,150,0
Math25,1,1,0
Math26,71,38,-33
Math27,2,1,-1
Math28,10,12,2
Math29,129,194,65
Math30,31,41,10
Math31,19,28,9
Math32,10,4,-6
Math33,49,44,-5
Math34,2,3,1
Math35,1,3,2
Math36,160,356,196
Math37,250,249,-1
Math38,9,5,-4
Math39,91,117,26
Math40,43,33,-10
Math41,21,43,22
Math42,75,72,-3
Math43,94,44,-50
Math44,40,14,-26
Math45,1,1,0
Math46,1,1,0
Math47,2,2,0
Math48,326,355,29
Math49,4,7,3
Math50,1,1,0
Math51,35,30,-5
Math52,24,22,-2
Math53,1,1,0
Math54,311,306,-5
Math55,1,1,0
Math56,7,20,13
Math57,6,4,-2
Math58,609,545,-64
Math59,107,2,-105
Math60,37,36,-1
Math61,15,1,-14
Math62,2,128,126
Math63,2,1,-1
Math64,178,143,-35
Math65,72,41,-31
Math66,7,35,28
Math67,172,8,-164
Math68,128,127,-1
Math69,22,44,22
Math70,1,1,0
Math71,227,277,50
Math72,7,1,-6
Math73,4,1,-3
Math74,709,777,68
Math75,2,1,-1
Math76,45,99,54
Math77,7,21,14
Math78,102,117,15
Math79,8,29,21
Math80,1,14,13
Math81,11,10,-1
Math82,150,151,1
Math83,27,40,13
Math84,27,34,7
Math85,85,77,-8
Math86,60,18,-42
Math87,124,115,-9
Math88,1,1,0
Math89,1,1,0
Math90,3,3,0
Math91,2,1,-1
Math92,2,2,0
Math93,1,2,1
Math94,15,6,-9
Math95,3,15,12
Math96,5,5,0
Math97,2,1,-1
Math98,7,4,-3
Math99,26,27,1
Math100,14,9,-5
Math101,37,12,-25
Math102,5,3,-2
Math103,35,32,-3
Math105,7,25,18
Math106,8,10,2
Mockito1,150,2,-148
Mockito2,1,3,2
Mockito3,6,1,-5
Mockito4,671,633,-38
Mockito5,-1,3066,-1
Mockito6,856,856,0
Mockito7,42,50,8
Mockito8,20,31,11
Mockito9,-1,1683,-1
Mockito10,31,12,-19
Mockito11,1,1,0
Mockito12,5,2,-3
Mockito13,113,85,-28
Mockito14,83,96,13
Mockito15,144,178,34
Mockito16,3,4,1
Mockito17,3,4,1
Mockito18,1,5,4
Mockito19,4,12,8
Mockito20,59,29,-30
Mockito21,1,1,0
Mockito22,10,11,1
Mockito23,591,567,-24
Mockito24,560,619,59
Mockito25,4,46,42
Mockito27,494,507,13
Mockito28,215,198,-17
Mockito29,53,31,-22
Mockito30,12,1,-11
Mockito31,5,2,-3
Mockito32,41,2,-39
Mockito33,22,52,30
Mockito34,45,27,-18
Mockito35,424,423,-1
Mockito36,1,1,0
Mockito37,11,3,-8
Mockito38,1,1,0
Time1,21,2,-19
Time2,24,3,-21
Time3,3,1,-2
Time4,10,30,20
Time5,35,2,-33
Time6,152,24,-128
Time7,37,16,-21
Time8,9,24,15
Time9,31,3,-28
Time10,4,188,184
Time11,433,448,15
Time12,1582,1581,-1
Time13,19,19,0
Time14,179,4,-175
Time15,2,2,0
Time16,1,7,6
Time17,7,5,-2
Time18,2,3,1
Time19,480,620,140
Time20,1719,1702,-17
Time21,294,309,15
Time22,1,15,14
Time23,36,40,4
Time24,271,458,187
Time25,184,187,3
Time26,434,398,-36
Time27,269,346,77
