Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,29,42,13
Chart2,org.jfree.data.general.DatasetUtilities#755,116,147,31
Chart2,org.jfree.data.general.DatasetUtilities#757,145,149,4
Chart2,org.jfree.data.general.DatasetUtilities#758,1122,1122,0
Chart2,org.jfree.data.general.DatasetUtilities#761,1123,1123,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,106,137,31
Chart2,org.jfree.data.general.DatasetUtilities#1243,114,138,24
Chart2,org.jfree.data.general.DatasetUtilities#1245,1115,1115,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,1116,1116,0
Chart3,org.jfree.data.time.TimeSeries#1056,8,3,-5
Chart3,org.jfree.data.time.TimeSeries#1057,1,4,3
Chart4,org.jfree.chart.plot.XYPlot#4493,445,17,-428
Chart5,org.jfree.data.xy.XYSeries#548,1,8,7
Chart6,org.jfree.chart.util.ShapeList#111,21,16,-5
Chart7,org.jfree.data.time.TimePeriodValues#300,42,81,39
Chart7,org.jfree.data.time.TimePeriodValues#302,51,82,31
Chart8,org.jfree.data.time.Week#175,2,1,-1
Chart9,org.jfree.data.time.TimeSeries#944,13,14,1
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,3,2
Chart11,org.jfree.chart.util.ShapeUtilities#275,11,5,-6
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,69,13,-56
Chart13,org.jfree.chart.block.BorderArrangement#454,51,47,-4
Chart14,org.jfree.chart.plot.XYPlot#2293,327,330,3
Chart14,org.jfree.chart.plot.XYPlot#2529,322,337,15
Chart14,org.jfree.chart.plot.CategoryPlot#2166,325,317,-8
Chart14,org.jfree.chart.plot.CategoryPlot#2448,329,324,-5
Chart15,org.jfree.chart.plot.PiePlot#1379,7454,7415,-39
Chart15,org.jfree.chart.plot.PiePlot#2051,172,29,-143
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,16,1,-15
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,22,2,-20
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,35,37,2
Chart17,org.jfree.data.time.TimeSeries#857,3,2,-1
Chart18,org.jfree.data.DefaultKeyedValues#318,4,3,-1
Chart18,org.jfree.data.DefaultKeyedValues#335,21,26,5
Chart18,org.jfree.data.DefaultKeyedValues2D#455,32,27,-5
