Project,MinRank1,MinRank2,Difference
Chart1,29,42,13
Chart2,106,137,31
Chart3,1,3,2
Chart4,445,17,-428
Chart5,1,8,7
Chart6,21,16,-5
Chart7,42,81,39
Chart8,2,1,-1
Chart9,13,14,1
Chart10,1,3,2
Chart11,11,5,-6
Chart12,69,13,-56
Chart13,51,47,-4
Chart14,322,317,-5
Chart15,172,29,-143
Chart16,16,1,-15
Chart17,3,2,-1
Chart18,4,3,-1
Chart19,424,474,50
Chart20,14,5,-9
Chart21,4,3,-1
Chart22,64,61,-3
Chart24,1,3,2
Chart25,2630,2745,115
Chart26,1342,134,-1208
Closure1,1499,121,-1378
Closure2,1614,1666,52
Closure3,609,275,-334
Closure4,1138,157,-981
Closure5,119,154,35
Closure6,3497,3885,388
Closure7,592,909,317
Closure8,9,123,114
Closure9,1,1,0
Closure10,2652,2889,237
Closure11,3153,2641,-512
Closure12,1227,1081,-146
Closure13,5623,5651,28
Closure14,36,1,-35
Closure15,42,185,143
Closure16,31,2,-29
Closure17,2393,2301,-92
Closure18,746,661,-85
Closure19,2194,2272,78
Closure20,39,2,-37
Closure21,2671,2788,117
Closure22,2675,2787,112
Closure23,34,8,-26
Closure24,9,1,-8
Closure25,29,107,78
Closure26,1746,2181,435
Closure27,195,35,-160
Closure29,162,184,22
Closure30,188,102,-86
Closure31,542,409,-133
Closure32,595,673,78
Closure33,2553,2576,23
Closure34,93,6,-87
Closure35,15,6,-9
Closure36,914,1062,148
Closure37,485,171,-314
Closure38,42,7,-35
Closure39,551,662,111
Closure40,45,35,-10
Closure41,2168,2163,-5
Closure42,11,1,-10
Closure43,2573,2222,-351
Closure44,583,153,-430
Closure45,205,280,75
Closure46,33,1,-32
Closure47,2344,1914,-430
Closure48,2250,2324,74
Closure49,385,96,-289
Closure50,6,76,70
Closure51,37,13,-24
Closure52,1967,2028,61
Closure53,65,47,-18
Closure54,1274,1478,204
Closure55,266,329,63
Closure56,449,593,144
Closure57,1546,1729,183
Closure58,70,7,-63
Closure59,1633,2114,481
Closure60,1614,2348,734
Closure61,1780,1895,115
Closure62,26,13,-13
Closure63,26,13,-13
Closure64,332,364,32
Closure65,2471,2328,-143
Closure66,2942,2557,-385
Closure67,403,116,-287
Closure68,8,3,-5
Closure69,2332,2275,-57
Closure70,3572,2295,-1277
Closure71,2739,2498,-241
Closure72,131,241,110
Closure73,1879,1977,98
Closure74,14,10,-4
Closure75,2187,2358,171
Closure76,43,79,36
Closure77,1875,1956,81
Closure78,61,1,-60
Closure79,1817,1676,-141
Closure80,1200,1615,415
Closure81,43,1,-42
Closure82,423,164,-259
Closure83,10,10,0
Closure84,13,9,-4
Closure85,8,86,78
Closure86,530,1947,1417
Closure87,150,150,0
Closure88,37,69,32
Closure89,1286,133,-1153
Closure90,3163,1579,-1584
Closure91,254,284,30
Closure92,461,85,-376
Closure93,461,85,-376
Closure94,466,1463,997
Closure95,2489,1192,-1297
Closure96,2004,2028,24
Closure97,43,1,-42
Closure98,172,425,253
Closure99,599,4,-595
Closure100,1457,1428,-29
Closure101,3560,2775,-785
Closure102,4303,4752,449
Closure103,1821,1805,-16
Closure104,228,533,305
Closure105,9,7,-2
Closure106,1318,1826,508
Closure107,124,132,8
Closure108,248,237,-11
Closure109,216,137,-79
Closure110,1923,1931,8
Closure111,51,1,-50
Closure112,55,64,9
Closure113,27,17,-10
Closure114,426,215,-211
Closure115,3,8,5
Closure116,28,3,-25
Closure117,1725,1845,120
Closure118,410,2,-408
Closure120,2628,2413,-215
Closure121,325,388,63
Closure122,206,233,27
Closure123,2190,2096,-94
Closure124,69,10,-59
Closure125,1743,1913,170
Closure126,48,5,-43
Closure127,412,187,-225
Closure128,1683,1949,266
Closure129,271,330,59
Closure130,363,545,182
Closure131,1552,1696,144
Closure132,28,80,52
Closure133,573,597,24
Lang1,8,3,-5
Lang2,4,3,-1
Lang3,9,3,-6
Lang4,3,2,-1
Lang5,1,1,0
Lang6,89,98,9
Lang7,113,122,9
Lang8,163,189,26
Lang9,45,55,10
Lang10,64,17,-47
Lang11,3,3,0
Lang12,3,4,1
Lang13,4,5,1
Lang14,1,4,3
Lang15,121,12,-109
Lang16,7,27,20
Lang17,80,102,22
Lang18,65,41,-24
Lang19,1,6,5
Lang20,6,27,21
Lang21,1,2,1
Lang22,9,14,5
Lang24,29,64,35
Lang26,13,7,-6
Lang27,128,127,-1
Lang28,1,3,2
Lang30,22,30,8
Lang31,2,4,2
Lang32,4,26,22
Lang33,3,7,4
Lang34,48,5,-43
Lang35,5,2,-3
Lang36,57,42,-15
Lang37,1,6,5
Lang38,1,3,2
Lang39,9,27,18
Lang40,3,2,-1
Lang41,29,38,9
Lang42,16,13,-3
Lang43,2,6,4
Lang44,6,3,-3
Lang45,9,10,1
Lang46,1,1,0
Lang47,33,35,2
Lang48,2,2,0
Lang49,2,1,-1
Lang50,51,134,83
Lang53,19,16,-3
Lang54,9,3,-6
Lang55,6,7,1
Lang57,3,6,3
Lang58,32,20,-12
Lang59,3,6,3
Lang60,20,2,-18
Lang61,7,8,1
Lang62,2,4,2
Lang63,2,1,-1
Lang64,1,4,3
Lang65,11,7,-4
Math1,328,356,28
Math2,29,44,15
Math3,10,3,-7
Math4,78,76,-2
Math5,2,1,-1
Math6,39,70,31
Math7,169,42,-127
Math8,1,4,3
Math9,1,1,0
Math10,11,12,1
Math11,36,31,-5
Math13,118,159,41
Math14,132,99,-33
Math15,250,217,-33
Math16,250,252,2
Math17,231,258,27
Math18,17,14,-3
Math19,26,56,30
Math20,788,598,-190
Math21,32,41,9
Math22,38,53,15
Math23,150,148,-2
Math24,144,150,6
Math25,3,1,-2
Math26,283,38,-245
Math27,3,1,-2
Math28,9,12,3
Math29,95,194,99
Math30,31,41,10
Math31,12,28,16
Math32,89,4,-85
Math33,55,44,-11
Math34,2,3,1
Math35,1,3,2
Math36,75,356,281
Math37,222,249,27
Math38,9,5,-4
Math39,86,117,31
Math40,59,33,-26
Math41,21,43,22
Math42,226,72,-154
Math43,96,44,-52
Math44,64,14,-50
Math45,1,1,0
Math46,1,1,0
Math47,2,2,0
Math48,276,355,79
Math49,6,7,1
Math50,3,1,-2
Math51,37,30,-7
Math52,24,22,-2
Math53,2,1,-1
Math54,310,306,-4
Math55,1,1,0
Math56,7,20,13
Math57,6,4,-2
Math58,546,545,-1
Math59,134,2,-132
Math60,34,36,2
Math61,110,1,-109
Math62,2,128,126
Math63,2,1,-1
Math64,180,143,-37
Math65,80,41,-39
Math66,7,35,28
Math67,172,8,-164
Math68,107,127,20
Math69,21,44,23
Math70,1,1,0
Math71,162,277,115
Math72,7,1,-6
Math73,4,1,-3
Math74,683,777,94
Math75,4,1,-3
Math76,42,99,57
Math77,6,21,15
Math78,111,117,6
Math79,8,29,21
Math80,1,14,13
Math81,15,10,-5
Math82,147,151,4
Math83,28,40,12
Math84,32,34,2
Math85,76,77,1
Math86,120,18,-102
Math87,117,115,-2
Math88,1,1,0
Math89,1,1,0
Math90,3,3,0
Math91,3,1,-2
Math92,2,2,0
Math93,1,2,1
Math94,14,6,-8
Math95,3,15,12
Math96,5,5,0
Math97,2,1,-1
Math98,15,4,-11
Math99,23,27,4
Math100,80,9,-71
Math101,54,12,-42
Math102,5,3,-2
Math103,30,32,2
Math105,7,25,18
Math106,11,10,-1
Mockito1,223,2,-221
Mockito2,1,3,2
Mockito3,21,1,-20
Mockito4,663,633,-30
Mockito5,3066,3066,0
Mockito6,852,856,4
Mockito7,37,50,13
Mockito8,16,31,15
Mockito9,628,1683,1055
Mockito10,39,12,-27
Mockito11,1,1,0
Mockito12,12,2,-10
Mockito13,122,85,-37
Mockito14,64,96,32
Mockito15,155,178,23
Mockito16,3,4,1
Mockito17,3,4,1
Mockito18,1,5,4
Mockito19,4,12,8
Mockito20,65,29,-36
Mockito21,1,1,0
Mockito22,10,11,1
Mockito23,570,567,-3
Mockito24,574,619,45
Mockito25,5,46,41
Mockito26,2995,-1,-1
Mockito27,481,507,26
Mockito28,210,198,-12
Mockito29,94,31,-63
Mockito30,17,1,-16
Mockito31,5,2,-3
Mockito32,78,2,-76
Mockito33,5,52,47
Mockito34,122,27,-95
Mockito35,396,423,27
Mockito36,1,1,0
Mockito37,114,3,-111
Mockito38,1,1,0
Time1,38,2,-36
Time2,28,3,-25
Time3,3,1,-2
Time4,11,30,19
Time5,50,2,-48
Time6,228,24,-204
Time7,111,16,-95
Time8,13,24,11
Time9,51,3,-48
Time10,5,188,183
Time11,346,448,102
Time12,1577,1581,4
Time13,27,19,-8
Time14,276,4,-272
Time15,4,2,-2
Time16,1,7,6
Time17,8,5,-3
Time18,2,3,1
Time19,262,620,358
Time20,1757,1702,-55
Time21,304,309,5
Time22,1,15,14
Time23,110,40,-70
Time24,259,458,199
