Project,now,before,Difference
Chart1,4667,4997,330
Chart2,979,1010,31
Chart3,1,367,366
Chart4,23567,22992,-575
Chart5,1,137,136
Chart6,654,650,-4
Chart7,399,435,36
Chart8,2,116,114
Chart9,10,411,401
Chart10,1,3,2
Chart11,148,142,-6
Chart12,2690,2328,-362
Chart13,42,47,5
Chart14,3075,6,-3069
Chart15,5056,5674,618
Chart16,1,1,0
Chart17,535,626,91
Chart18,6,3,-3
Chart19,1,1,0
Chart20,450,448,-2
Chart21,2,3,1
Chart22,18,12,-6
Chart24,1,3,2
Chart25,2547,2640,93
Chart26,1070,134,-936
Closure1,22395,21998,-397
Closure2,95,5968,5873
Closure3,12502,11851,-651
Closure4,11240,11222,-18
Closure5,9377,9551,174
Closure6,54,1,-53
Closure7,32,2,-30
Closure8,32,8719,8687
Closure9,1,1,0
Closure10,83,7124,7041
Closure11,14301,14008,-293
Closure12,15272,15178,-94
Closure13,24340,24214,-126
Closure14,9769,6287,-3482
Closure15,7897,10348,2451
Closure16,11351,11567,216
Closure17,9235,6665,-2570
Closure18,17226,17361,135
Closure19,79,1,-78
Closure20,30,2,-28
Closure21,22,51,29
Closure22,22,2,-20
Closure23,20,8,-12
Closure24,3,1,-2
Closure25,7155,8962,1807
Closure26,333,5,-328
Closure27,22,3,-19
Closure29,18782,18968,186
Closure30,11752,11758,6
Closure31,16482,16568,86
Closure32,11273,7508,-3765
Closure33,11476,11392,-84
Closure34,1572,1603,31
Closure35,9,5691,5682
Closure36,16154,17315,1161
Closure37,16684,16628,-56
Closure38,11124,11140,16
Closure39,9,789,780
Closure40,11437,11391,-46
Closure41,13396,12952,-444
Closure42,2,1852,1850
Closure43,12405,12326,-79
Closure44,11358,11138,-220
Closure45,10782,10809,27
Closure46,14,817,803
Closure47,11313,336,-10977
Closure48,11600,11706,106
Closure49,14317,14368,51
Closure50,33,6829,6796
Closure51,10515,10526,11
Closure52,8199,5924,-2275
Closure53,8043,7967,-76
Closure54,9856,9207,-649
Closure55,11995,11935,-60
Closure56,80,5824,5744
Closure57,66,4194,4128
Closure58,6104,5694,-410
Closure59,25620,25904,284
Closure60,242,9727,9485
Closure61,9103,9300,197
Closure62,104,40,-64
Closure63,104,40,-64
Closure64,4330,15912,11582
Closure65,7505,13,-7492
Closure66,13111,12718,-393
Closure67,9900,9850,-50
Closure68,11,48,37
Closure69,11598,11783,185
Closure70,14060,13038,-1022
Closure71,9494,8694,-800
Closure72,7003,7045,42
Closure73,9414,9280,-134
Closure74,7789,8071,282
Closure75,22,8,-14
Closure76,7310,5796,-1514
Closure77,242,188,-54
Closure78,15,1,-14
Closure79,9670,6210,-3460
Closure80,3,3361,3358
Closure81,3067,3041,-26
Closure82,14635,14561,-74
Closure83,15328,14934,-394
Closure84,2497,2530,33
Closure85,2978,3009,31
Closure86,7,5505,5498
Closure87,8939,8924,-15
Closure88,9,69,60
Closure89,11233,11574,341
Closure90,10213,6238,-3975
Closure91,11922,11997,75
Closure92,7630,5866,-1764
Closure93,7626,5879,-1747
Closure94,1,863,862
Closure95,15686,14561,-1125
Closure96,9910,10100,190
Closure97,6378,1,-6377
Closure98,11415,11500,85
Closure99,350,345,-5
Closure100,7926,6873,-1053
Closure101,22721,21984,-737
Closure102,21854,21975,121
Closure103,10710,10288,-422
Closure104,16,939,923
Closure105,15,7,-8
Closure106,2409,26,-2383
Closure107,23387,23500,113
Closure108,12907,12844,-63
Closure109,3401,2804,-597
Closure110,34,4586,4552
Closure111,8864,2748,-6116
Closure112,10688,10505,-183
Closure113,9,7843,7834
Closure114,15476,15351,-125
Closure115,11134,8,-11126
Closure116,15642,15601,-41
Closure117,10001,9975,-26
Closure118,10804,6331,-4473
Closure120,12260,10121,-2139
Closure121,14752,14822,70
Closure122,9,1599,1590
Closure123,10514,9114,-1400
Closure124,8810,8857,47
