Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,26,4997,4971
Chart2,org.jfree.data.general.DatasetUtilities#755,81,1058,977
Chart2,org.jfree.data.general.DatasetUtilities#757,102,1060,958
Chart2,org.jfree.data.general.DatasetUtilities#758,1115,1066,-49
Chart2,org.jfree.data.general.DatasetUtilities#761,1116,1067,-49
Chart2,org.jfree.data.general.DatasetUtilities#1242,66,1010,944
Chart2,org.jfree.data.general.DatasetUtilities#1243,74,1011,937
Chart2,org.jfree.data.general.DatasetUtilities#1245,1108,1050,-58
Chart2,org.jfree.data.general.DatasetUtilities#1248,1109,1051,-58
Chart3,org.jfree.data.time.TimeSeries#1056,7,367,360
Chart3,org.jfree.data.time.TimeSeries#1057,1,368,367
Chart4,org.jfree.chart.plot.XYPlot#4493,1166,22992,21826
Chart5,org.jfree.data.xy.XYSeries#548,1,137,136
Chart6,org.jfree.chart.util.ShapeList#111,106,650,544
Chart7,org.jfree.data.time.TimePeriodValues#300,47,435,388
Chart7,org.jfree.data.time.TimePeriodValues#302,56,436,380
Chart8,org.jfree.data.time.Week#175,2,116,114
Chart9,org.jfree.data.time.TimeSeries#944,10,411,401
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,3,2
Chart11,org.jfree.chart.util.ShapeUtilities#275,11,142,131
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,39,2328,2289
Chart13,org.jfree.chart.block.BorderArrangement#454,42,47,5
Chart14,org.jfree.chart.plot.XYPlot#2293,31,19,-12
Chart14,org.jfree.chart.plot.XYPlot#2529,26,26,0
Chart14,org.jfree.chart.plot.CategoryPlot#2166,28,6,-22
Chart14,org.jfree.chart.plot.CategoryPlot#2448,33,13,-20
Chart15,org.jfree.chart.plot.PiePlot#1379,7448,6501,-947
Chart15,org.jfree.chart.plot.PiePlot#2051,32,5674,5642
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,3,1,-2
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,5,2,-3
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,1,4,3
Chart17,org.jfree.data.time.TimeSeries#857,2,626,624
Chart18,org.jfree.data.DefaultKeyedValues#318,6,3,-3
Chart18,org.jfree.data.DefaultKeyedValues#335,20,9,-11
Chart18,org.jfree.data.DefaultKeyedValues2D#455,17,10,-7
Chart18,org.jfree.data.DefaultKeyedValues2D#458,11,13,2
Chart18,org.jfree.data.DefaultKeyedValues2D#460,9,15,6
Chart19,org.jfree.chart.plot.CategoryPlot#698,8,1,-7
Chart19,org.jfree.chart.plot.CategoryPlot#973,1,2,1
Chart20,org.jfree.chart.plot.ValueMarker#95,14,448,434
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,82,544,462
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,78,545,467
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,88,546,458
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,59,547,488
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,48,548,500
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,72,549,477
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,54,550,496
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,70,551,481
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,75,552,477
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,69,553,484
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,17,319,302
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,2,3,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,4,4,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,3,5,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,56,554,498
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,83,555,472
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,76,556,480
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,73,557,484
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,10,243,233
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#184,350,244,-106
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#185,351,245,-106
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#186,352,246,-106
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,7,267,260
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,6,268,262
Chart22,org.jfree.data.KeyedObjects2D#231,38,131,93
Chart22,org.jfree.data.KeyedObjects2D#233,40,133,93
Chart22,org.jfree.data.KeyedObjects2D#378,23,12,-11
Chart22,org.jfree.data.KeyedObjects2D#345,29,30,1
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,1,3,2
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,2349,2640,291
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,2469,2659,190
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,2775,2856,81
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,2719,2837,118
Chart26,org.jfree.chart.axis.Axis#1192,2199,134,-2065
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,4408,21998,17590
Closure2,com.google.javascript.jscomp.TypeCheck#1574,105,5968,5863
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,497,13891,13394
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,369,11851,11482
Closure4,com.google.javascript.rhino.jstype.NamedType#190,405,12068,11663
Closure4,com.google.javascript.rhino.jstype.NamedType#202,16247,11222,-5025
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,153,9702,9549
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,115,9551,9436
Closure6,com.google.javascript.jscomp.TypeValidator#366,129,9247,9118
Closure6,com.google.javascript.jscomp.TypeValidator#367,76,1,-75
Closure6,com.google.javascript.jscomp.TypeValidator#405,443,13925,13482
Closure6,com.google.javascript.jscomp.TypeValidator#406,115,2,-113
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,50,2,-48
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,20,8719,8699
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#183,2648,2627,-21
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,11,2596,2585
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,2,1,-1
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#124,1,2597,2596
Closure10,com.google.javascript.jscomp.NodeUtil#1417,87,7124,7037
Closure11,com.google.javascript.jscomp.TypeCheck#1314,1300,14086,12786
Closure11,com.google.javascript.jscomp.TypeCheck#1315,2341,14008,11667
Closure12,com.google.javascript.jscomp.MaybeReachingVariableUse#160,1123,15178,14055
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#126,5724,24214,18490
