Project,MinRank1,MinRank2,Difference
Chart1,26,4997,4971
Chart2,66,1010,944
Chart3,1,367,366
Chart4,1166,22992,21826
Chart5,1,137,136
Chart6,106,650,544
Chart7,47,435,388
Chart8,2,116,114
Chart9,10,411,401
Chart10,1,3,2
Chart11,11,142,131
Chart12,39,2328,2289
Chart13,42,47,5
Chart14,26,6,-20
Chart15,32,5674,5642
Chart16,1,1,0
Chart17,2,626,624
Chart18,6,3,-3
Chart19,1,1,0
Chart20,14,448,434
Chart21,2,3,1
Chart22,23,12,-11
Chart24,1,3,2
Chart25,2349,2640,291
Chart26,2199,134,-2065
Closure1,4408,21998,17590
Closure2,105,5968,5863
Closure3,369,11851,11482
Closure4,405,11222,10817
Closure5,115,9551,9436
Closure6,76,1,-75
Closure7,50,2,-48
Closure8,20,8719,8699
Closure9,1,1,0
Closure10,87,7124,7037
Closure11,1300,14008,12708
Closure12,1123,15178,14055
Closure13,5676,24214,18538
Closure14,257,6287,6030
Closure15,67,10348,10281
Closure16,166,11567,11401
Closure17,242,6665,6423
Closure18,2803,17361,14558
Closure19,91,1,-90
Closure20,31,2,-29
Closure21,23,51,28
Closure22,23,2,-21
Closure23,26,8,-18
Closure24,5,1,-4
Closure25,32,8962,8930
Closure26,426,5,-421
Closure27,25,3,-22
Closure29,1081,18968,17887
Closure30,266,11758,11492
Closure31,2314,16568,14254
Closure32,534,7508,6974
Closure33,492,11392,10900
Closure34,314,1603,1289
Closure35,11,5691,5680
Closure36,699,17315,16616
Closure37,2074,16628,14554
Closure38,477,11140,10663
Closure39,9,789,780
Closure40,119,11391,11272
Closure41,1140,12952,11812
Closure42,3,1852,1849
Closure43,694,12326,11632
Closure44,980,11138,10158
Closure45,255,10809,10554
Closure46,20,817,797
Closure47,1278,336,-942
Closure48,373,11706,11333
Closure49,2198,14368,12170
Closure50,21,6829,6808
Closure51,453,10526,10073
Closure52,263,5924,5661
Closure53,48,7967,7919
Closure54,205,9207,9002
Closure55,318,11935,11617
Closure56,87,5824,5737
Closure57,83,4194,4111
Closure58,48,5694,5646
Closure59,8681,25904,17223
Closure60,295,9727,9432
Closure61,185,9300,9115
Closure62,22,40,18
Closure63,22,40,18
Closure64,620,15912,15292
Closure65,313,13,-300
Closure66,1241,12718,11477
Closure67,492,9850,9358
Closure68,11,48,37
Closure69,870,11783,10913
Closure70,2611,13038,10427
Closure71,369,8694,8325
Closure72,201,7045,6844
Closure73,357,9280,8923
Closure74,150,8071,7921
Closure75,25,8,-17
Closure76,141,5796,5655
Closure77,357,188,-169
Closure78,30,1,-29
Closure79,392,6210,5818
Closure80,3,3361,3358
Closure81,195,3041,2846
Closure82,4460,14561,10101
Closure83,11,14934,14923
Closure84,217,2530,2313
Closure85,85,3009,2924
Closure86,7,5505,5498
Closure87,156,8924,8768
Closure88,8,69,61
