Project,now,before,Difference
Chart1,34,42,8
Chart2,100,92,-8
Chart3,1,3,2
Chart4,446,311,-135
Chart5,3,8,5
Chart6,653,650,-3
Chart7,397,435,38
Chart8,2,1,-1
Chart9,10,14,4
Chart10,-1,53,-1
Chart11,11,5,-6
Chart12,22,13,-9
Chart13,40,47,7
Chart14,16,6,-10
Chart15,31,29,-2
Chart16,1,1,0
Chart17,2,2,0
Chart18,3,3,0
Chart19,1,1,0
Chart20,451,448,-3
Chart21,2,3,1
Chart22,12,12,0
Chart24,1,3,2
Chart25,2520,2640,120
Chart26,168,134,-34
Closure1,21025,1744,-19281
Closure2,70,66,-4
Closure3,410,279,-131
Closure4,11384,9518,-1866
Closure5,140,154,14
Closure6,1,1,0
Closure7,1,2,1
Closure8,98,123,25
Closure9,1,1,0
Closure10,151,215,64
Closure11,14453,14008,-445
Closure12,15363,15178,-185
Closure13,24244,24214,-30
Closure14,4,4,0
Closure15,156,185,29
Closure16,163,205,42
Closure17,221,86,-135
Closure18,17197,17361,164
Closure19,1,1,0
Closure20,12,2,-10
Closure21,9,6,-3
Closure22,9,4,-5
Closure23,7,8,1
Closure24,1,1,0
Closure25,58,107,49
Closure26,13,5,-8
Closure27,9,3,-6
Closure29,438,447,9
Closure30,252,242,-10
Closure31,16436,16568,132
Closure32,87,35,-52
Closure33,12047,10413,-1634
Closure34,1642,1644,2
Closure35,3,6,3
Closure36,973,1062,89
Closure37,16611,16628,17
Closure38,11107,11132,25
Closure39,20,21,1
Closure40,118,120,2
Closure41,13236,12951,-285
Closure42,3,1,-2
Closure43,12609,12296,-313
Closure44,11153,11138,-15
Closure45,10644,10793,149
Closure46,1,1,0
Closure47,345,338,-7
Closure48,11357,11694,337
Closure49,11634,13810,2176
Closure50,78,88,10
Closure51,10497,10525,28
Closure52,8983,116,-8867
Closure53,52,47,-5
Closure54,91,55,-36
Closure55,10347,9947,-400
Closure56,80,65,-15
Closure57,37,25,-12
Closure58,10,7,-3
Closure59,25776,25904,128
Closure60,26,21,-5
Closure61,234,146,-88
Closure62,3,4,1
Closure63,3,4,1
Closure64,767,1481,714
Closure65,256,78,-178
Closure66,13518,12664,-854
Closure67,9904,9571,-333
Closure68,1,3,2
Closure69,590,11744,11154
Closure70,14535,13035,-1500
Closure71,533,227,-306
Closure72,7115,7121,6
Closure73,9451,9137,-314
Closure74,115,123,8
Closure75,8,8,0
Closure76,131,138,7
Closure77,400,370,-30
Closure78,2,1,-1
Closure79,164,51,-113
Closure80,7,13,6
Closure81,3092,3026,-66
Closure82,14686,14561,-125
Closure83,14923,12732,-2191
Closure84,2526,2543,17
Closure85,121,164,43
Closure86,1,2,1
Closure87,8772,8724,-48
Closure88,12,69,57
Closure89,122,142,20
Closure90,365,46,-319
Closure91,11496,11997,501
Closure92,122,85,-37
Closure93,122,85,-37
Closure94,1,4,3
Closure95,15133,14561,-572
Closure96,158,10045,9887
Closure97,14,1,-13
Closure98,10964,11498,534
Closure99,18,16,-2
Closure100,11,7,-4
Closure101,22858,21984,-874
Closure102,21691,21975,284
Closure103,444,288,-156
Closure104,7,13,6
Closure105,26,7,-19
Closure106,81,105,24
Closure107,187,132,-55
Closure108,12494,11732,-762
Closure109,3739,33,-3706
Closure110,3,2,-1
Closure111,1,1,0
Closure112,139,110,-29
Closure113,17,17,0
Closure114,16416,15347,-1069
Closure115,8,8,0
Closure116,65,31,-34
Closure117,166,10050,9884
Closure118,6,2,-4
Closure120,13634,226,-13408
Closure121,14551,14779,228
Closure122,6,9,3
Closure123,12647,139,-12508
Closure124,18,10,-8
Closure125,243,12959,12716
Closure126,56,5,-51
Closure127,214,210,-4
Closure128,118,102,-16
Closure129,24881,25226,345
Closure130,15612,16541,929
Closure131,11850,11546,-304
Closure132,70,80,10
Closure133,3833,4229,396
Lang1,3,3,0
Lang2,6,3,-3
Lang3,5,3,-2
Lang4,18,17,-1
Lang5,1,1,0
Lang6,2771,2766,-5
Lang7,154,122,-32
Lang8,8,6,-2
Lang9,632,648,16
Lang10,465,480,15
Lang11,3,3,0
Lang12,4,5,1
Lang13,1,5,4
Lang14,1,4,3
Lang15,222,217,-5
Lang16,20,27,7
Lang17,1206,1221,15
Lang18,54,41,-13
Lang19,5,8,3
Lang20,3,8,5
Lang21,1,2,1
Lang22,31,35,4
Lang24,14,64,50
Lang26,249,245,-4
Lang27,130,127,-3
Lang28,1,3,2
Lang30,6,8,2
Lang31,3,6,3
Lang32,5,26,21
Lang33,3,7,4
Lang34,80,475,395
Lang35,1,2,1
Lang36,62,42,-20
Lang37,1,6,5
Lang38,1,3,2
Lang39,10,27,17
Lang40,2,2,0
Lang41,7,6,-1
Lang42,14,13,-1
Lang43,1,6,5
Lang44,6,3,-3
Lang45,8,10,2
Lang46,1,1,0
Lang47,8,5,-3
Lang48,2,167,165
Lang49,2,1,-1
Lang50,10,8,-2
Lang53,20,16,-4
Lang54,6,3,-3
Lang55,7,36,29
Lang57,-1,48,-1
Lang58,28,20,-8
Lang59,3,6,3
Lang60,5,2,-3
Lang61,20,21,1
Lang62,1,4,3
Lang63,1,1,0
Lang64,1,4,3
Lang65,11,7,-4
Math1,8,8,0
Math2,36,44,8
Math3,10,3,-7
Math4,17,17,0
Math5,2,1,-1
Math6,174,170,-4
Math7,102,42,-60
Math8,1,4,3
Math9,1,1,0
Math10,2,12,10
Math11,46,31,-15
Math13,5315,5357,42
Math14,4640,4595,-45
Math15,2189,211,-1978
Math16,2,1,-1
Math17,513,591,78
Math18,19,14,-5
Math19,50,56,6
Math20,4373,4057,-316
Math21,35,46,11
Math22,1,1,0
Math23,1983,1982,-1
Math24,1983,1982,-1
Math25,1,1,0
Math26,2121,1846,-275
Math27,2,1,-1
Math28,13,12,-1
Math29,1,6,5
Math30,31,41,10
Math31,707,748,41
Math32,7,4,-3
Math33,2976,2967,-9
Math34,2,3,1
Math35,1,3,2
Math36,2,2,0
Math37,10,6,-4
Math38,9,5,-4
Math39,1954,2042,88
Math40,1506,33,-1473
Math41,21,43,22
Math42,3020,3004,-16
Math43,2013,2003,-10
Math44,37,14,-23
Math45,1,1,0
Math46,1,2,1
Math47,2,2,0
Math48,329,355,26
Math49,5,7,2
Math50,1,1,0
Math51,2259,2215,-44
Math52,24,22,-2
Math53,1,1,0
Math54,115,112,-3
Math55,1,1,0
Math56,7,20,13
Math57,6,4,-2
Math58,2140,2081,-59
Math59,2,2,0
Math60,40,36,-4
Math61,1,1,0
Math62,2,150,148
Math63,2,1,-1
Math64,192,180,-12
Math65,39,41,2
Math66,286,503,217
Math67,172,8,-164
Math68,331,333,2
Math69,22,44,22
Math70,1,1,0
Math71,1,1,0
Math72,2,1,-1
Math73,1,1,0
Math74,2424,2481,57
Math75,2,1,-1
Math76,1758,1889,131
Math77,3,19,16
Math78,360,366,6
Math79,29,29,0
Math80,1,14,13
Math81,11,10,-1
Math82,1804,1804,0
Math83,1647,1661,14
Math84,45,55,10
Math85,273,77,-196
Math86,463,446,-17
Math87,1673,1656,-17
Math88,1,1,0
Math89,1,1,0
Math90,45,54,9
Math91,2,1,-1
Math92,3,2,-1
Math93,2,2,0
Math94,213,204,-9
Math95,4,15,11
Math96,65,92,27
Math97,2,1,-1
Math98,7,4,-3
Math99,2,4,2
Math100,15,9,-6
Math101,100,39,-61
Math102,3,3,0
Math103,35,32,-3
Math105,47,68,21
Math106,8,10,2
Mockito1,1,2,1
Mockito2,14,916,902
Mockito3,4,1,-3
Mockito4,4,7,3
Mockito5,2979,2980,1
Mockito6,1,1,0
Mockito7,995,967,-28
Mockito8,140,155,15
Mockito9,1426,1077,-349
Mockito10,33,12,-21
Mockito11,1,1,0
Mockito12,1,2,1
Mockito13,1079,1030,-49
Mockito14,826,868,42
Mockito15,815,859,44
Mockito16,3,4,1
Mockito17,2,4,2
Mockito18,622,647,25
Mockito19,8,12,4
Mockito20,223,226,3
Mockito21,1,1,0
Mockito22,607,608,1
Mockito23,70,66,-4
Mockito24,1,1,0
Mockito25,60,63,3
Mockito27,19,37,18
Mockito28,870,853,-17
Mockito29,42,31,-11
Mockito30,8,1,-7
Mockito31,1,2,1
Mockito32,14,2,-12
Mockito33,947,1119,172
Mockito34,1688,1589,-99
Mockito35,1,1,0
Mockito36,4,4,0
Mockito37,841,809,-32
Mockito38,4,583,579
Time1,7,2,-5
Time2,9,3,-6
Time3,1,1,0
Time4,15,30,15
Time5,39,26,-13
Time6,5,4,-1
Time7,30,17,-13
Time8,16,24,8
Time9,3,3,0
Time10,98,199,101
Time11,433,448,15
Time12,9,7,-2
Time13,21,19,-2
Time14,3,5,2
Time15,5,2,-3
Time16,1,7,6
Time17,5,5,0
Time18,3,3,0
Time19,4879,5379,500
Time20,2426,339,-2087
Time21,27,33,6
Time22,4,16,12
Time23,1321,1301,-20
Time24,345,5370,5025
Time25,4735,5266,531
Time26,530,332,-198
Time27,3917,4502,585
