Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,34,42,8
Chart2,org.jfree.data.general.DatasetUtilities#755,108,102,-6
Chart2,org.jfree.data.general.DatasetUtilities#757,117,104,-13
Chart2,org.jfree.data.general.DatasetUtilities#758,1115,1077,-38
Chart2,org.jfree.data.general.DatasetUtilities#761,1116,1078,-38
Chart2,org.jfree.data.general.DatasetUtilities#1242,92,92,0
Chart2,org.jfree.data.general.DatasetUtilities#1243,99,93,-6
Chart2,org.jfree.data.general.DatasetUtilities#1245,1108,1070,-38
Chart2,org.jfree.data.general.DatasetUtilities#1248,1109,1071,-38
Chart3,org.jfree.data.time.TimeSeries#1056,7,3,-4
Chart3,org.jfree.data.time.TimeSeries#1057,1,4,3
Chart4,org.jfree.chart.plot.XYPlot#4493,431,311,-120
Chart5,org.jfree.data.xy.XYSeries#548,3,8,5
Chart6,org.jfree.chart.util.ShapeList#111,103,650,547
Chart7,org.jfree.data.time.TimePeriodValues#300,45,435,390
Chart7,org.jfree.data.time.TimePeriodValues#302,55,436,381
Chart8,org.jfree.data.time.Week#175,2,1,-1
Chart9,org.jfree.data.time.TimeSeries#944,10,14,4
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,53,52
Chart11,org.jfree.chart.util.ShapeUtilities#275,11,5,-6
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,22,13,-9
Chart13,org.jfree.chart.block.BorderArrangement#454,40,47,7
Chart14,org.jfree.chart.plot.XYPlot#2293,21,19,-2
Chart14,org.jfree.chart.plot.XYPlot#2529,17,26,9
Chart14,org.jfree.chart.plot.CategoryPlot#2166,19,6,-13
Chart14,org.jfree.chart.plot.CategoryPlot#2448,23,13,-10
Chart15,org.jfree.chart.plot.PiePlot#1379,7448,6542,-906
Chart15,org.jfree.chart.plot.PiePlot#2051,29,29,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,1,1,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,2,2,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,4,5,1
Chart17,org.jfree.data.time.TimeSeries#857,2,2,0
Chart18,org.jfree.data.DefaultKeyedValues#318,3,3,0
Chart18,org.jfree.data.DefaultKeyedValues#335,11,9,-2
Chart18,org.jfree.data.DefaultKeyedValues2D#455,12,10,-2
Chart18,org.jfree.data.DefaultKeyedValues2D#458,10,13,3
Chart18,org.jfree.data.DefaultKeyedValues2D#460,9,15,6
