Project,MinRank1,MinRank2,Difference
Chart1,34,42,8
Chart2,92,92,0
Chart3,1,3,2
Chart4,431,311,-120
Chart5,3,8,5
Chart6,103,650,547
Chart7,45,435,390
Chart8,2,1,-1
Chart9,10,14,4
Chart10,1,53,52
Chart11,11,5,-6
Chart12,22,13,-9
Chart13,40,47,7
Chart14,17,6,-11
Chart15,29,29,0
Chart16,1,1,0
Chart17,2,2,0
Chart18,3,3,0
Chart19,1,1,0
Chart20,20,448,428
Chart21,2,3,1
Chart22,12,12,0
Chart24,1,3,2
Chart25,2255,2640,385
Chart26,237,134,-103
Closure1,3214,1744,-1470
Closure2,68,66,-2
Closure3,403,279,-124
Closure4,525,9518,8993
Closure5,129,154,25
Closure6,1,1,0
Closure7,1,2,1
Closure8,93,123,30
Closure9,1,1,0
Closure10,138,215,77
Closure11,1510,14008,12498
Closure12,1166,15178,14012
Closure13,5650,24214,18564
Closure14,12,4,-8
Closure15,150,185,35
Closure16,153,205,52
Closure17,236,86,-150
Closure18,2685,17361,14676
Closure19,2,1,-1
Closure20,12,2,-10
Closure21,9,6,-3
Closure22,9,4,-5
Closure23,7,8,1
Closure24,1,1,0
Closure25,44,107,63
Closure26,13,5,-8
Closure27,11,3,-8
Closure29,398,447,49
Closure30,232,242,10
Closure31,2231,16568,14337
Closure32,100,35,-65
Closure33,629,10413,9784
Closure34,318,1644,1326
Closure35,2,6,4
Closure36,894,1062,168
Closure37,2061,16628,14567
Closure38,454,11132,10678
Closure39,20,21,1
Closure40,115,120,5
Closure41,1157,12951,11794
Closure42,4,1,-3
Closure43,769,12296,11527
Closure44,978,11138,10160
Closure45,234,10793,10559
Closure46,1,1,0
Closure47,352,338,-14
Closure48,360,11694,11334
Closure49,1862,13810,11948
Closure50,70,88,18
Closure51,427,10525,10098
Closure52,288,116,-172
Closure53,48,47,-1
Closure54,109,55,-54
Closure55,310,9947,9637
Closure56,75,65,-10
Closure57,32,25,-7
Closure58,14,7,-7
Closure59,8681,25904,17223
Closure60,20,21,1
Closure61,218,146,-72
Closure62,3,4,1
Closure63,3,4,1
Closure64,750,1481,731
Closure65,270,78,-192
Closure66,1431,12664,11233
Closure67,528,9571,9043
Closure68,1,3,2
Closure69,603,11744,11141
Closure70,3078,13035,9957
Closure71,492,227,-265
Closure72,179,7121,6942
Closure73,344,9137,8793
Closure74,103,123,20
Closure75,7,8,1
Closure76,131,138,7
