Project,now,before,Difference
Chart1,121,350,229
Chart2,125,108,-17
Chart3,18,86,68
Chart4,426,331,-95
Chart5,6,44,38
Chart6,25,38,13
Chart7,28,80,52
Chart8,4,8,4
Chart9,89,146,57
Chart10,1,3,2
Chart11,11,5,-6
Chart12,219,151,-68
Chart13,104,147,43
Chart14,336,329,-7
Chart15,469,399,-70
Chart16,20,19,-1
Chart17,30,63,33
Chart18,9,20,11
Chart19,479,487,8
Chart20,18,22,4
Chart21,28,106,78
Chart22,69,65,-4
Chart24,2,10,8
Chart25,2723,2879,156
Chart26,1268,172,-1096
Closure1,2219,1426,-793
Closure2,2562,2237,-325
Closure3,2756,1432,-1324
Closure4,3588,4379,791
Closure5,1451,1153,-298
Closure6,4129,4377,248
Closure7,1268,1482,214
Closure8,163,526,363
Closure9,1,10,9
Closure10,2852,2883,31
Closure11,3444,2770,-674
Closure12,3555,1797,-1758
Closure13,6126,4076,-2050
Closure14,1055,440,-615
Closure15,795,1356,561
Closure16,1320,1131,-189
Closure17,4012,3832,-180
Closure18,1507,550,-957
Closure19,2912,3558,646
Closure20,1403,1350,-53
Closure21,2859,2852,-7
Closure22,2860,2852,-8
Closure23,896,981,85
Closure24,753,1309,556
Closure25,1091,1594,503
Closure26,2049,2294,245
Closure27,368,43,-325
Closure29,1287,1122,-165
Closure30,1495,1209,-286
Closure31,1106,402,-704
Closure32,776,718,-58
Closure33,4013,5170,1157
Closure34,134,26,-108
Closure35,981,2308,1327
Closure36,3300,3702,402
Closure37,705,660,-45
Closure38,824,107,-717
Closure39,634,989,355
Closure40,1833,1012,-821
Closure41,2153,2116,-37
Closure42,245,165,-80
Closure43,3964,3486,-478
Closure44,722,90,-632
Closure45,930,1763,833
Closure46,366,690,324
Closure47,2426,2560,134
Closure48,3091,3583,492
Closure49,399,673,274
Closure50,358,1190,832
Closure51,819,104,-715
Closure52,2094,2024,-70
Closure53,1666,1016,-650
Closure54,1166,1634,468
Closure55,1637,928,-709
Closure56,591,633,42
Closure57,1737,1730,-7
Closure58,2020,775,-1245
Closure59,994,473,-521
Closure60,2395,2771,376
Closure61,1950,1918,-32
Closure62,34,47,13
Closure63,34,47,13
Closure64,933,521,-412
Closure65,2487,2378,-109
Closure66,3099,2746,-353
Closure67,1389,99,-1290
Closure68,361,145,-216
Closure69,2692,2907,215
Closure70,3860,3013,-847
Closure71,3681,2552,-1129
Closure72,550,1086,536
Closure73,1985,1964,-21
Closure74,519,927,408
Closure75,2385,2418,33
Closure76,608,961,353
Closure77,1964,1940,-24
Closure78,1252,1058,-194
Closure79,1857,1805,-52
Closure80,1545,1629,84
Closure81,461,123,-338
Closure82,419,207,-212
Closure83,146,96,-50
Closure84,202,107,-95
Closure85,269,1066,797
Closure86,1114,1996,882
Closure87,1262,1011,-251
Closure88,494,915,421
Closure89,1897,990,-907
Closure90,3561,1922,-1639
Closure91,444,62,-382
Closure92,1525,955,-570
Closure93,1525,955,-570
Closure94,1141,1467,326
Closure95,2338,1556,-782
Closure96,2443,2670,227
Closure97,1176,702,-474
Closure98,285,1282,997
Closure99,1180,28,-1152
Closure100,1520,1435,-85
Closure101,2494,573,-1921
Closure102,1004,2811,1807
Closure103,3057,1969,-1088
Closure104,644,886,242
Closure105,219,636,417
Closure106,1964,2011,47
Closure107,1702,585,-1117
Closure108,2319,1442,-877
Closure109,1136,162,-974
Closure110,2004,2645,641
Closure111,1989,1314,-675
Closure112,3295,2379,-916
Closure113,890,1207,317
Closure114,2859,1176,-1683
Closure115,78,878,800
Closure116,246,383,137
Closure117,2768,3025,257
Closure118,3866,1470,-2396
Closure120,3431,2913,-518
Closure121,1357,968,-389
Closure122,321,239,-82
Closure123,2266,2062,-204
Closure124,1128,812,-316
Closure125,2334,2672,338
Closure126,600,910,310
Closure127,1452,1286,-166
Closure128,1960,1958,-2
Closure129,444,1000,556
Closure130,445,462,17
Closure131,1909,2230,321
Closure132,501,1152,651
Closure133,731,617,-114
Lang1,24,33,9
Lang2,11,4,-7
Lang3,14,48,34
Lang4,2,3,1
Lang5,8,6,-2
Lang6,83,71,-12
Lang7,119,139,20
Lang8,227,262,35
Lang9,40,27,-13
Lang10,69,48,-21
Lang11,5,6,1
Lang12,2,4,2
Lang13,17,33,16
Lang14,1,5,4
Lang15,150,184,34
Lang16,12,47,35
Lang17,73,56,-17
Lang18,127,47,-80
Lang19,1,14,13
Lang20,24,28,4
Lang21,1,4,3
Lang22,12,22,10
Lang24,48,159,111
Lang26,50,87,37
Lang27,140,151,11
Lang28,4,30,26
Lang30,28,30,2
Lang31,2,26,24
Lang32,4,24,20
Lang33,9,58,49
Lang34,57,118,61
Lang35,8,22,14
Lang36,73,42,-31
Lang37,1,25,24
Lang38,14,103,89
Lang39,9,26,17
Lang40,3,4,1
Lang41,35,38,3
Lang42,27,7,-20
Lang43,7,27,20
