Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,121,350,229
Chart2,org.jfree.data.general.DatasetUtilities#755,129,108,-21
Chart2,org.jfree.data.general.DatasetUtilities#757,153,110,-43
Chart2,org.jfree.data.general.DatasetUtilities#758,579,579,0
Chart2,org.jfree.data.general.DatasetUtilities#761,580,580,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,120,124,4
Chart2,org.jfree.data.general.DatasetUtilities#1243,130,125,-5
Chart2,org.jfree.data.general.DatasetUtilities#1245,760,760,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,761,761,0
Chart3,org.jfree.data.time.TimeSeries#1056,74,86,12
Chart3,org.jfree.data.time.TimeSeries#1057,18,87,69
Chart4,org.jfree.chart.plot.XYPlot#4493,441,331,-110
Chart5,org.jfree.data.xy.XYSeries#548,6,44,38
Chart6,org.jfree.chart.util.ShapeList#111,25,38,13
Chart7,org.jfree.data.time.TimePeriodValues#300,28,80,52
Chart7,org.jfree.data.time.TimePeriodValues#302,41,81,40
Chart8,org.jfree.data.time.Week#175,4,8,4
Chart9,org.jfree.data.time.TimeSeries#944,89,146,57
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,3,2
Chart11,org.jfree.chart.util.ShapeUtilities#275,11,5,-6
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,219,151,-68
Chart13,org.jfree.chart.block.BorderArrangement#454,104,147,43
Chart14,org.jfree.chart.plot.XYPlot#2293,338,349,11
Chart14,org.jfree.chart.plot.XYPlot#2529,333,356,23
Chart14,org.jfree.chart.plot.CategoryPlot#2166,336,329,-7
Chart14,org.jfree.chart.plot.CategoryPlot#2448,341,336,-5
Chart15,org.jfree.chart.plot.PiePlot#1379,6721,6721,0
Chart15,org.jfree.chart.plot.PiePlot#2051,469,399,-70
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,20,19,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,23,20,-3
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,35,37,2
Chart17,org.jfree.data.time.TimeSeries#857,30,63,33
Chart18,org.jfree.data.DefaultKeyedValues#318,9,20,11
