Project,now,before,Difference
Chart1,33,42,9
Chart2,86,92,6
Chart3,1,3,2
Chart4,720,660,-60
Chart5,1,8,7
Chart6,107,104,-3
Chart7,47,81,34
Chart8,2,1,-1
Chart9,10,14,4
Chart10,1,3,2
Chart11,11,5,-6
Chart12,26,13,-13
Chart13,40,47,7
Chart14,17,6,-11
Chart15,25,29,4
Chart16,1,2,1
Chart17,2,2,0
Chart18,6,3,-3
Chart19,1,1,0
Chart20,5,5,0
Chart21,2,3,1
Chart22,22,22,0
Chart24,1,3,2
Chart25,67,154,87
Chart26,1357,666,-691
Closure1,902,870,-32
Closure2,51,37,-14
Closure3,319,279,-40
Closure4,286,192,-94
Closure5,133,154,21
Closure6,14,1,-13
Closure7,8,2,-6
Closure8,69,123,54
Closure9,1,1,0
Closure10,87,215,128
Closure11,1362,1147,-215
Closure12,1119,1081,-38
Closure13,5687,5651,-36
Closure14,125,5,-120
Closure15,129,185,56
Closure16,158,208,50
Closure17,107,76,-31
Closure18,1988,2060,72
Closure19,36,1,-35
Closure20,27,2,-25
Closure21,10,3,-7
Closure22,10,1,-9
Closure23,11,8,-3
Closure24,1,1,0
Closure25,54,107,53
Closure26,88,16,-72
Closure27,12,1,-11
Closure29,502,536,34
Closure30,228,242,14
Closure31,1630,1664,34
Closure32,161,43,-118
Closure33,510,510,0
Closure34,248,230,-18
Closure35,5,6,1
Closure36,762,1062,300
Closure37,1245,1226,-19
Closure38,344,345,1
Closure39,12,19,7
Closure40,112,120,8
Closure41,928,695,-233
Closure42,2,1,-1
Closure43,544,506,-38
Closure44,827,778,-49
Closure45,263,280,17
Closure46,10,13,3
Closure47,767,160,-607
Closure48,383,389,6
Closure49,1667,1734,67
Closure50,57,94,37
Closure51,322,326,4
Closure52,141,116,-25
Closure53,47,47,0
Closure54,54,56,2
Closure55,331,329,-2
Closure56,56,65,9
Closure57,29,25,-4
Closure58,19,7,-12
Closure59,6424,6782,358
Closure60,63,21,-42
Closure61,133,143,10
Closure62,12,4,-8
Closure63,12,4,-8
Closure64,955,1484,529
Closure65,45,1,-44
Closure66,2930,2743,-187
Closure67,338,308,-30
Closure68,4,3,-1
