Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,25,42,17
Chart2,org.jfree.data.general.DatasetUtilities#755,80,102,22
Chart2,org.jfree.data.general.DatasetUtilities#757,114,104,-10
Chart2,org.jfree.data.general.DatasetUtilities#758,579,579,0
Chart2,org.jfree.data.general.DatasetUtilities#761,580,580,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,67,92,25
Chart2,org.jfree.data.general.DatasetUtilities#1243,76,93,17
Chart2,org.jfree.data.general.DatasetUtilities#1245,760,760,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,761,761,0
Chart3,org.jfree.data.time.TimeSeries#1056,8,3,-5
Chart3,org.jfree.data.time.TimeSeries#1057,1,4,3
Chart4,org.jfree.chart.plot.XYPlot#4493,836,660,-176
Chart5,org.jfree.data.xy.XYSeries#548,1,8,7
Chart6,org.jfree.chart.util.ShapeList#111,99,104,5
Chart7,org.jfree.data.time.TimePeriodValues#300,41,81,40
Chart7,org.jfree.data.time.TimePeriodValues#302,51,82,31
Chart8,org.jfree.data.time.Week#175,2,1,-1
Chart9,org.jfree.data.time.TimeSeries#944,13,14,1
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,3,2
Chart11,org.jfree.chart.util.ShapeUtilities#275,11,5,-6
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,58,13,-45
Chart13,org.jfree.chart.block.BorderArrangement#454,42,47,5
Chart14,org.jfree.chart.plot.XYPlot#2293,27,19,-8
Chart14,org.jfree.chart.plot.XYPlot#2529,21,26,5
Chart14,org.jfree.chart.plot.CategoryPlot#2166,25,6,-19
Chart14,org.jfree.chart.plot.CategoryPlot#2448,29,13,-16
Chart15,org.jfree.chart.plot.PiePlot#1379,6721,6721,0
Chart15,org.jfree.chart.plot.PiePlot#2051,83,29,-54
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,7,4,-3
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,15,5,-10
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,1,2,1
Chart17,org.jfree.data.time.TimeSeries#857,3,2,-1
Chart18,org.jfree.data.DefaultKeyedValues#318,7,3,-4
Chart18,org.jfree.data.DefaultKeyedValues#335,20,8,-12
Chart18,org.jfree.data.DefaultKeyedValues2D#455,16,11,-5
Chart18,org.jfree.data.DefaultKeyedValues2D#458,10,14,4
Chart18,org.jfree.data.DefaultKeyedValues2D#460,8,16,8
Chart19,org.jfree.chart.plot.CategoryPlot#698,8,1,-7
Chart19,org.jfree.chart.plot.CategoryPlot#973,1,2,1
Chart20,org.jfree.chart.plot.ValueMarker#95,15,5,-10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,97,80,-17
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,90,81,-9
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,113,82,-31
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,64,83,19
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,50,84,34
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,83,85,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,57,86,29
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,81,87,6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,87,88,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,80,89,9
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,14,24,10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,3,3,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,6,4,-2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,5,5,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,61,90,29
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,98,91,-7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,88,92,4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,85,93,8
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,13,12,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#184,481,481,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#185,482,482,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#186,483,483,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,9,13,4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,4,14,10
Chart22,org.jfree.data.KeyedObjects2D#231,39,44,5
Chart22,org.jfree.data.KeyedObjects2D#233,41,46,5
Chart22,org.jfree.data.KeyedObjects2D#378,22,31,9
Chart22,org.jfree.data.KeyedObjects2D#345,23,22,-1
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,1,3,2
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,79,154,75
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,208,173,-35
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,2537,2856,319
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,2333,2837,504
Chart26,org.jfree.chart.axis.Axis#1192,2538,666,-1872
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,1050,870,-180
Closure2,com.google.javascript.jscomp.TypeCheck#1574,81,37,-44
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,493,441,-52
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,476,279,-197
Closure4,com.google.javascript.rhino.jstype.NamedType#190,417,192,-225
Closure4,com.google.javascript.rhino.jstype.NamedType#202,17972,17972,0
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,157,166,9
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,112,154,42
Closure6,com.google.javascript.jscomp.TypeValidator#366,85,116,31
Closure6,com.google.javascript.jscomp.TypeValidator#367,46,1,-45
Closure6,com.google.javascript.jscomp.TypeValidator#405,626,719,93
Closure6,com.google.javascript.jscomp.TypeValidator#406,70,2,-68
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,34,2,-32
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,9,123,114
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#183,2866,2866,0
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,11,11,0
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,4,1,-3
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#124,1,12,11
Closure10,com.google.javascript.jscomp.NodeUtil#1417,81,215,134
Closure11,com.google.javascript.jscomp.TypeCheck#1314,1648,1243,-405
Closure11,com.google.javascript.jscomp.TypeCheck#1315,4037,1147,-2890
Closure12,com.google.javascript.jscomp.MaybeReachingVariableUse#160,1316,1081,-235
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#126,7519,5651,-1868
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#128,6298,5653,-645
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#127,6514,5652,-862
Closure14,com.google.javascript.jscomp.ControlFlowAnalysis#767,222,5,-217
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#94,62,189,127
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#98,46,185,139
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#103,126,186,60
Closure16,com.google.javascript.jscomp.ScopedAliases#174,285,208,-77
Closure16,com.google.javascript.jscomp.ScopedAliases#180,218,211,-7
Closure16,com.google.javascript.jscomp.ScopedAliases#468,128,223,95
Closure16,com.google.javascript.jscomp.ScopedAliases#175,122,209,87
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1291,173,87,-86
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1295,326,76,-250
Closure18,com.google.javascript.jscomp.Compiler#1288,1861,2060,199
Closure19,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#175,68,1,-67
