Project,MinRank1,MinRank2,Difference
Chart1,25,42,17
Chart2,67,92,25
Chart3,1,3,2
Chart4,836,660,-176
Chart5,1,8,7
Chart6,99,104,5
Chart7,41,81,40
Chart8,2,1,-1
Chart9,13,14,1
Chart10,1,3,2
Chart11,11,5,-6
Chart12,58,13,-45
Chart13,42,47,5
Chart14,21,6,-15
Chart15,83,29,-54
Chart16,1,2,1
Chart17,3,2,-1
Chart18,7,3,-4
Chart19,1,1,0
Chart20,15,5,-10
Chart21,3,3,0
Chart22,22,22,0
Chart24,1,3,2
Chart25,79,154,75
Chart26,2538,666,-1872
Closure1,1050,870,-180
Closure2,81,37,-44
Closure3,476,279,-197
Closure4,417,192,-225
Closure5,112,154,42
Closure6,46,1,-45
Closure7,34,2,-32
Closure8,9,123,114
Closure9,1,1,0
Closure10,81,215,134
Closure11,1648,1147,-501
Closure12,1316,1081,-235
Closure13,6298,5651,-647
Closure14,222,5,-217
Closure15,46,185,139
Closure16,122,208,86
Closure17,173,76,-97
Closure18,1861,2060,199
Closure19,68,1,-67
Closure20,30,2,-28
Closure21,16,3,-13
Closure22,17,1,-16
Closure23,27,8,-19
Closure24,3,1,-2
Closure25,28,107,79
Closure26,218,16,-202
Closure27,22,1,-21
Closure29,425,536,111
Closure30,206,242,36
Closure31,1565,1664,99
Closure32,206,43,-163
Closure33,453,510,57
Closure34,281,230,-51
Closure35,11,6,-5
Closure36,814,1062,248
Closure37,1393,1226,-167
Closure38,349,345,-4
Closure39,9,19,10
Closure40,95,120,25
Closure41,1167,695,-472
Closure42,4,1,-3
Closure43,584,506,-78
Closure44,1028,778,-250
Closure45,216,280,64
Closure46,34,13,-21
Closure47,1106,160,-946
Closure48,345,389,44
Closure49,1531,1734,203
Closure50,5,94,89
Closure51,338,326,-12
Closure52,202,116,-86
Closure53,53,47,-6
Closure54,141,56,-85
Closure55,283,329,46
Closure56,62,65,3
Closure57,64,25,-39
Closure58,59,7,-52
Closure59,6082,6782,700
Closure60,170,21,-149
Closure61,120,143,23
Closure62,13,4,-9
Closure63,13,4,-9
Closure64,639,1484,845
Closure65,202,1,-201
Closure66,2936,2743,-193
Closure67,453,308,-145
Closure68,7,3,-4
Closure69,889,1006,117
Closure70,3963,2011,-1952
Closure71,316,250,-66
Closure72,163,241,78
Closure73,333,305,-28
Closure74,104,178,74
Closure75,22,1,-21
Closure76,89,112,23
Closure77,364,306,-58
Closure78,44,1,-43
Closure79,287,57,-230
Closure80,3,10,7
Closure81,170,173,3
Closure82,1543,1092,-451
Closure83,10,10,0
Closure84,175,195,20
Closure85,36,172,136
Closure86,5,21,16
Closure87,159,150,-9
Closure88,18,196,178
Closure89,107,154,47
Closure90,421,46,-375
Closure91,246,284,38
Closure92,385,85,-300
Closure93,387,85,-302
Closure94,1,5,4
Closure95,2992,1764,-1228
Closure96,191,246,55
Closure97,41,1,-40
Closure98,252,425,173
Closure99,17,16,-1
Closure100,37,6,-31
Closure101,3325,2775,-550
Closure102,4364,4752,388
Closure103,325,289,-36
Closure104,17,13,-4
Closure105,9,7,-2
Closure106,92,24,-68
Closure107,125,132,7
Closure108,244,237,-7
Closure109,56,33,-23
Closure110,49,2,-47
Closure111,35,1,-34
Closure112,96,109,13
Closure113,14,17,3
Closure114,425,215,-210
Closure115,72,8,-64
Closure116,76,42,-34
Closure117,150,225,75
Closure118,283,2,-281
Closure120,437,239,-198
Closure121,333,388,55
Closure122,5,9,4
Closure123,312,159,-153
Closure124,56,10,-46
Closure125,302,396,94
Closure126,69,5,-64
Closure127,250,277,27
Closure128,63,102,39
Closure129,2952,3293,341
Closure130,371,545,174
Closure131,298,300,2
Closure132,21,80,59
Closure133,466,516,50
Lang1,7,3,-4
Lang2,6,3,-3
Lang3,9,3,-6
Lang4,2,2,0
Lang5,1,1,0
Lang6,90,98,8
Lang7,113,122,9
Lang8,19,10,-9
Lang9,122,153,31
Lang10,101,77,-24
Lang11,4,3,-1
Lang12,5,5,0
Lang13,3,5,2
Lang14,1,4,3
Lang15,299,217,-82
Lang16,7,27,20
Lang17,77,102,25
Lang18,63,41,-22
Lang19,1,8,7
Lang20,5,8,3
Lang21,1,2,1
Lang22,25,34,9
Lang24,29,64,35
Lang26,16,7,-9
Lang27,129,127,-2
Lang28,1,3,2
Lang30,16,10,-6
Lang31,3,6,3
Lang32,4,26,22
Lang33,3,7,4
Lang34,88,145,57
Lang35,5,2,-3
Lang36,99,94,-5
Lang37,1,6,5
Lang38,1,3,2
Lang39,9,27,18
Lang40,3,2,-1
Lang41,7,6,-1
Lang42,17,13,-4
Lang43,1,6,5
Lang44,6,3,-3
Lang45,9,10,1
Lang46,1,1,0
Lang47,7,5,-2
Lang48,2,2,0
Lang49,2,1,-1
Lang50,7,2,-5
Lang53,19,16,-3
Lang54,9,3,-6
Lang55,6,7,1
Lang57,3,6,3
Lang58,32,20,-12
Lang59,3,6,3
Lang60,20,2,-18
Lang61,12,21,9
Lang62,2,4,2
Lang63,2,1,-1
Lang64,1,4,3
Lang65,11,7,-4
Math1,11,6,-5
Math2,32,44,12
Math3,10,3,-7
Math4,17,17,0
Math5,2,1,-1
Math6,223,231,8
Math7,141,42,-99
Math8,1,4,3
Math9,1,1,0
Math10,9,12,3
Math11,38,31,-7
Math13,116,159,43
Math14,132,99,-33
Math15,174,211,37
Math16,109,1,-108
Math17,86,89,3
Math18,19,14,-5
Math19,32,56,24
Math20,804,598,-206
Math21,32,46,14
Math22,1,1,0
Math23,169,148,-21
Math24,146,150,4
Math25,3,1,-2
