Project,now,before,Difference
Chart1,1,1,0
Chart2,54,51,-3
Chart3,1,2,1
Chart4,599,431,-168
Chart5,4,9,5
Chart6,55,56,1
Chart7,32,29,-3
Chart8,2,5,3
Chart9,8,11,3
Chart10,1,1,0
Chart11,1,2,1
Chart12,26,16,-10
Chart13,2,1,-1
Chart14,1,1,0
Chart15,14,7,-7
Chart16,1,1,0
Chart17,1,1,0
Chart18,1,1,0
Chart19,1,1,0
Chart20,6,6,0
Chart21,4,4,0
Chart22,2,1,-1
Chart24,1,2,1
Chart25,3,3,0
Chart26,19,2,-17
Closure1,105,29,-76
Closure2,82,69,-13
Closure3,44,41,-3
Closure4,2,1,-1
Closure5,4,1,-3
Closure6,2,1,-1
Closure7,32,52,20
Closure8,2,10,8
Closure9,1,1,0
Closure10,102,138,36
Closure11,4,3,-1
Closure12,364,162,-202
Closure13,3443,2704,-739
Closure14,18,2,-16
Closure15,80,116,36
Closure16,184,185,1
Closure17,5,1,-4
Closure18,378,372,-6
Closure19,80,77,-3
Closure20,195,193,-2
Closure21,1,1,0
Closure22,1,1,0
Closure23,23,38,15
Closure24,1,1,0
Closure25,5,3,-2
Closure26,78,82,4
Closure27,7,4,-3
Closure29,20,25,5
Closure30,176,140,-36
Closure31,260,243,-17
Closure32,2,1,-1
Closure33,67,54,-13
Closure34,6,2,-4
Closure35,94,114,20
Closure36,53,58,5
Closure37,502,551,49
Closure38,1,1,0
Closure39,2,1,-1
Closure40,2,2,0
Closure41,725,499,-226
Closure42,1,1,0
Closure43,335,223,-112
Closure44,130,130,0
Closure45,22,18,-4
Closure46,2,1,-1
Closure47,8,5,-3
Closure48,1,1,0
Closure49,125,112,-13
Closure50,4,5,1
Closure51,1,1,0
Closure52,121,71,-50
Closure53,50,11,-39
Closure54,87,46,-41
Closure55,33,32,-1
Closure56,23,29,6
Closure57,23,21,-2
Closure58,202,89,-113
Closure59,1345,1482,137
Closure60,18,54,36
Closure61,72,86,14
Closure62,1,1,0
Closure63,1,1,0
Closure64,588,700,112
Closure65,22,2,-20
Closure66,3,2,-1
Closure67,15,13,-2
Closure68,5,4,-1
Closure69,124,229,105
Closure70,1,1,0
Closure71,1,1,0
Closure72,60,200,140
Closure73,1,1,0
Closure74,8,3,-5
Closure75,42,78,36
Closure76,7,7,0
Closure77,32,12,-20
Closure78,37,11,-26
Closure79,158,86,-72
Closure80,97,235,138
Closure81,10,4,-6
Closure82,2918,2817,-101
Closure83,1,1,0
Closure84,7,5,-2
Closure85,3,10,7
Closure86,1,38,37
Closure87,55,53,-2
Closure88,22,2,-20
Closure89,7,9,2
Closure90,200,24,-176
Closure91,139,189,50
Closure92,1,1,0
Closure93,3,3,0
Closure94,1,16,15
Closure95,1262,984,-278
Closure96,7,24,17
Closure97,77,52,-25
Closure98,37,71,34
Closure99,29,3,-26
Closure100,25,10,-15
Closure101,1877,1807,-70
Closure102,3727,4169,442
Closure103,673,584,-89
Closure104,2,4,2
Closure105,7,14,7
Closure106,5,2,-3
Closure107,4,4,0
Closure108,22,18,-4
Closure109,92,59,-33
Closure110,56,68,12
Closure111,149,112,-37
Closure112,203,158,-45
Closure113,5,6,1
Closure114,17,12,-5
Closure115,2,2,0
Closure116,109,113,4
Closure117,2,5,3
Closure118,164,83,-81
Closure120,855,592,-263
Closure121,32,22,-10
Closure122,1,1,0
Closure123,273,137,-136
Closure124,61,62,1
Closure125,28,47,19
Closure126,1,1,0
Closure127,14,17,3
Closure128,3,1,-2
Closure129,816,933,117
Closure130,35,52,17
Closure131,7,9,2
Closure132,43,111,68
Closure133,65,77,12
Lang1,3,1,-2
Lang2,18,18,0
Lang3,3,2,-1
Lang4,2,2,0
Lang5,1,1,0
Lang6,28,17,-11
Lang7,8,10,2
Lang8,5,3,-2
Lang9,34,34,0
Lang10,37,38,1
Lang11,8,10,2
Lang12,2,2,0
Lang13,1,2,1
Lang14,2,3,1
Lang15,1,1,0
Lang16,14,23,9
Lang17,14,13,-1
Lang18,78,55,-23
Lang19,1,2,1
Lang20,1,1,0
Lang21,1,1,0
Lang22,1,1,0
Lang24,16,49,33
Lang26,3,1,-2
Lang27,2,1,-1
Lang28,1,1,0
Lang30,21,14,-7
Lang31,2,1,-1
Lang32,3,6,3
Lang33,2,1,-1
Lang34,2,1,-1
Lang35,3,2,-1
Lang36,40,33,-7
Lang37,1,2,1
Lang38,2,2,0
Lang39,4,4,0
Lang40,1,1,0
Lang41,8,8,0
Lang42,9,11,2
Lang43,8,6,-2
Lang44,11,12,1
Lang45,9,8,-1
Lang46,1,1,0
Lang47,7,6,-1
Lang48,1,1,0
Lang49,1,1,0
Lang50,17,24,7
Lang53,37,39,2
Lang54,3,2,-1
Lang55,1,1,0
Lang57,1,1,0
Lang58,5,3,-2
Lang59,5,5,0
Lang60,3,1,-2
Lang61,34,34,0
Lang62,2,3,1
Lang63,1,1,0
Lang64,1,1,0
Lang65,10,10,0
Math1,5,3,-2
Math2,10,16,6
Math3,7,7,0
Math4,20,12,-8
Math5,3,3,0
Math6,224,94,-130
Math7,2,2,0
Math8,1,2,1
Math9,2,4,2
Math10,10,14,4
Math11,19,20,1
Math13,78,90,12
Math14,46,43,-3
Math15,14,11,-3
Math16,4,3,-1
Math17,64,81,17
Math18,36,37,1
Math19,27,45,18
Math20,794,702,-92
Math21,52,48,-4
Math22,2,3,1
Math23,92,52,-40
Math24,56,54,-2
Math25,1,1,0
Math26,9,3,-6
Math27,3,1,-2
Math28,4,9,5
Math29,5,8,3
Math30,5,8,3
Math31,58,47,-11
Math32,16,9,-7
Math33,3,2,-1
Math34,1,1,0
Math35,3,6,3
Math36,3,3,0
Math37,9,9,0
Math38,17,7,-10
Math39,53,64,11
Math40,2,2,0
Math41,11,11,0
Math42,31,20,-11
Math43,10,10,0
Math44,110,119,9
Math45,2,3,1
Math46,3,14,11
Math47,3,2,-1
Math48,79,85,6
Math49,17,22,5
Math50,2,1,-1
Math51,17,11,-6
Math52,2,2,0
Math53,1,1,0
Math54,20,17,-3
Math55,1,1,0
Math56,9,8,-1
Math57,11,12,1
Math58,245,331,86
Math59,2,2,0
Math60,14,18,4
Math61,1,1,0
Math62,10,2,-8
Math63,1,1,0
Math64,164,171,7
Math65,1,1,0
Math66,52,105,53
Math67,28,17,-11
Math68,63,58,-5
Math69,5,9,4
Math70,1,1,0
Math71,43,43,0
Math72,1,1,0
Math73,4,4,0
Math74,620,765,145
Math75,3,2,-1
Math76,55,70,15
Math77,1,1,0
Math78,75,71,-4
Math79,22,21,-1
Math80,1,2,1
Math81,5,5,0
Math82,47,47,0
Math83,2,1,-1
Math84,1,1,0
Math85,15,11,-4
Math86,15,7,-8
Math87,58,56,-2
Math88,1,1,0
Math89,1,1,0
Math90,3,2,-1
Math91,2,1,-1
Math92,1,1,0
Math93,2,2,0
Math94,13,13,0
Math95,1,3,2
Math96,2,2,0
Math97,1,1,0
Math98,12,13,1
Math99,3,3,0
Math100,11,4,-7
Math101,18,4,-14
Math102,3,7,4
Math103,13,12,-1
Math105,11,13,2
Math106,6,6,0
Mockito1,47,33,-14
Mockito2,2,4,2
Mockito3,1,1,0
Mockito4,3,2,-1
Mockito6,14,18,4
Mockito7,37,38,1
Mockito8,7,6,-1
Mockito9,2,1,-1
Mockito10,23,13,-10
Mockito11,1,1,0
Mockito12,8,8,0
Mockito13,39,34,-5
Mockito14,33,11,-22
Mockito15,93,112,19
Mockito16,3,5,2
Mockito17,7,5,-2
Mockito18,10,13,3
Mockito19,5,20,15
Mockito20,47,67,20
Mockito21,2,3,1
Mockito22,10,10,0
Mockito23,16,5,-11
Mockito24,3,6,3
Mockito25,1,1,0
Mockito26,114,212,98
Mockito27,7,6,-1
Mockito28,166,198,32
Mockito29,2,1,-1
Mockito30,6,2,-4
Mockito31,2,1,-1
Mockito32,10,8,-2
Mockito33,36,85,49
Mockito34,4,2,-2
Mockito35,1,1,0
Mockito36,6,4,-2
Mockito37,12,6,-6
Mockito38,1,3,2
Time1,28,8,-20
Time2,27,6,-21
Time3,1,2,1
Time4,7,5,-2
Time5,33,12,-21
Time6,48,9,-39
Time7,45,39,-6
Time8,3,8,5
Time9,4,4,0
Time10,14,73,59
Time11,523,585,62
Time12,23,16,-7
Time13,17,18,1
Time14,3,4,1
Time15,2,2,0
Time16,8,20,12
Time17,11,8,-3
Time18,15,22,7
Time19,1,1,0
Time20,56,40,-16
Time21,9,4,-5
Time22,10,82,72
Time23,40,27,-13
Time24,263,347,84
Time25,167,168,1
Time26,369,379,10
Time27,47,114,67
