Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,1,1,0
Chart2,org.jfree.data.general.DatasetUtilities#755,100,102,2
Chart2,org.jfree.data.general.DatasetUtilities#757,77,62,-15
Chart2,org.jfree.data.general.DatasetUtilities#1242,54,51,-3
Chart2,org.jfree.data.general.DatasetUtilities#1243,98,100,2
Chart3,org.jfree.data.time.TimeSeries#1056,9,4,-5
Chart3,org.jfree.data.time.TimeSeries#1057,1,2,1
Chart4,org.jfree.chart.plot.XYPlot#4493,606,431,-175
Chart5,org.jfree.data.xy.XYSeries#548,4,9,5
Chart6,org.jfree.chart.util.ShapeList#111,52,56,4
Chart7,org.jfree.data.time.TimePeriodValues#300,42,50,8
Chart7,org.jfree.data.time.TimePeriodValues#302,28,29,1
Chart8,org.jfree.data.time.Week#175,2,5,3
Chart9,org.jfree.data.time.TimeSeries#944,7,11,4
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,1,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,1,2,1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,28,16,-12
Chart13,org.jfree.chart.block.BorderArrangement#454,3,1,-2
Chart14,org.jfree.chart.plot.XYPlot#2293,3,2,-1
Chart14,org.jfree.chart.plot.XYPlot#2529,1,4,3
Chart14,org.jfree.chart.plot.CategoryPlot#2166,2,1,-1
Chart14,org.jfree.chart.plot.CategoryPlot#2448,4,3,-1
Chart15,org.jfree.chart.plot.PiePlot#2051,17,7,-10
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,1,2,1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,2,1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,8,9,1
Chart17,org.jfree.data.time.TimeSeries#857,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#318,2,1,-1
Chart18,org.jfree.data.DefaultKeyedValues#335,58,52,-6
Chart18,org.jfree.data.DefaultKeyedValues2D#455,17,11,-6
Chart18,org.jfree.data.DefaultKeyedValues2D#458,5,5,0
Chart18,org.jfree.data.DefaultKeyedValues2D#460,14,16,2
Chart19,org.jfree.chart.plot.CategoryPlot#698,6,6,0
Chart19,org.jfree.chart.plot.CategoryPlot#973,1,1,0
Chart20,org.jfree.chart.plot.ValueMarker#95,5,6,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,86,79,-7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,38,35,-3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,59,38,-21
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,80,80,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,31,34,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,45,50,5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,33,36,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,43,49,6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,89,84,-5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,93,93,0
