Project,MinRank1,MinRank2,Difference
Chart1,1,1,0
Chart2,54,51,-3
Chart3,1,2,1
Chart4,606,431,-175
Chart5,4,9,5
Chart6,52,56,4
Chart7,28,29,1
Chart8,2,5,3
Chart9,7,11,4
Chart10,1,1,0
Chart11,1,2,1
Chart12,28,16,-12
Chart13,3,1,-2
Chart14,1,1,0
Chart15,17,7,-10
Chart16,1,1,0
Chart17,1,1,0
Chart18,2,1,-1
Chart19,1,1,0
Chart20,5,6,1
Chart21,3,4,1
Chart22,2,1,-1
Chart24,1,2,1
Chart25,3,3,0
Chart26,32,2,-30
Closure1,204,29,-175
Closure2,81,69,-12
Closure3,49,41,-8
Closure4,2,1,-1
Closure5,7,1,-6
Closure6,2,1,-1
Closure7,34,52,18
Closure8,1,10,9
Closure9,1,1,0
Closure10,95,138,43
Closure11,9,3,-6
Closure12,439,162,-277
Closure13,3442,2704,-738
Closure14,35,2,-33
Closure15,69,116,47
Closure16,183,185,2
Closure17,6,1,-5
Closure18,363,372,9
Closure19,83,77,-6
Closure20,184,193,9
Closure21,1,1,0
Closure22,1,1,0
Closure23,25,38,13
Closure24,1,1,0
Closure25,8,3,-5
Closure26,85,82,-3
Closure27,6,4,-2
Closure29,17,25,8
Closure30,180,140,-40
Closure31,255,243,-12
Closure32,4,1,-3
Closure33,66,54,-12
Closure34,9,2,-7
Closure35,88,114,26
Closure36,40,58,18
Closure37,486,551,65
Closure38,1,1,0
Closure39,2,1,-1
Closure40,4,2,-2
Closure41,746,499,-247
Closure42,2,1,-1
Closure43,387,223,-164
Closure44,126,130,4
Closure45,35,18,-17
Closure46,2,1,-1
Closure47,59,5,-54
Closure48,1,1,0
Closure49,134,112,-22
Closure50,4,5,1
Closure51,1,1,0
Closure52,121,71,-50
Closure53,60,11,-49
Closure54,103,46,-57
Closure55,32,32,0
Closure56,24,29,5
Closure57,26,21,-5
Closure58,236,89,-147
Closure59,1313,1482,169
Closure60,16,54,38
Closure61,74,86,12
Closure62,2,1,-1
Closure63,1,1,0
Closure64,547,700,153
Closure65,42,2,-40
Closure66,3,2,-1
Closure67,16,13,-3
Closure68,5,4,-1
Closure69,92,229,137
Closure70,15,1,-14
Closure71,1,1,0
Closure72,47,200,153
Closure73,1,1,0
Closure74,9,3,-6
Closure75,36,78,42
Closure76,8,7,-1
Closure77,50,12,-38
Closure78,54,11,-43
Closure79,193,86,-107
Closure80,85,235,150
Closure81,19,4,-15
Closure82,2833,2817,-16
Closure83,1,1,0
Closure84,12,5,-7
Closure85,3,10,7
Closure86,1,38,37
Closure87,56,53,-3
Closure88,30,2,-28
Closure89,6,9,3
Closure90,330,24,-306
Closure91,117,189,72
Closure92,1,1,0
Closure93,6,3,-3
Closure94,1,16,15
Closure95,1187,984,-203
Closure96,10,24,14
Closure97,88,52,-36
Closure98,25,71,46
Closure99,28,3,-25
Closure100,36,10,-26
Closure101,1821,1807,-14
Closure102,3920,4169,249
Closure103,656,584,-72
Closure104,2,4,2
Closure105,5,14,9
Closure106,7,2,-5
Closure107,4,4,0
Closure108,26,18,-8
Closure109,100,59,-41
Closure110,53,68,15
Closure111,161,112,-49
Closure112,218,158,-60
Closure113,7,6,-1
Closure114,22,12,-10
Closure115,2,2,0
Closure116,106,113,7
Closure117,3,5,2
Closure118,199,83,-116
Closure120,863,592,-271
Closure121,38,22,-16
Closure122,1,1,0
Closure123,344,137,-207
Closure124,62,62,0
Closure125,24,47,23
Closure126,2,1,-1
Closure127,13,17,4
Closure128,3,1,-2
Closure129,799,933,134
Closure130,27,52,25
Closure131,7,9,2
Closure132,40,111,71
Closure133,59,77,18
Lang1,3,1,-2
Lang2,14,18,4
Lang3,3,2,-1
Lang4,2,2,0
Lang5,1,1,0
Lang6,26,17,-9
Lang7,8,10,2
Lang8,6,3,-3
Lang9,33,34,1
Lang10,37,38,1
Lang11,8,10,2
Lang12,2,2,0
Lang13,1,2,1
Lang14,2,3,1
Lang15,2,1,-1
Lang16,11,23,12
Lang17,13,13,0
Lang18,78,55,-23
Lang19,1,2,1
Lang20,1,1,0
Lang21,1,1,0
Lang22,2,1,-1
Lang24,13,49,36
Lang26,3,1,-2
Lang27,2,1,-1
Lang28,1,1,0
Lang30,21,14,-7
Lang31,2,1,-1
Lang32,3,6,3
Lang33,2,1,-1
Lang34,3,1,-2
Lang35,3,2,-1
Lang36,40,33,-7
Lang37,1,2,1
Lang38,2,2,0
Lang39,3,4,1
Lang40,1,1,0
Lang41,7,8,1
Lang42,6,11,5
Lang43,8,6,-2
Lang44,9,12,3
Lang45,8,8,0
Lang46,1,1,0
Lang47,8,6,-2
Lang48,1,1,0
Lang49,1,1,0
Lang50,16,24,8
Lang53,37,39,2
Lang54,3,2,-1
Lang55,1,1,0
Lang57,1,1,0
Lang58,9,3,-6
Lang59,5,5,0
Lang60,6,1,-5
Lang61,32,34,2
Lang62,1,3,2
Lang63,2,1,-1
Lang64,1,1,0
Lang65,10,10,0
Math1,5,3,-2
Math2,9,16,7
Math3,5,7,2
Math4,20,12,-8
Math5,1,3,2
Math6,238,94,-144
Math7,2,2,0
Math8,1,2,1
Math9,2,4,2
Math10,10,14,4
Math11,18,20,2
Math13,80,90,10
Math14,45,43,-2
Math15,16,11,-5
Math16,4,3,-1
Math17,50,81,31
Math18,36,37,1
Math19,25,45,20
Math20,755,702,-53
Math21,48,48,0
Math22,1,3,2
Math23,78,52,-26
Math24,54,54,0
Math25,1,1,0
Math26,12,3,-9
Math27,3,1,-2
Math28,3,9,6
Math29,4,8,4
Math30,5,8,3
Math31,59,47,-12
Math32,18,9,-9
Math33,4,2,-2
Math34,1,1,0
Math35,3,6,3
Math36,3,3,0
Math37,11,9,-2
Math38,17,7,-10
Math39,54,64,10
Math40,3,2,-1
Math41,11,11,0
Math42,40,20,-20
Math43,10,10,0
Math44,102,119,17
Math45,2,3,1
Math46,3,14,11
Math47,3,2,-1
Math48,77,85,8
Math49,15,22,7
Math50,3,1,-2
Math51,20,11,-9
Math52,2,2,0
Math53,1,1,0
Math54,23,17,-6
Math55,1,1,0
Math56,10,8,-2
Math57,11,12,1
Math58,248,331,83
Math59,2,2,0
Math60,14,18,4
Math61,1,1,0
Math62,14,2,-12
Math63,1,1,0
Math64,161,171,10
Math65,1,1,0
Math66,48,105,57
Math67,26,17,-9
Math68,60,58,-2
Math69,3,9,6
Math70,1,1,0
Math71,42,43,1
Math72,3,1,-2
Math73,4,4,0
Math74,671,765,94
Math75,4,2,-2
Math76,52,70,18
Math77,1,1,0
Math78,70,71,1
Math79,21,21,0
Math80,1,2,1
Math81,5,5,0
Math82,47,47,0
Math83,2,1,-1
Math84,1,1,0
Math85,13,11,-2
Math86,27,7,-20
Math87,52,56,4
Math88,1,1,0
Math89,1,1,0
Math90,3,2,-1
Math91,2,1,-1
Math92,2,1,-1
Math93,2,2,0
Math94,12,13,1
Math95,1,3,2
Math96,2,2,0
Math97,1,1,0
Math98,11,13,2
Math99,6,3,-3
Math100,14,4,-10
Math101,34,4,-30
Math102,3,7,4
Math103,13,12,-1
Math105,9,13,4
Math106,5,6,1
Mockito1,57,33,-24
Mockito2,2,4,2
Mockito3,1,1,0
Mockito4,3,2,-1
Mockito6,10,18,8
Mockito7,38,38,0
Mockito8,6,6,0
Mockito9,5,1,-4
Mockito10,25,13,-12
Mockito11,1,1,0
Mockito12,6,8,2
Mockito13,38,34,-4
Mockito14,37,11,-26
Mockito15,84,112,28
Mockito16,3,5,2
Mockito17,7,5,-2
Mockito18,4,13,9
Mockito19,3,20,17
Mockito20,46,67,21
Mockito21,2,3,1
Mockito22,10,10,0
Mockito23,18,5,-13
Mockito24,2,6,4
Mockito25,1,1,0
Mockito26,123,212,89
Mockito27,7,6,-1
Mockito28,155,198,43
Mockito29,2,1,-1
Mockito30,6,2,-4
Mockito31,3,1,-2
Mockito32,17,8,-9
Mockito33,33,85,52
Mockito34,20,2,-18
Mockito35,1,1,0
Mockito36,5,4,-1
Mockito37,18,6,-12
Mockito38,1,3,2
Time1,33,8,-25
Time2,28,6,-22
Time3,1,2,1
Time4,7,5,-2
Time5,36,12,-24
Time6,50,9,-41
Time7,46,39,-7
Time8,3,8,5
Time9,5,4,-1
Time10,11,73,62
Time11,541,585,44
Time12,21,16,-5
Time13,18,18,0
Time14,2,4,2
Time15,2,2,0
Time16,8,20,12
Time17,10,8,-2
Time18,14,22,8
Time19,1,1,0
Time20,70,40,-30
Time21,8,4,-4
Time22,11,82,71
Time23,38,27,-11
Time24,260,347,87
Time25,157,168,11
Time26,354,379,25
Time27,40,114,74
