Project,now,before,Difference
Chart1,1,1,0
Chart2,4,34,30
Chart3,2,2,0
Chart4,57,192,135
Chart5,4,5,1
Chart6,95,96,1
Chart7,30,28,-2
Chart8,6,3,-3
Chart9,8,6,-2
Chart10,1,1,0
Chart11,2,2,0
Chart12,50,41,-9
Chart13,1,1,0
Chart14,12,1,-11
Chart15,1,8,7
Chart16,1,1,0
Chart17,1,1,0
Chart18,1,1,0
Chart19,1,1,0
Chart20,6,6,0
Chart21,5,3,-2
Chart22,1,1,0
Chart24,1,1,0
Chart25,2,12,10
Chart26,1,1,0
Closure1,27,36,9
Closure2,81,86,5
Closure3,40,41,1
Closure4,1,1,0
Closure5,4,1,-3
Closure6,1,1,0
Closure7,67,64,-3
Closure8,6,3,-3
Closure9,1,1,0
Closure10,203,222,19
Closure11,2,3,1
Closure12,210,332,122
Closure13,2239,2227,-12
Closure14,1,1,0
Closure15,67,108,41
Closure16,148,126,-22
Closure17,1,1,0
Closure18,287,506,219
Closure19,17,25,8
Closure20,51,36,-15
Closure21,1,1,0
Closure22,1,1,0
Closure23,14,7,-7
Closure24,1,1,0
Closure25,61,32,-29
Closure26,34,15,-19
Closure27,4,5,1
Closure29,30,22,-8
Closure30,165,143,-22
Closure31,146,294,148
Closure32,1,1,0
Closure33,35,18,-17
Closure34,6,2,-4
Closure35,118,75,-43
Closure36,56,53,-3
Closure37,266,289,23
Closure38,1,1,0
Closure39,3,1,-2
Closure40,3,1,-2
Closure41,415,382,-33
Closure42,1,3,2
Closure43,41,177,136
Closure44,177,154,-23
Closure45,25,22,-3
Closure46,1,1,0
Closure47,3,4,1
Closure48,2,2,0
Closure49,75,109,34
Closure50,5,3,-2
Closure51,1,1,0
Closure52,98,98,0
Closure53,58,53,-5
Closure54,55,40,-15
Closure55,29,33,4
Closure56,11,23,12
Closure57,53,40,-13
Closure58,3,44,41
Closure59,431,881,450
Closure60,53,70,17
Closure61,43,80,37
Closure62,1,1,0
Closure63,1,1,0
Closure64,383,604,221
Closure65,51,46,-5
Closure66,3,6,3
Closure67,2,8,6
Closure68,15,4,-11
Closure69,389,508,119
Closure70,1,1,0
Closure71,1,1,0
Closure72,176,207,31
Closure73,1,1,0
Closure74,3,5,2
Closure75,24,24,0
Closure76,5,4,-1
Closure77,17,5,-12
Closure78,27,9,-18
Closure79,62,101,39
Closure80,80,97,17
Closure81,3,3,0
Closure82,2473,2336,-137
Closure83,1,1,0
Closure84,4,8,4
Closure85,2,5,3
Closure86,32,28,-4
Closure87,64,78,14
Closure88,4,1,-3
Closure89,5,7,2
Closure90,19,19,0
Closure91,136,133,-3
Closure92,2,2,0
Closure93,2,2,0
Closure94,28,19,-9
Closure95,1192,1070,-122
Closure96,43,51,8
Closure97,91,88,-3
Closure98,34,70,36
Closure99,4,2,-2
Closure100,3,18,15
Closure101,1303,2030,727
Closure102,3151,4087,936
Closure103,478,657,179
Closure104,3,3,0
Closure105,31,14,-17
Closure106,2,2,0
Closure107,9,7,-2
Closure108,29,20,-9
Closure109,4,9,5
Closure110,38,17,-21
Closure111,55,90,35
Closure112,129,131,2
Closure113,3,3,0
Closure114,13,12,-1
Closure115,3,3,0
Closure116,86,115,29
Closure117,14,15,1
Closure118,77,51,-26
Closure120,729,702,-27
Closure121,28,23,-5
Closure122,1,1,0
Closure123,97,138,41
Closure124,28,32,4
Closure125,52,50,-2
Closure126,3,1,-2
Closure127,16,14,-2
Closure128,3,4,1
Closure129,438,637,199
Closure130,52,64,12
Closure131,10,9,-1
Closure132,18,55,37
Closure133,65,68,3
Lang1,1,1,0
Lang2,15,15,0
Lang3,3,2,-1
Lang4,2,1,-1
Lang5,1,1,0
Lang6,12,14,2
Lang7,9,10,1
Lang8,3,4,1
Lang9,53,41,-12
Lang10,25,31,6
Lang11,9,10,1
Lang12,2,7,5
Lang13,2,2,0
Lang14,1,1,0
Lang15,1,1,0
Lang16,27,16,-11
Lang17,13,13,0
Lang18,20,44,24
Lang19,2,1,-1
Lang20,1,1,0
Lang21,1,1,0
Lang22,2,1,-1
Lang24,13,45,32
Lang26,2,1,-1
Lang27,1,1,0
Lang28,1,2,1
Lang30,8,13,5
Lang31,1,2,1
Lang32,2,4,2
Lang33,1,1,0
Lang34,4,1,-3
Lang35,1,2,1
Lang36,20,19,-1
Lang37,1,2,1
Lang38,2,1,-1
Lang39,4,5,1
Lang40,1,1,0
Lang41,4,5,1
Lang42,11,12,1
Lang43,12,12,0
Lang44,12,13,1
Lang45,22,22,0
Lang46,1,1,0
Lang47,4,3,-1
Lang48,1,1,0
Lang49,1,1,0
Lang50,27,21,-6
Lang53,33,38,5
Lang54,2,2,0
Lang55,1,1,0
Lang57,1,1,0
Lang58,3,3,0
Lang59,2,4,2
Lang60,2,1,-1
Lang61,40,40,0
Lang62,4,4,0
Lang63,1,1,0
Lang64,1,1,0
Lang65,7,8,1
Math1,7,4,-3
Math2,21,16,-5
Math3,7,11,4
Math4,6,9,3
Math5,3,2,-1
Math6,22,133,111
Math7,1,2,1
Math8,1,1,0
Math9,4,4,0
Math10,19,15,-4
Math11,62,55,-7
Math13,40,53,13
Math14,51,52,1
Math15,21,22,1
Math16,3,1,-2
Math17,22,80,58
Math18,38,35,-3
Math19,12,32,20
Math20,398,608,210
Math21,33,42,9
Math22,2,1,-1
Math23,27,54,27
Math24,58,55,-3
Math25,1,2,1
Math26,6,5,-1
Math27,1,1,0
Math28,2,9,7
Math29,5,7,2
Math30,2,4,2
Math31,25,40,15
Math32,4,13,9
Math33,4,3,-1
Math34,1,1,0
Math35,6,5,-1
Math36,7,4,-3
Math37,8,10,2
Math38,6,7,1
Math39,118,86,-32
Math40,2,2,0
Math41,16,14,-2
Math42,17,19,2
Math43,10,10,0
Math44,118,142,24
Math45,1,2,1
Math46,4,2,-2
Math47,2,2,0
Math48,55,87,32
Math49,24,17,-7
Math50,1,1,0
Math51,1,8,7
Math52,2,2,0
Math53,1,1,0
