Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,27,1,-26
Chart2,org.jfree.data.general.DatasetUtilities#755,59,117,58
Chart2,org.jfree.data.general.DatasetUtilities#757,19,51,32
Chart2,org.jfree.data.general.DatasetUtilities#1242,1,34,33
Chart2,org.jfree.data.general.DatasetUtilities#1243,60,73,13
Chart3,org.jfree.data.time.TimeSeries#1056,11,2,-9
Chart3,org.jfree.data.time.TimeSeries#1057,5,4,-1
Chart4,org.jfree.chart.plot.XYPlot#4493,9,192,183
Chart5,org.jfree.data.xy.XYSeries#548,2,5,3
Chart6,org.jfree.chart.util.ShapeList#111,43,96,53
Chart7,org.jfree.data.time.TimePeriodValues#300,19,29,10
Chart7,org.jfree.data.time.TimePeriodValues#302,81,28,-53
Chart8,org.jfree.data.time.Week#175,7,3,-4
Chart9,org.jfree.data.time.TimeSeries#944,10,6,-4
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,1,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,2,2,0
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,152,41,-111
Chart13,org.jfree.chart.block.BorderArrangement#454,81,1,-80
Chart14,org.jfree.chart.plot.XYPlot#2293,20,2,-18
Chart14,org.jfree.chart.plot.XYPlot#2529,23,4,-19
Chart14,org.jfree.chart.plot.CategoryPlot#2166,19,1,-18
Chart14,org.jfree.chart.plot.CategoryPlot#2448,22,3,-19
Chart15,org.jfree.chart.plot.PiePlot#2051,1,8,7
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,1,2,1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,29,1,-28
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,19,23,4
Chart17,org.jfree.data.time.TimeSeries#857,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#318,3,1,-2
Chart18,org.jfree.data.DefaultKeyedValues#335,4,44,40
Chart18,org.jfree.data.DefaultKeyedValues2D#455,6,13,7
Chart18,org.jfree.data.DefaultKeyedValues2D#458,1,4,3
Chart18,org.jfree.data.DefaultKeyedValues2D#460,29,14,-15
