Project,MinRank1,MinRank2,Difference
Chart1,27,1,-26
Chart2,1,34,33
Chart3,5,2,-3
Chart4,9,192,183
Chart5,2,5,3
Chart6,43,96,53
Chart7,19,28,9
Chart8,7,3,-4
Chart9,10,6,-4
Chart10,1,1,0
Chart11,2,2,0
Chart12,152,41,-111
Chart13,81,1,-80
Chart14,19,1,-18
Chart15,1,8,7
Chart16,1,1,0
Chart17,1,1,0
Chart18,1,1,0
Chart19,14,1,-13
Chart20,3,6,3
Chart21,2,3,1
Chart22,1,1,0
Chart24,1,1,0
Chart25,1,12,11
Chart26,1,1,0
Closure1,62,36,-26
Closure2,113,86,-27
Closure3,114,41,-73
Closure4,1,1,0
Closure5,32,1,-31
Closure6,5,1,-4
Closure7,86,64,-22
Closure8,117,3,-114
Closure9,2,1,-1
Closure10,157,222,65
Closure11,23,3,-20
Closure12,71,332,261
Closure13,1874,2227,353
Closure14,2,1,-1
Closure15,57,108,51
Closure16,221,126,-95
Closure17,139,1,-138
Closure18,67,506,439
Closure19,22,25,3
Closure20,323,36,-287
Closure21,4,1,-3
Closure22,2,1,-1
Closure23,175,7,-168
Closure24,5,1,-4
Closure25,87,32,-55
Closure26,45,15,-30
Closure27,2,5,3
Closure29,329,22,-307
Closure30,253,143,-110
Closure31,37,294,257
Closure32,9,1,-8
Closure33,762,18,-744
Closure34,44,2,-42
Closure35,592,75,-517
Closure36,914,53,-861
Closure37,92,289,197
Closure38,10,1,-9
Closure39,22,1,-21
Closure40,63,1,-62
Closure41,724,382,-342
Closure42,19,3,-16
Closure43,21,177,156
Closure44,383,154,-229
Closure45,47,22,-25
Closure46,7,1,-6
Closure47,2,4,2
Closure48,5,2,-3
Closure49,109,109,0
Closure50,9,3,-6
Closure51,9,1,-8
Closure52,88,98,10
Closure53,105,53,-52
Closure54,103,40,-63
Closure55,42,33,-9
Closure56,4,23,19
Closure57,172,40,-132
Closure58,1,44,43
Closure59,121,881,760
Closure60,170,70,-100
Closure61,15,80,65
Closure62,1,1,0
Closure63,1,1,0
Closure64,108,604,496
Closure65,98,46,-52
Closure66,11,6,-5
Closure67,1,8,7
Closure68,27,4,-23
Closure69,190,508,318
Closure70,51,1,-50
Closure71,5,1,-4
Closure72,136,207,71
Closure73,10,1,-9
Closure74,5,5,0
Closure75,18,24,6
Closure76,14,4,-10
Closure77,255,5,-250
Closure78,1510,9,-1501
Closure79,26,101,75
Closure80,42,97,55
Closure81,10,3,-7
Closure82,2233,2336,103
Closure83,2,1,-1
Closure84,6,8,2
Closure85,3,5,2
Closure86,227,28,-199
Closure87,77,78,1
Closure88,25,1,-24
Closure89,6,7,1
Closure90,34,19,-15
Closure91,223,133,-90
Closure92,2,2,0
Closure93,2,2,0
Closure94,383,19,-364
Closure95,1030,1070,40
Closure96,49,51,2
Closure97,294,88,-206
Closure98,41,70,29
Closure99,8,2,-6
Closure100,1,18,17
Closure101,499,2030,1531
Closure102,1599,4087,2488
Closure103,188,657,469
Closure104,6,3,-3
Closure105,108,14,-94
Closure106,2,2,0
Closure107,144,7,-137
Closure108,50,20,-30
Closure109,2,9,7
Closure110,323,17,-306
Closure111,37,90,53
Closure112,140,131,-9
Closure113,19,3,-16
Closure114,354,12,-342
Closure115,26,3,-23
Closure116,33,115,82
Closure117,258,15,-243
Closure118,238,51,-187
Closure120,686,702,16
Closure121,118,23,-95
Closure122,5,1,-4
Closure123,46,138,92
Closure124,10,32,22
Closure125,1209,50,-1159
Closure126,34,1,-33
Closure127,481,14,-467
Closure128,59,4,-55
Closure129,166,637,471
Closure130,18,64,46
Closure131,47,9,-38
Closure132,18,55,37
Closure133,98,68,-30
Lang1,1,1,0
Lang2,3,15,12
Lang3,5,2,-3
Lang4,5,1,-4
Lang5,1,1,0
Lang6,8,14,6
Lang7,6,10,4
Lang8,4,4,0
