Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,2,1,-1
Chart2,org.jfree.data.general.DatasetUtilities#755,64,65,1
Chart2,org.jfree.data.general.DatasetUtilities#757,10,26,16
Chart2,org.jfree.data.general.DatasetUtilities#1242,2,31,29
Chart2,org.jfree.data.general.DatasetUtilities#1243,65,56,-9
Chart3,org.jfree.data.time.TimeSeries#1056,4,2,-2
Chart3,org.jfree.data.time.TimeSeries#1057,3,3,0
Chart4,org.jfree.chart.plot.XYPlot#4493,6,137,131
Chart5,org.jfree.data.xy.XYSeries#548,2,9,7
Chart6,org.jfree.chart.util.ShapeList#111,78,99,21
Chart7,org.jfree.data.time.TimePeriodValues#300,32,39,7
Chart7,org.jfree.data.time.TimePeriodValues#302,34,26,-8
Chart8,org.jfree.data.time.Week#175,8,5,-3
Chart9,org.jfree.data.time.TimeSeries#944,11,11,0
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,1,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,2,1,-1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,272,243,-29
Chart13,org.jfree.chart.block.BorderArrangement#454,4,2,-2
Chart14,org.jfree.chart.plot.XYPlot#2293,6,4,-2
Chart14,org.jfree.chart.plot.XYPlot#2529,5,2,-3
Chart15,org.jfree.chart.plot.PiePlot#2051,1,4,3
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,18,17,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,1,1,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,3,3,0
Chart17,org.jfree.data.time.TimeSeries#857,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#318,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#335,2,16,14
Chart19,org.jfree.chart.plot.CategoryPlot#698,19,2,-17
Chart19,org.jfree.chart.plot.CategoryPlot#973,6,3,-3
Chart20,org.jfree.chart.plot.ValueMarker#95,32,57,25
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,25,66,41
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,17,25,8
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,41,36,-5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,69,68,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,32,26,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,56,47,-9
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,22,24,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,53,51,-2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,81,85,4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,87,84,-3
