Project,now,before,Difference
Chart5,1,1,0
Chart10,1,1,0
Chart12,16,16,0
Chart18,2,2,0
Chart20,3,3,0
Chart21,4,3,-1
Chart22,3,7,4
Chart25,13,23,10
Chart26,4,19,15
Closure6,16,31,15
Closure11,21,30,9
Closure15,3,4,1
Closure16,1,1,0
Closure18,5,11,6
Closure19,17,27,10
Closure20,11,9,-2
Closure21,8,7,-1
Closure22,6,5,-1
Closure24,6,6,0
Closure30,1,1,0
Closure33,5,2,-3
Closure35,19,16,-3
Closure39,19,22,3
Closure46,6,4,-2
Closure49,1,2,1
Closure50,2,5,3
Closure51,2,3,1
Closure58,16,15,-1
Closure76,12,15,3
Closure77,22,15,-7
Closure81,17,21,4
Closure83,8,5,-3
Closure85,6,3,-3
Closure90,5,39,34
Closure91,9,5,-4
Closure99,1,1,0
Closure101,7,43,36
Closure102,1,2,1
Closure103,7,24,17
Closure106,1,2,1
Closure110,8,6,-2
Closure112,28,28,0
Closure115,12,14,2
Closure116,13,36,23
Closure124,8,9,1
Closure126,22,21,-1
Closure131,13,13,0
Lang3,4,4,0
Lang4,5,5,0
Lang5,4,4,0
Lang10,8,7,-1
Lang11,2,3,1
Lang12,1,1,0
Lang17,2,3,1
Lang19,1,3,2
Lang24,2,4,2
Lang28,1,2,1
Lang30,2,2,0
Lang33,5,7,2
Lang50,5,3,-2
Lang54,1,1,0
Lang55,1,1,0
Lang59,1,1,0
Lang63,4,8,4
Lang65,2,2,0
Math7,12,11,-1
Math9,2,3,1
Math14,7,7,0
Math16,2,1,-1
Math21,4,1,-3
Math26,2,3,1
Math29,2,4,2
Math31,1,1,0
Math37,2,5,3
Math39,3,1,-2
Math44,2,6,4
Math50,5,12,7
Math51,8,8,0
Math53,1,1,0
Math56,1,1,0
Math57,1,4,3
Math60,1,1,0
Math62,3,7,4
Math65,2,16,14
Math66,3,7,4
Math68,5,23,18
Math74,7,4,-3
Math76,1,1,0
Math78,3,3,0
Math80,13,21,8
Math85,7,8,1
Math87,1,1,0
Math88,1,3,2
Math90,2,2,0
Math92,1,1,0
Math94,3,2,-1
Math95,2,2,0
Math102,5,7,2
Math103,3,3,0
Mockito2,6,5,-1
Mockito3,7,5,-2
Mockito8,2,2,0
Mockito9,4,4,0
Mockito11,1,1,0
Mockito12,8,9,1
Mockito14,9,11,2
Mockito15,2,3,1
Mockito20,7,5,-2
Mockito21,4,4,0
Mockito22,3,7,4
Mockito23,4,4,0
Mockito25,1,2,1
Mockito28,4,8,4
Mockito30,1,3,2
Mockito31,4,3,-1
Mockito35,2,2,0
Mockito37,7,3,-4
Mockito38,3,6,3
Time3,11,11,0
Time4,19,19,0
Time5,1,1,0
Time9,4,7,3
Time10,1,1,0
Time11,7,15,8
Time17,21,20,-1
Time18,9,19,10
Time21,1,1,0
Time23,1,2,1
Time24,20,20,0
Time26,20,20,0
