Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,319,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#755,97,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#757,26,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#1242,159,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#1243,69,-1,-1
Chart3,org.jfree.data.time.TimeSeries#1056,129,-1,-1
Chart3,org.jfree.data.time.TimeSeries#1057,22,-1,-1
Chart4,org.jfree.chart.plot.XYPlot#4493,72,-1,-1
Chart5,org.jfree.data.xy.XYSeries#548,1,1,0
Chart6,org.jfree.chart.util.ShapeList#111,76,-1,-1
Chart7,org.jfree.data.time.TimePeriodValues#300,94,-1,-1
Chart7,org.jfree.data.time.TimePeriodValues#302,107,-1,-1
Chart8,org.jfree.data.time.Week#175,45,-1,-1
Chart9,org.jfree.data.time.TimeSeries#944,138,-1,-1
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,1,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,17,-1,-1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,2,16,14
Chart13,org.jfree.chart.block.BorderArrangement#454,28,-1,-1
Chart14,org.jfree.chart.plot.XYPlot#2293,352,-1,-1
Chart14,org.jfree.chart.plot.XYPlot#2529,350,-1,-1
Chart14,org.jfree.chart.plot.CategoryPlot#2166,469,-1,-1
Chart14,org.jfree.chart.plot.CategoryPlot#2448,415,-1,-1
Chart15,org.jfree.chart.plot.PiePlot#2051,165,-1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,21,-1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,30,-1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,43,-1,-1
Chart17,org.jfree.data.time.TimeSeries#857,43,-1,-1
Chart18,org.jfree.data.DefaultKeyedValues#318,1,2,1
Chart18,org.jfree.data.DefaultKeyedValues#335,4,6,2
Chart18,org.jfree.data.DefaultKeyedValues2D#455,61,-1,-1
Chart18,org.jfree.data.DefaultKeyedValues2D#458,21,-1,-1
Chart18,org.jfree.data.DefaultKeyedValues2D#460,23,-1,-1
Chart19,org.jfree.chart.plot.CategoryPlot#698,447,-1,-1
Chart19,org.jfree.chart.plot.CategoryPlot#973,408,-1,-1
Chart20,org.jfree.chart.plot.ValueMarker#95,1,3,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,126,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,30,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,92,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,52,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,23,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,20,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,9,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,43,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,66,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,8,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,53,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,79,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,24,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,133,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,29,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,68,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,114,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,2,3,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,78,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,59,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,105,-1,-1
Chart22,org.jfree.data.KeyedObjects2D#231,71,-1,-1
Chart22,org.jfree.data.KeyedObjects2D#233,7,8,1
Chart22,org.jfree.data.KeyedObjects2D#378,3,7,4
Chart22,org.jfree.data.KeyedObjects2D#345,73,-1,-1
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,7,-1,-1
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,6,23,17
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,3249,-1,-1
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,1818,-1,-1
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,228,-1,-1
Chart26,org.jfree.chart.axis.Axis#1192,5,19,14
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,109,-1,-1
Closure2,com.google.javascript.jscomp.TypeCheck#1574,226,-1,-1
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,3544,-1,-1
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,257,-1,-1
Closure4,com.google.javascript.rhino.jstype.NamedType#190,3889,-1,-1
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,818,-1,-1
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,3486,-1,-1
Closure6,com.google.javascript.jscomp.TypeValidator#366,4,38,34
Closure6,com.google.javascript.jscomp.TypeValidator#367,3,31,28
Closure6,com.google.javascript.jscomp.TypeValidator#405,5899,-1,-1
Closure6,com.google.javascript.jscomp.TypeValidator#406,5650,-1,-1
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,2741,-1,-1
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,1699,-1,-1
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,8,-1,-1
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,22,-1,-1
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#124,35,-1,-1
Closure10,com.google.javascript.jscomp.NodeUtil#1417,89,-1,-1
Closure11,com.google.javascript.jscomp.TypeCheck#1314,7,30,23
Closure11,com.google.javascript.jscomp.TypeCheck#1315,1054,-1,-1
Closure12,com.google.javascript.jscomp.MaybeReachingVariableUse#160,251,-1,-1
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#126,5411,-1,-1
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#128,2206,-1,-1
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#127,3165,-1,-1
Closure14,com.google.javascript.jscomp.ControlFlowAnalysis#767,1073,-1,-1
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#94,3,4,1
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#98,3790,-1,-1
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#103,3228,-1,-1
Closure16,com.google.javascript.jscomp.ScopedAliases#174,10,15,5
Closure16,com.google.javascript.jscomp.ScopedAliases#180,1,1,0
Closure16,com.google.javascript.jscomp.ScopedAliases#468,4703,-1,-1
Closure16,com.google.javascript.jscomp.ScopedAliases#172,22,16,-6
Closure16,com.google.javascript.jscomp.ScopedAliases#175,11,8,-3
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1291,3279,-1,-1
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1295,652,-1,-1
Closure18,com.google.javascript.jscomp.Compiler#1288,3,11,8
Closure19,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#175,3,27,24
Closure20,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax#220,2,9,7
Closure21,com.google.javascript.jscomp.CheckSideEffects#101,2679,-1,-1
Closure21,com.google.javascript.jscomp.CheckSideEffects#113,1053,-1,-1
Closure21,com.google.javascript.jscomp.CheckSideEffects#114,2997,-1,-1
Closure21,com.google.javascript.jscomp.CheckSideEffects#115,3327,-1,-1
Closure21,com.google.javascript.jscomp.CheckSideEffects#116,16,15,-1
Closure21,com.google.javascript.jscomp.CheckSideEffects#117,3302,-1,-1
Closure21,com.google.javascript.jscomp.CheckSideEffects#118,411,-1,-1
Closure21,com.google.javascript.jscomp.CheckSideEffects#119,5,13,8
Closure21,com.google.javascript.jscomp.CheckSideEffects#120,582,-1,-1
Closure21,com.google.javascript.jscomp.CheckSideEffects#121,3365,-1,-1
Closure21,com.google.javascript.jscomp.CheckSideEffects#123,13,7,-6
Closure21,com.google.javascript.jscomp.CheckSideEffects#125,4,8,4
