Project,MinRank1,MinRank2,Difference
Chart1,319,-1,-1
Chart2,26,-1,-1
Chart3,22,-1,-1
Chart4,72,-1,-1
Chart5,1,1,0
Chart6,76,-1,-1
Chart7,94,-1,-1
Chart8,45,-1,-1
Chart9,138,-1,-1
Chart10,1,1,0
Chart11,17,-1,-1
Chart12,2,16,14
Chart13,28,-1,-1
Chart14,350,-1,-1
Chart15,165,-1,-1
Chart16,21,-1,-1
Chart17,43,-1,-1
Chart18,1,2,1
Chart19,408,-1,-1
Chart20,1,3,2
Chart21,2,3,1
Chart22,3,7,4
Chart24,7,-1,-1
Chart25,6,23,17
Chart26,5,19,14
Closure1,109,-1,-1
Closure2,226,-1,-1
Closure3,257,-1,-1
Closure4,3889,-1,-1
Closure5,818,-1,-1
Closure6,3,31,28
Closure7,2741,-1,-1
Closure8,1699,-1,-1
Closure9,8,-1,-1
Closure10,89,-1,-1
Closure11,7,30,23
Closure12,251,-1,-1
Closure13,2206,-1,-1
Closure14,1073,-1,-1
Closure15,3,4,1
Closure16,1,1,0
Closure17,652,-1,-1
Closure18,3,11,8
Closure19,3,27,24
Closure20,2,9,7
Closure21,4,7,3
Closure22,3,5,2
Closure23,1501,-1,-1
Closure24,4,6,2
Closure25,1045,-1,-1
Closure26,793,-1,-1
Closure27,356,-1,-1
Closure29,1632,-1,-1
Closure30,1,1,0
Closure31,2175,-1,-1
Closure32,192,-1,-1
Closure33,6,2,-4
Closure34,310,-1,-1
Closure35,8,16,8
Closure36,5538,-1,-1
Closure37,275,-1,-1
Closure38,1577,-1,-1
Closure39,11,22,11
Closure40,4085,-1,-1
Closure41,770,-1,-1
Closure42,201,-1,-1
Closure43,3958,-1,-1
Closure44,2338,-1,-1
Closure45,1395,-1,-1
Closure46,4,4,0
Closure47,3247,-1,-1
Closure48,1287,-1,-1
Closure49,1,2,1
Closure50,2,5,3
Closure51,2,3,1
Closure52,1079,-1,-1
Closure53,2593,-1,-1
Closure54,446,-1,-1
Closure55,886,-1,-1
Closure56,1726,-1,-1
Closure57,520,-1,-1
Closure58,18,15,-3
Closure59,8109,-1,-1
Closure60,3878,-1,-1
Closure61,619,-1,-1
Closure62,50,-1,-1
Closure63,50,-1,-1
Closure64,1440,-1,-1
Closure65,1342,-1,-1
Closure66,1416,-1,-1
Closure67,1833,-1,-1
Closure68,107,-1,-1
Closure69,71,-1,-1
Closure70,5110,-1,-1
Closure71,3941,-1,-1
Closure72,1493,-1,-1
Closure73,1805,-1,-1
Closure74,1197,-1,-1
Closure75,1911,-1,-1
Closure76,4,15,11
Closure77,13,15,2
Closure78,242,-1,-1
Closure79,340,-1,-1
Closure80,1415,-1,-1
Closure81,8,21,13
Closure82,3230,-1,-1
Closure83,6,5,-1
Closure84,126,-1,-1
Closure85,6,3,-3
Closure86,128,-1,-1
Closure87,142,-1,-1
Closure88,2577,-1,-1
Closure89,688,-1,-1
Closure90,39,39,0
Closure91,2,5,3
Closure92,2102,-1,-1
Closure93,2102,-1,-1
Closure94,1651,-1,-1
Closure95,2787,-1,-1
Closure96,420,-1,-1
Closure97,899,-1,-1
Closure98,2370,-1,-1
Closure99,1,1,0
Closure100,1567,-1,-1
Closure101,43,43,0
Closure102,1,2,1
Closure103,5,24,19
Closure104,444,-1,-1
Closure105,159,-1,-1
Closure106,1,2,1
Closure107,1782,-1,-1
Closure108,974,-1,-1
Closure109,66,-1,-1
Closure110,12,6,-6
Closure111,915,-1,-1
Closure112,32,28,-4
Closure113,226,-1,-1
Closure114,2988,-1,-1
Closure115,8,14,6
Closure116,16,36,20
Closure117,5091,-1,-1
Closure118,3255,-1,-1
Closure120,2554,-1,-1
Closure121,2073,-1,-1
Closure122,429,-1,-1
Closure123,1458,-1,-1
Closure124,4,9,5
Closure125,745,-1,-1
Closure126,12,21,9
Closure127,2418,-1,-1
Closure128,723,-1,-1
Closure129,4685,-1,-1
Closure130,3473,-1,-1
Closure131,4,13,9
Closure132,3012,-1,-1
Closure133,245,-1,-1
Lang1,39,-1,-1
Lang2,16,-1,-1
Lang3,4,4,0
Lang4,5,5,0
Lang5,4,4,0
Lang6,129,-1,-1
Lang7,32,-1,-1
Lang8,137,-1,-1
Lang9,374,-1,-1
Lang10,10,7,-3
Lang11,3,3,0
Lang12,1,1,0
Lang13,29,-1,-1
Lang14,2,-1,-1
Lang15,36,-1,-1
Lang16,98,-1,-1
Lang17,3,3,0
Lang18,127,-1,-1
Lang19,1,3,2
Lang20,7,-1,-1
Lang21,39,-1,-1
Lang22,57,-1,-1
Lang24,1,4,3
Lang26,33,-1,-1
Lang27,23,-1,-1
Lang28,1,2,1
Lang30,2,2,0
Lang31,19,-1,-1
Lang32,12,-1,-1
Lang33,5,7,2
Lang34,94,-1,-1
Lang35,17,-1,-1
Lang37,5,-1,-1
Lang38,90,-1,-1
Lang39,40,-1,-1
Lang40,32,-1,-1
Lang41,25,-1,-1
Lang43,16,-1,-1
Lang44,19,-1,-1
Lang45,12,-1,-1
Lang46,6,-1,-1
Lang47,31,-1,-1
Lang48,4,-1,-1
Lang49,21,-1,-1
Lang50,2,3,1
Lang53,21,-1,-1
Lang54,1,1,0
Lang55,1,1,0
Lang57,6,-1,-1
Lang58,5,-1,-1
Lang59,1,1,0
Lang60,36,-1,-1
Lang61,29,-1,-1
Lang63,3,8,5
Lang64,19,-1,-1
Lang65,2,2,0
Math1,183,-1,-1
Math2,30,-1,-1
Math3,18,-1,-1
Math4,58,-1,-1
Math5,5,-1,-1
Math6,315,-1,-1
Math7,15,11,-4
Math8,125,-1,-1
Math9,2,3,1
Math10,243,-1,-1
Math13,205,-1,-1
Math14,7,7,0
Math15,219,-1,-1
Math16,2,1,-1
Math17,52,-1,-1
Math18,53,-1,-1
Math19,170,-1,-1
Math20,584,-1,-1
Math21,3,1,-2
Math22,115,-1,-1
Math23,243,-1,-1
Math24,289,-1,-1
Math25,19,-1,-1
Math26,2,3,1
Math27,91,-1,-1
Math28,119,-1,-1
Math29,2,4,2
Math30,238,-1,-1
Math31,1,1,0
Math32,1390,-1,-1
Math33,92,-1,-1
Math34,33,-1,-1
Math35,7,-1,-1
Math36,297,-1,-1
Math37,2,5,3
Math38,45,-1,-1
Math39,4,1,-3
Math40,47,-1,-1
Math41,11,-1,-1
Math42,327,-1,-1
Math43,103,-1,-1
Math44,1,6,5
Math45,2,-1,-1
Math46,312,-1,-1
Math47,20,-1,-1
Math48,493,-1,-1
Math49,104,-1,-1
Math50,4,12,8
Math51,9,8,-1
Math52,153,-1,-1
Math53,1,1,0
Math54,485,-1,-1
Math55,32,-1,-1
Math56,1,1,0
Math57,1,4,3
Math58,581,-1,-1
Math59,397,-1,-1
Math60,2,1,-1
Math61,112,-1,-1
Math62,3,7,4
Math63,5,-1,-1
Math64,69,-1,-1
Math65,8,16,8
Math66,2,7,5
Math67,200,-1,-1
Math68,8,23,15
Math69,115,-1,-1
Math70,25,-1,-1
Math71,292,-1,-1
Math72,31,-1,-1
Math73,47,-1,-1
Math74,3,4,1
Math75,37,-1,-1
Math76,1,1,0
Math77,17,-1,-1
Math78,2,3,1
Math79,33,-1,-1
Math80,11,21,10
Math81,159,-1,-1
Math82,218,-1,-1
Math83,147,-1,-1
Math84,38,-1,-1
Math85,6,8,2
Math86,50,-1,-1
Math87,1,1,0
Math88,1,3,2
Math89,3,-1,-1
Math90,2,2,0
Math91,19,-1,-1
Math92,1,1,0
Math93,2,-1,-1
Math94,1,2,1
Math95,1,2,1
Math96,12,-1,-1
Math97,14,-1,-1
Math98,2,-1,-1
Math99,6,-1,-1
Math101,60,-1,-1
Math102,3,7,4
Math103,2,3,1
Math105,17,-1,-1
Math106,8,-1,-1
Mockito1,67,-1,-1
Mockito2,4,5,1
Mockito3,3,5,2
Mockito4,155,-1,-1
Mockito6,51,-1,-1
Mockito7,635,-1,-1
Mockito8,6,2,-4
Mockito9,1,4,3
Mockito10,22,-1,-1
Mockito11,1,1,0
Mockito12,9,9,0
Mockito13,77,-1,-1
Mockito14,5,11,6
Mockito15,1,3,2
Mockito16,41,-1,-1
Mockito17,158,-1,-1
Mockito18,85,-1,-1
Mockito19,77,-1,-1
Mockito20,8,5,-3
Mockito21,2,4,2
Mockito22,3,7,4
Mockito23,1,4,3
Mockito24,19,-1,-1
Mockito25,1,2,1
Mockito26,676,-1,-1
Mockito27,243,-1,-1
