Project,now,before,Difference
Chart1,2,1,-1
Chart2,8,38,30
Chart3,3,3,0
Chart4,15,153,138
Chart5,4,8,4
Chart6,91,94,3
Chart7,35,31,-4
Chart8,9,7,-2
Chart9,10,8,-2
Chart10,1,1,0
Chart11,2,1,-1
Chart12,52,36,-16
Chart13,6,1,-5
Chart14,12,1,-11
Chart15,1,19,18
Chart16,1,1,0
Chart17,1,1,0
Chart18,1,2,1
Chart19,5,1,-4
Chart20,8,6,-2
Chart21,5,3,-2
Chart22,1,2,1
Chart24,1,1,0
Chart25,1,3,2
Chart26,1,1,0
Closure1,20,37,17
Closure2,103,96,-7
Closure3,43,42,-1
Closure4,1,1,0
Closure5,8,1,-7
Closure6,1,1,0
Closure7,86,93,7
Closure8,13,3,-10
Closure9,1,1,0
Closure10,153,195,42
Closure11,6,3,-3
Closure12,111,199,88
Closure13,3236,3272,36
Closure14,2,1,-1
Closure15,56,66,10
Closure16,189,137,-52
Closure17,5,1,-4
Closure18,25,205,180
Closure19,27,27,0
Closure20,101,53,-48
Closure21,1,1,0
Closure22,1,1,0
Closure23,97,71,-26
Closure24,1,1,0
Closure25,55,20,-35
Closure26,53,17,-36
Closure27,4,5,1
Closure29,41,20,-21
Closure30,186,163,-23
Closure31,66,235,169
Closure32,2,1,-1
Closure33,44,19,-25
Closure34,5,1,-4
Closure35,279,143,-136
Closure36,166,64,-102
Closure37,295,346,51
Closure38,1,1,0
Closure39,11,5,-6
Closure40,5,1,-4
Closure41,675,571,-104
Closure42,2,6,4
Closure43,20,168,148
Closure44,157,130,-27
Closure45,43,30,-13
Closure46,2,1,-1
Closure47,5,5,0
Closure48,2,2,0
Closure49,10,6,-4
Closure50,4,3,-1
Closure51,1,1,0
Closure52,74,73,-1
Closure53,78,67,-11
Closure54,94,72,-22
Closure55,21,36,15
Closure56,8,25,17
Closure57,55,34,-21
Closure58,5,42,37
Closure59,820,1687,867
Closure60,71,53,-18
Closure61,25,41,16
Closure62,1,1,0
Closure63,1,1,0
Closure64,156,410,254
Closure65,41,29,-12
Closure66,3,4,1
Closure67,1,8,7
Closure68,26,7,-19
Closure69,301,482,181
Closure70,1,1,0
Closure71,2,1,-1
Closure72,125,210,85
Closure73,1,1,0
Closure74,2,1,-1
Closure75,32,42,10
Closure76,5,6,1
Closure77,72,29,-43
Closure78,70,21,-49
Closure79,54,111,57
Closure80,94,150,56
Closure81,13,12,-1
Closure82,2122,1825,-297
Closure83,1,1,0
Closure84,6,17,11
Closure85,3,8,5
Closure86,19,1,-18
Closure87,59,55,-4
Closure88,8,1,-7
Closure89,7,10,3
Closure90,38,34,-4
Closure91,177,165,-12
Closure92,1,1,0
Closure93,2,1,-1
Closure94,42,26,-16
Closure95,1217,1154,-63
Closure96,45,63,18
Closure97,109,69,-40
Closure98,23,47,24
Closure99,8,4,-4
Closure100,1,7,6
Closure101,666,1850,1184
Closure102,1667,3413,1746
Closure103,321,569,248
Closure104,3,3,0
Closure105,46,38,-8
Closure106,2,2,0
Closure107,9,4,-5
Closure108,25,19,-6
Closure109,2,19,17
Closure110,82,33,-49
Closure111,73,134,61
Closure112,164,139,-25
Closure113,2,3,1
Closure114,17,12,-5
Closure115,5,3,-2
Closure116,24,84,60
Closure117,16,3,-13
Closure118,111,49,-62
Closure120,598,552,-46
Closure121,43,28,-15
Closure122,1,1,0
Closure123,50,112,62
Closure124,22,37,15
Closure125,60,50,-10
Closure126,4,1,-3
Closure127,26,15,-11
Closure128,5,4,-1
Closure129,308,612,304
Closure130,24,59,35
Closure131,13,7,-6
