Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,29,1,-28
Chart2,org.jfree.data.general.DatasetUtilities#755,51,97,46
Chart2,org.jfree.data.general.DatasetUtilities#757,10,38,28
Chart2,org.jfree.data.general.DatasetUtilities#1242,3,49,46
Chart2,org.jfree.data.general.DatasetUtilities#1243,57,60,3
Chart3,org.jfree.data.time.TimeSeries#1056,10,3,-7
Chart3,org.jfree.data.time.TimeSeries#1057,4,4,0
Chart4,org.jfree.chart.plot.XYPlot#4493,8,153,145
Chart5,org.jfree.data.xy.XYSeries#548,3,8,5
Chart6,org.jfree.chart.util.ShapeList#111,39,94,55
Chart7,org.jfree.data.time.TimePeriodValues#300,21,46,25
Chart7,org.jfree.data.time.TimePeriodValues#302,86,31,-55
Chart8,org.jfree.data.time.Week#175,8,7,-1
Chart9,org.jfree.data.time.TimeSeries#944,10,8,-2
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,1,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,2,1,-1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,149,36,-113
Chart13,org.jfree.chart.block.BorderArrangement#454,84,1,-83
Chart14,org.jfree.chart.plot.XYPlot#2293,21,2,-19
Chart14,org.jfree.chart.plot.XYPlot#2529,23,4,-19
Chart14,org.jfree.chart.plot.CategoryPlot#2166,20,1,-19
Chart14,org.jfree.chart.plot.CategoryPlot#2448,22,3,-19
Chart15,org.jfree.chart.plot.PiePlot#2051,1,19,18
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,2,2,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,28,1,-27
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,18,22,4
Chart17,org.jfree.data.time.TimeSeries#857,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#318,3,2,-1
Chart18,org.jfree.data.DefaultKeyedValues#335,4,52,48
Chart18,org.jfree.data.DefaultKeyedValues2D#455,6,12,6
Chart18,org.jfree.data.DefaultKeyedValues2D#458,1,4,3
Chart18,org.jfree.data.DefaultKeyedValues2D#460,28,14,-14
Chart19,org.jfree.chart.plot.CategoryPlot#698,107,10,-97
Chart19,org.jfree.chart.plot.CategoryPlot#973,19,1,-18
Chart20,org.jfree.chart.plot.ValueMarker#95,4,6,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,10,71,61
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,9,34,25
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,36,41,5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,51,74,23
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,78,33,-45
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,88,53,-35
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,17,31,14
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,44,46,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,56,93,37
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,108,86,-22
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,29,17,-12
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,65,3,-62
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,85,8,-77
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,96,7,-89
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,76,29,-47
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,92,45,-47
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,91,38,-53
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,104,37,-67
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,61,9,-52
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,3,10,7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,64,16,-48
Chart22,org.jfree.data.KeyedObjects2D#231,9,75,66
Chart22,org.jfree.data.KeyedObjects2D#233,38,69,31
Chart22,org.jfree.data.KeyedObjects2D#378,1,2,1
Chart22,org.jfree.data.KeyedObjects2D#345,52,35,-17
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,1,1,0
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,159,200,41
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,1,3,2
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,5,199,194
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,1138,2005,867
Chart26,org.jfree.chart.axis.Axis#1192,1,1,0
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,66,37,-29
Closure2,com.google.javascript.jscomp.TypeCheck#1574,137,96,-41
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,104,42,-62
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,1340,47,-1293
Closure4,com.google.javascript.rhino.jstype.NamedType#190,1,1,0
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,94,4,-90
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,33,1,-32
Closure6,com.google.javascript.jscomp.TypeValidator#366,9,1,-8
Closure6,com.google.javascript.jscomp.TypeValidator#367,40,83,43
Closure6,com.google.javascript.jscomp.TypeValidator#405,1369,3,-1366
Closure6,com.google.javascript.jscomp.TypeValidator#406,2913,96,-2817
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,95,93,-2
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,155,3,-152
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,1,3,2
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,11,1,-10
