Project,MinRank1,MinRank2,Difference
Chart1,29,1,-28
Chart2,3,38,35
Chart3,4,3,-1
Chart4,8,153,145
Chart5,3,8,5
Chart6,39,94,55
Chart7,21,31,10
Chart8,8,7,-1
Chart9,10,8,-2
Chart10,1,1,0
Chart11,2,1,-1
Chart12,149,36,-113
Chart13,84,1,-83
Chart14,20,1,-19
Chart15,1,19,18
Chart16,2,1,-1
Chart17,1,1,0
Chart18,1,2,1
Chart19,19,1,-18
Chart20,4,6,2
Chart21,3,3,0
Chart22,1,2,1
Chart24,1,1,0
Chart25,1,3,2
Chart26,1,1,0
Closure1,66,37,-29
Closure2,137,96,-41
Closure3,104,42,-62
Closure4,1,1,0
Closure5,33,1,-32
Closure6,9,1,-8
Closure7,95,93,-2
Closure8,155,3,-152
Closure9,1,1,0
Closure10,148,195,47
Closure11,22,3,-19
Closure12,54,199,145
Closure13,2300,3272,972
Closure14,3,1,-2
Closure15,73,66,-7
Closure16,313,137,-176
Closure17,143,1,-142
Closure18,22,205,183
Closure19,34,27,-7
Closure20,366,53,-313
Closure21,2,1,-1
Closure22,1,1,0
Closure23,308,71,-237
Closure24,3,1,-2
Closure25,76,20,-56
Closure26,53,17,-36
Closure27,2,5,3
Closure29,292,20,-272
Closure30,264,163,-101
Closure31,35,235,200
Closure32,18,1,-17
Closure33,877,19,-858
Closure34,43,1,-42
Closure35,532,143,-389
Closure36,1246,64,-1182
Closure37,169,346,177
Closure38,8,1,-7
Closure39,29,5,-24
Closure40,74,1,-73
Closure41,843,571,-272
Closure42,20,6,-14
Closure43,14,168,154
Closure44,341,130,-211
Closure45,50,30,-20
Closure46,7,1,-6
Closure47,3,5,2
Closure48,4,2,-2
Closure49,47,6,-41
Closure50,9,3,-6
Closure51,4,1,-3
Closure52,85,73,-12
Closure53,133,67,-66
Closure54,122,72,-50
Closure55,29,36,7
Closure56,4,25,21
Closure57,185,34,-151
Closure58,3,42,39
Closure59,334,1687,1353
Closure60,155,53,-102
Closure61,9,41,32
Closure62,1,1,0
Closure63,1,1,0
Closure64,105,410,305
Closure65,93,29,-64
Closure66,17,4,-13
Closure67,1,8,7
Closure68,29,7,-22
