Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,179,42,-137
Chart2,org.jfree.data.general.DatasetUtilities#755,48,79,31
Chart2,org.jfree.data.general.DatasetUtilities#757,25,51,26
Chart2,org.jfree.data.general.DatasetUtilities#758,333,333,0
Chart2,org.jfree.data.general.DatasetUtilities#761,334,334,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,5,153,148
Chart2,org.jfree.data.general.DatasetUtilities#1243,73,154,81
Chart2,org.jfree.data.general.DatasetUtilities#1245,514,514,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,515,515,0
Chart3,org.jfree.data.time.TimeSeries#1056,38,13,-25
Chart3,org.jfree.data.time.TimeSeries#1057,22,12,-10
Chart4,org.jfree.chart.plot.XYPlot#4493,21,241,220
Chart5,org.jfree.data.xy.XYSeries#548,2,8,6
Chart6,org.jfree.chart.util.ShapeList#111,29,29,0
Chart7,org.jfree.data.time.TimePeriodValues#300,26,86,60
Chart7,org.jfree.data.time.TimePeriodValues#302,109,87,-22
Chart8,org.jfree.data.time.Week#175,17,15,-2
Chart9,org.jfree.data.time.TimeSeries#944,50,10,-40
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,2,1,-1
Chart11,org.jfree.chart.util.ShapeUtilities#275,5,5,0
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,278,97,-181
Chart13,org.jfree.chart.block.BorderArrangement#454,130,21,-109
Chart14,org.jfree.chart.plot.XYPlot#2293,150,8,-142
Chart14,org.jfree.chart.plot.XYPlot#2529,164,29,-135
Chart14,org.jfree.chart.plot.CategoryPlot#2166,159,442,283
Chart14,org.jfree.chart.plot.CategoryPlot#2448,156,16,-140
Chart15,org.jfree.chart.plot.PiePlot#1379,5301,5301,0
Chart15,org.jfree.chart.plot.PiePlot#2051,18,16,-2
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,24,13,-11
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,41,11,-30
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,13,5,-8
Chart17,org.jfree.data.time.TimeSeries#857,9,5,-4
Chart18,org.jfree.data.DefaultKeyedValues#318,16,7,-9
Chart18,org.jfree.data.DefaultKeyedValues#335,1,16,15
Chart18,org.jfree.data.DefaultKeyedValues2D#455,5,5,0
Chart18,org.jfree.data.DefaultKeyedValues2D#458,8,9,1
Chart18,org.jfree.data.DefaultKeyedValues2D#460,45,21,-24
Chart19,org.jfree.chart.plot.CategoryPlot#698,259,25,-234
Chart19,org.jfree.chart.plot.CategoryPlot#973,108,1,-107
Chart20,org.jfree.chart.plot.ValueMarker#95,11,11,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,2,91,89
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,10,92,82
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,48,93,45
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,45,94,49
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,101,95,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,112,96,-16
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,20,97,77
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,57,98,41
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,33,99,66
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,123,100,-23
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,58,23,-35
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,97,1,-96
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,122,9,-113
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,130,15,-115
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,103,101,-2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,118,102,-16
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,117,103,-14
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,129,104,-25
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,90,20,-70
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#184,334,334,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#185,335,335,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#186,336,336,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,5,10,5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,91,17,-74
Chart22,org.jfree.data.KeyedObjects2D#231,2,22,20
Chart22,org.jfree.data.KeyedObjects2D#233,37,12,-25
Chart22,org.jfree.data.KeyedObjects2D#378,4,5,1
Chart22,org.jfree.data.KeyedObjects2D#345,54,98,44
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,2,4,2
