Project,now,before,Difference
Lang-32,1,4,3
Lang-24,32,153,121
Lang-40,1,2,1
Lang-4,2,5,3
Lang-19,3,9,6
Lang-35,1,1,0
Lang-50,62,12,-50
Lang-29,-1,-1,0
Lang-14,1,1,0
Lang-2,7,18,11
Lang-49,9,2,-7
Lang-47,9,23,14
Lang-5,3,1,-2
Lang-16,35,8,-27
Lang-3,6,5,-1
Lang-11,4,1,-3
Lang-6,33,72,39
Lang-13,5,4,-1
Lang-23,-1,-1,0
Lang-17,7,19,12
Lang-18,17,46,29
Lang-63,6,2,-4
Lang-26,10,12,2
Lang-31,3,5,2
Lang-61,5,27,22
Lang-65,4,6,2
Lang-60,11,6,-5
Lang-52,-1,-1,0
Lang-53,39,123,84
Lang-51,-1,-1,0
Lang-58,5,27,22
Lang-1,2,3,1
Lang-59,3,1,-2
Lang-22,32,27,-5
Lang-39,11,38,27
Lang-56,-1,-1,0
Lang-28,2,1,-1
Lang-41,6,6,0
Lang-21,2,1,-1
Lang-43,11,6,-5
Lang-45,13,1,-12
Lang-37,1,4,3
Lang-7,3,23,20
Lang-25,-1,-1,0
Lang-12,1,6,5
Lang-64,14,1,-13
Lang-44,2,5,3
Lang-62,46,6,-40
Lang-38,51,1,-50
Lang-15,14,249,235
Lang-10,8,34,26
Lang-8,66,11,-55
Lang-36,12,91,79
Lang-33,104,692,588
Lang-34,102,74,-28
Lang-46,1,1,0
Lang-55,4,9,5
Lang-20,2,4,2
Lang-42,22,3,-19
Lang-48,4,2,-2
Lang-30,1,2,1
Lang-9,113,62,-51
Lang-57,4,1,-3
Lang-54,7,1,-6
Lang-27,48,27,-21
Time-24,500,157,-343
Time-4,436,16,-420
Time-19,100,254,154
Time-14,9,8,-1
Time-2,172,6,-166
Time-5,52,2,-50
Time-16,337,1,-336
Time-3,299,1,-298
Time-11,81,358,277
Time-6,24,5,-19
Time-13,326,13,-313
Time-23,28,1,-27
Time-17,42,1,-41
Time-18,171,11,-160
Time-26,612,80,-532
Time-1,41,4,-37
Time-22,112,11,-101
Time-21,28,2,-26
Time-7,184,49,-135
Time-25,763,109,-654
Time-12,109,21,-88
Time-15,2,1,-1
Time-10,132,499,367
Time-8,17,10,-7
Time-20,320,6,-314
Time-9,15,5,-10
Time-27,76,1271,1195
Math-69,126,64,-62
Math-32,24,64,40
Math-73,39,12,-27
Math-24,38,71,33
Math-40,18,131,113
Math-4,18,2,-16
Math-91,1,1,0
Math-74,153,984,831
Math-106,60,8,-52
Math-19,36,18,-18
Math-35,2,6,4
Math-78,5,46,41
Math-103,13,30,17
Math-50,7,1,-6
Math-29,22,3,-19
Math-87,4,35,31
Math-14,29,43,14
Math-81,19,46,27
Math-2,55,71,16
Math-49,242,5,-237
Math-47,84,1,-83
Math-92,2,1,-1
Math-86,66,40,-26
Math-66,1,162,161
Math-75,3,1,-2
Math-82,102,214,112
Math-76,69,60,-9
Math-93,1,2,1
Math-5,10,2,-8
Math-67,365,173,-192
Math-16,215,4,-211
Math-3,2,7,5
Math-11,113,60,-53
Math-6,21,285,264
Math-13,25,188,163
Math-23,4,41,37
Math-17,17,508,491
Math-18,448,3,-445
Math-63,2,1,-1
Math-26,243,24,-219
Math-31,43,81,38
Math-61,247,590,343
Math-77,9,19,10
Math-65,14,70,56
Math-60,62,17,-45
Math-52,103,9,-94
Math-53,2,2,0
Math-51,2,29,27
Math-58,483,128,-355
Math-97,8,1,-7
Math-1,281,6,-275
Math-59,282,1,-281
Math-22,27,1,-26
Math-39,100,462,362
Math-100,59,5,-54
Math-56,9,5,-4
Math-28,11,22,11
Math-41,48,14,-34
Math-21,6,6,0
Math-96,9,6,-3
Math-43,65,96,31
Math-68,4,83,79
Math-45,2,1,-1
Math-37,25,1,-24
Math-83,1,69,68
Math-7,12,46,34
Math-25,13,2,-11
Math-85,22,111,89
Math-90,1,5,4
Math-89,1,1,0
Math-95,16,8,-8
Math-12,-1,-1,0
Math-88,7,1,-6
Math-64,7,105,98
Math-101,29,15,-14
Math-71,1,2,1
Math-99,14,5,-9
Math-105,3,25,22
Math-44,31,13,-18
Math-62,36,325,289
Math-94,3,11,8
Math-84,5,13,8
Math-79,3,12,9
Math-38,20,2,-18
Math-15,176,2,-174
Math-10,181,11,-170
Math-98,7,3,-4
Math-102,4,1,-3
Math-8,14,3,-11
Math-36,14,1,-13
Math-33,186,51,-135
Math-72,18,8,-10
Math-104,-1,-1,0
Math-34,7,1,-6
Math-46,81,1,-80
Math-80,126,69,-57
Math-55,6,1,-5
Math-20,44,453,409
Math-42,62,331,269
Math-48,3,687,684
Math-30,56,24,-32
Math-9,17,3,-14
Math-57,10,8,-2
Math-54,322,11,-311
Math-27,9,2,-7
Math-70,5,1,-4
Chart-24,1,4,3
Chart-4,21,241,220
Chart-19,45,1,-44
Chart-14,145,8,-137
Chart-2,5,51,46
Chart-5,2,8,6
Chart-16,12,5,-7
Chart-3,23,12,-11
Chart-11,5,5,0
Chart-6,29,29,0
Chart-13,133,21,-112
Chart-23,-1,-1,0
Chart-17,8,5,-3
Chart-18,1,5,4
Chart-26,123,669,546
Chart-1,180,42,-138
Chart-22,2,5,3
Chart-21,2,1,-1
Chart-7,27,86,59
Chart-25,25,3,-22
Chart-12,281,97,-184
Chart-15,18,16,-2
Chart-10,2,1,-1
Chart-8,17,15,-2
Chart-20,11,11,0
Chart-9,47,10,-37
Mockito-32,380,424,44
Mockito-24,67,1,-66
Mockito-4,722,2100,1378
Mockito-19,282,493,211
Mockito-35,82,9,-73
Mockito-29,635,829,194
Mockito-14,49,509,460
Mockito-2,205,16,-189
Mockito-5,2915,2915,0
Mockito-16,20,4,-16
Mockito-3,271,3,-268
Mockito-11,4,1,-3
Mockito-6,5,2,-3
Mockito-13,114,83,-31
Mockito-23,11,272,261
Mockito-17,27,2,-25
Mockito-18,128,26,-102
Mockito-26,156,41,-115
Mockito-31,26,1,-25
Mockito-1,8,1,-7
Mockito-22,87,9,-78
Mockito-28,72,470,398
Mockito-21,48,2,-46
Mockito-37,216,10,-206
Mockito-7,72,36,-36
Mockito-25,10,58,48
Mockito-12,26,39,13
Mockito-38,558,899,341
Mockito-15,74,174,100
Mockito-10,48,9,-39
Mockito-8,60,37,-23
Mockito-36,493,1857,1364
Mockito-33,174,84,-90
Mockito-34,398,42,-356
Mockito-20,486,217,-269
Mockito-30,142,6,-136
Mockito-9,633,938,305
Mockito-27,44,3,-41
Closure-69,735,189,-546
Closure-127,2201,2062,-139
Closure-32,308,50,-258
Closure-119,-1,-1,0
Closure-73,395,9,-386
Closure-24,344,3,-341
Closure-40,1872,3814,1942
Closure-120,1419,2243,824
Closure-4,75,4943,4868
Closure-91,1017,1939,922
Closure-74,271,37,-234
Closure-109,11,5,-6
Closure-106,87,27,-60
Closure-19,422,6,-416
Closure-35,1595,26,-1569
Closure-78,1458,3,-1455
Closure-103,450,20,-430
Closure-122,174,3,-171
Closure-50,387,64,-323
Closure-29,2390,2938,548
Closure-87,462,788,326
Closure-133,376,1322,946
Closure-14,249,38,-211
Closure-81,172,4,-168
Closure-2,983,10,-973
Closure-49,57,99,42
Closure-107,2488,69,-2419
Closure-47,110,243,133
