Project,MinRank1,MinRank2,Difference
Chart1,179,42,-137
Chart2,5,51,46
Chart3,22,12,-10
Chart4,21,241,220
Chart5,2,8,6
Chart6,29,29,0
Chart7,26,86,60
Chart8,17,15,-2
Chart9,50,10,-40
Chart10,2,1,-1
Chart11,5,5,0
Chart12,278,97,-181
Chart13,130,21,-109
Chart14,150,8,-142
Chart15,18,16,-2
Chart16,13,5,-8
Chart17,9,5,-4
Chart18,1,5,4
Chart19,108,1,-107
Chart20,11,11,0
Chart21,2,1,-1
Chart22,2,5,3
Chart24,2,4,2
Chart25,34,3,-31
Chart26,123,669,546
Closure1,2234,123,-2111
Closure2,1012,10,-1002
Closure3,1512,1504,-8
Closure4,75,4943,4868
Closure5,979,58,-921
Closure6,473,6,-467
Closure7,760,12,-748
Closure8,1456,2441,985
Closure9,2,1,-1
Closure10,830,1685,855
Closure11,623,1827,1204
Closure12,535,1888,1353
Closure13,2901,5541,2640
Closure14,249,38,-211
Closure15,787,61,-726
Closure16,1769,169,-1600
Closure17,2030,10,-2020
Closure18,121,1920,1799
Closure19,462,6,-456
Closure20,1414,2245,831
Closure21,332,7,-325
Closure22,115,1,-114
Closure23,1286,67,-1219
Closure24,435,3,-432
Closure25,852,2694,1842
Closure26,807,24,-783
Closure27,7,1,-6
Closure29,2389,2938,549
Closure30,866,1695,829
Closure31,184,713,529
Closure32,308,50,-258
Closure33,3152,2317,-835
Closure34,111,28,-83
Closure35,1593,26,-1567
Closure36,4877,5948,1071
Closure37,71,716,645
Closure38,421,147,-274
Closure39,245,4,-241
Closure40,1870,3814,1944
Closure41,2074,4104,2030
Closure42,257,11,-246
Closure43,158,2729,2571
Closure44,984,884,-100
Closure45,403,1681,1278
Closure46,119,2,-117
Closure47,110,243,133
Closure48,667,178,-489
Closure49,57,99,42
Closure50,387,64,-323
Closure51,407,17,-390
Closure52,568,7,-561
Closure53,880,3126,2246
Closure54,533,71,-462
Closure55,701,1195,494
Closure56,9,1,-8
Closure57,806,4,-802
Closure58,79,14,-65
Closure59,309,3588,3279
Closure60,1704,2,-1702
Closure61,74,1118,1044
Closure62,1,1,0
Closure63,1,1,0
Closure64,82,1345,1263
Closure65,648,1,-647
Closure66,688,2785,2097
Closure67,35,2399,2364
Closure68,214,7,-207
Closure69,735,189,-546
Closure70,1494,597,-897
Closure71,412,3280,2868
Closure72,723,1608,885
Closure73,420,9,-411
Closure74,268,37,-231
Closure75,364,1,-363
Closure76,179,48,-131
Closure77,865,36,-829
Closure78,2243,3,-2240
Closure79,263,16,-247
Closure80,301,7,-294
Closure81,180,4,-176
Closure82,2737,258,-2479
Closure83,103,74,-29
Closure84,72,9,-63
Closure85,198,66,-132
Closure86,2473,13,-2460
Closure87,462,788,326
Closure88,1616,55,-1561
Closure89,409,55,-354
Closure90,635,582,-53
Closure91,1016,1939,923
Closure92,105,2107,2002
Closure93,105,2157,2052
Closure94,1582,4,-1578
Closure95,1549,2135,586
Closure96,478,37,-441
Closure97,1079,35,-1044
Closure98,408,752,344
Closure99,398,66,-332
Closure100,53,38,-15
Closure101,117,3976,3859
Closure102,568,3147,2579
Closure103,457,20,-437
Closure104,183,9,-174
Closure105,751,42,-709
Closure106,86,27,-59
Closure107,2505,69,-2436
Closure108,252,53,-199
Closure109,11,5,-6
Closure110,1479,35,-1444
Closure111,458,4,-454
Closure112,1320,65,-1255
Closure113,705,8,-697
Closure114,2226,90,-2136
Closure115,560,7,-553
Closure116,187,46,-141
Closure117,2511,153,-2358
Closure118,1911,5618,3707
Closure120,1419,2243,824
Closure121,1274,90,-1184
Closure122,211,3,-208
Closure123,329,98,-231
Closure124,269,18,-251
Closure125,3704,95,-3609
Closure126,1170,2582,1412
Closure127,2195,2062,-133
Closure128,693,2,-691
Closure129,598,6780,6182
Closure130,454,3664,3210
Closure131,481,84,-397
Closure132,415,1938,1523
Closure133,375,1322,947
Lang1,2,3,1
Lang2,7,18,11
Lang3,6,5,-1
Lang4,2,5,3
Lang5,3,1,-2
Lang6,32,72,40
Lang7,3,23,20
Lang8,68,11,-57
Lang9,111,62,-49
Lang10,8,34,26
Lang11,4,1,-3
Lang12,1,6,5
Lang13,5,4,-1
Lang14,1,1,0
Lang15,14,249,235
Lang16,36,8,-28
Lang17,7,19,12
Lang18,17,46,29
Lang19,3,9,6
Lang20,2,4,2
Lang21,2,1,-1
Lang22,30,27,-3
Lang24,32,153,121
Lang26,10,12,2
Lang27,49,27,-22
Lang28,1,1,0
Lang30,1,2,1
Lang31,2,5,3
Lang32,1,4,3
Lang33,692,692,0
Lang34,101,74,-27
Lang35,1,1,0
Lang36,12,91,79
Lang37,1,4,3
Lang38,57,1,-56
Lang39,10,38,28
Lang40,1,2,1
Lang41,4,6,2
Lang42,26,3,-23
Lang43,11,6,-5
Lang44,2,5,3
Lang45,17,1,-16
Lang46,1,1,0
Lang47,9,23,14
Lang48,5,2,-3
Lang49,10,2,-8
Lang50,60,12,-48
Lang53,123,123,0
Lang54,11,1,-10
Lang55,4,9,5
Lang57,4,1,-3
Lang58,5,27,22
Lang59,3,1,-2
Lang60,11,6,-5
Lang61,5,27,22
Lang62,51,6,-45
Lang63,6,2,-4
Lang64,19,1,-18
Lang65,3,6,3
Math1,292,6,-286
Math2,55,71,16
Math3,2,7,5
Math4,18,2,-16
Math5,10,2,-8
Math6,21,285,264
Math7,12,46,34
Math8,20,3,-17
Math9,17,3,-14
Math10,184,11,-173
Math11,113,60,-53
Math13,23,188,165
Math14,28,43,15
Math15,244,2,-242
Math16,226,4,-222
Math17,17,508,491
Math18,494,3,-491
Math19,36,18,-18
Math20,44,453,409
Math21,5,6,1
Math22,53,1,-52
Math23,5,41,36
Math24,38,71,33
Math25,17,2,-15
Math26,246,24,-222
Math27,11,2,-9
Math28,11,22,11
Math29,27,3,-24
Math30,56,24,-32
Math31,42,81,39
Math32,22,64,42
Math33,185,51,-134
Math34,9,1,-8
Math35,2,6,4
Math36,13,1,-12
Math37,24,1,-23
Math38,22,2,-20
Math39,100,462,362
Math40,18,131,113
Math41,49,14,-35
Math42,62,331,269
Math43,65,96,31
Math44,31,13,-18
Math45,2,1,-1
Math46,139,1,-138
Math47,147,1,-146
Math48,3,687,684
Math49,289,5,-284
Math50,7,1,-6
Math51,2,29,27
Math52,106,9,-97
Math53,1,2,1
Math54,331,11,-320
Math55,8,1,-7
Math56,9,5,-4
Math57,11,8,-3
Math58,485,128,-357
Math59,543,1,-542
Math60,61,17,-44
Math61,245,590,345
Math62,36,325,289
Math63,3,1,-2
Math64,7,105,98
Math65,14,70,56
Math66,1,162,161
Math67,359,173,-186
Math68,4,83,79
Math69,124,64,-60
Math70,6,1,-5
Math71,1,2,1
Math72,17,8,-9
Math73,40,12,-28
Math74,153,984,831
Math75,3,1,-2
Math76,69,60,-9
Math77,9,19,10
Math78,5,46,41
