Project,now,before,Difference
Chart1,138,42,-96
Chart2,87,92,5
Chart3,2,3,1
Chart4,48,165,117
Chart5,5,8,3
Chart6,62,57,-5
Chart7,53,81,28
Chart8,8,1,-7
Chart9,7,14,7
Chart10,2,3,1
Chart11,4,5,1
Chart12,27,13,-14
Chart13,41,47,6
Chart14,27,15,-12
Chart15,26,29,3
Chart16,1,1,0
Chart17,2,2,0
Chart18,2,3,1
Chart19,2,1,-1
Chart20,13,5,-8
Chart21,3,3,0
Chart22,6,51,45
Chart24,1,3,2
Chart25,2599,2745,146
Chart26,134,134,0
Closure1,1329,122,-1207
Closure2,97,96,-1
Closure3,1047,279,-768
Closure4,45,168,123
Closure5,375,154,-221
Closure6,1,1,0
Closure7,2,2,0
Closure8,354,123,-231
Closure9,1,1,0
Closure10,519,264,-255
Closure11,758,2712,1954
Closure12,784,1081,297
Closure13,3758,5651,1893
Closure14,1,1,0
Closure15,226,185,-41
Closure16,97,93,-4
Closure17,177,114,-63
Closure18,276,1805,1529
Closure19,9,9,0
Closure20,15,2,-13
Closure21,15,15,0
Closure22,14,14,0
Closure23,6,8,2
Closure24,1,1,0
Closure25,107,107,0
Closure26,10,11,1
Closure27,1,3,2
Closure29,1187,357,-830
Closure30,408,220,-188
Closure31,278,1492,1214
Closure32,36,30,-6
Closure33,2917,573,-2344
Closure34,531,199,-332
Closure35,6,6,0
Closure36,1476,1062,-414
Closure37,205,967,762
Closure38,731,284,-447
Closure39,80,73,-7
Closure40,165,120,-45
Closure41,2070,902,-1168
Closure42,1,1,0
Closure43,243,465,222
Closure44,1729,571,-1158
Closure45,428,280,-148
Closure46,1,1,0
Closure47,220,274,54
Closure48,725,2192,1467
Closure49,131,1090,959
Closure50,81,76,-5
Closure51,707,274,-433
Closure52,531,138,-393
Closure53,63,47,-16
Closure54,33,31,-2
Closure55,474,329,-145
Closure56,38,50,12
Closure57,446,50,-396
Closure58,4,7,3
Closure59,415,5974,5559
Closure60,174,26,-148
Closure61,74,115,41
Closure62,1,4,3
Closure63,1,4,3
Closure64,146,1556,1410
Closure65,1022,283,-739
Closure66,785,2784,1999
Closure67,102,223,121
Closure68,3,3,0
Closure69,807,2398,1591
Closure70,1599,2674,1075
Closure71,405,390,-15
Closure72,757,241,-516
Closure73,602,1355,753
Closure74,25,38,13
Closure75,82,9,-73
Closure76,105,114,9
Closure77,1269,1329,60
Closure78,1,1,0
Closure79,28,45,17
Closure80,42,58,16
Closure81,263,137,-126
Closure82,2927,599,-2328
Closure83,49,10,-39
Closure84,106,172,66
Closure85,158,162,4
Closure86,1,1,0
Closure87,328,150,-178
Closure88,68,69,1
Closure89,417,159,-258
Closure90,31,46,15
Closure91,744,284,-460
Closure92,73,85,12
Closure93,73,85,12
Closure94,1,1,0
Closure95,1578,1640,62
Closure96,503,424,-79
Closure97,19,1,-18
Closure98,458,425,-33
Closure99,26,17,-9
Closure100,35,38,3
Closure101,569,2775,2206
Closure102,3173,4752,1579
Closure103,243,290,47
Closure104,10,13,3
Closure105,70,7,-63
