Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,37,42,5
Chart2,org.jfree.data.general.DatasetUtilities#755,80,102,22
Chart2,org.jfree.data.general.DatasetUtilities#757,69,104,35
Chart2,org.jfree.data.general.DatasetUtilities#758,579,579,0
Chart2,org.jfree.data.general.DatasetUtilities#761,580,580,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,56,92,36
Chart2,org.jfree.data.general.DatasetUtilities#1243,90,93,3
Chart2,org.jfree.data.general.DatasetUtilities#1245,760,760,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,761,761,0
Chart3,org.jfree.data.time.TimeSeries#1056,5,3,-2
Chart3,org.jfree.data.time.TimeSeries#1057,2,4,2
Chart4,org.jfree.chart.plot.XYPlot#4493,37,165,128
Chart5,org.jfree.data.xy.XYSeries#548,4,8,4
Chart6,org.jfree.chart.util.ShapeList#111,47,57,10
Chart7,org.jfree.data.time.TimePeriodValues#300,28,81,53
Chart7,org.jfree.data.time.TimePeriodValues#302,111,82,-29
Chart8,org.jfree.data.time.Week#175,8,1,-7
Chart9,org.jfree.data.time.TimeSeries#944,7,14,7
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,2,3,1
Chart11,org.jfree.chart.util.ShapeUtilities#275,4,5,1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,34,13,-21
Chart13,org.jfree.chart.block.BorderArrangement#454,43,47,4
Chart14,org.jfree.chart.plot.XYPlot#2293,24,28,4
Chart14,org.jfree.chart.plot.XYPlot#2529,26,35,9
Chart14,org.jfree.chart.plot.CategoryPlot#2166,23,15,-8
Chart14,org.jfree.chart.plot.CategoryPlot#2448,25,22,-3
Chart15,org.jfree.chart.plot.PiePlot#1379,6721,6721,0
Chart15,org.jfree.chart.plot.PiePlot#2051,17,29,12
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,2,1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,20,2,-18
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,36,37,1
Chart17,org.jfree.data.time.TimeSeries#857,1,2,1
Chart18,org.jfree.data.DefaultKeyedValues#318,3,3,0
Chart18,org.jfree.data.DefaultKeyedValues#335,1,9,8
Chart18,org.jfree.data.DefaultKeyedValues2D#455,9,10,1
Chart18,org.jfree.data.DefaultKeyedValues2D#458,11,13,2
Chart18,org.jfree.data.DefaultKeyedValues2D#460,14,15,1
Chart19,org.jfree.chart.plot.CategoryPlot#698,5,1,-4
Chart19,org.jfree.chart.plot.CategoryPlot#973,2,2,0
Chart20,org.jfree.chart.plot.ValueMarker#95,8,5,-3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,15,80,65
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,23,81,58
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,61,82,21
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,57,83,26
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,104,84,-20
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,112,85,-27
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,33,86,53
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,70,87,17
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,47,88,41
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,124,89,-35
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,13,24,11
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,14,3,-11
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,34,4,-30
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,58,5,-53
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,105,90,-15
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,122,91,-31
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,121,92,-29
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,130,93,-37
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,20,12,-8
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#184,481,481,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#185,482,482,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#186,483,483,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,3,13,10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,21,14,-7
Chart22,org.jfree.data.KeyedObjects2D#231,14,65,51
Chart22,org.jfree.data.KeyedObjects2D#233,38,67,29
Chart22,org.jfree.data.KeyedObjects2D#378,5,51,46
Chart22,org.jfree.data.KeyedObjects2D#345,75,88,13
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,1,3,2
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,2225,2745,520
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,1879,2764,885
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,2141,2956,815
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,2479,2937,458
Chart26,org.jfree.chart.axis.Axis#1192,38,134,96
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,92,122,30
Closure2,com.google.javascript.jscomp.TypeCheck#1574,65,96,31
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,391,438,47
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,393,279,-114
Closure4,com.google.javascript.rhino.jstype.NamedType#190,49,168,119
Closure4,com.google.javascript.rhino.jstype.NamedType#202,17972,17972,0
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,152,166,14
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,121,154,33
Closure6,com.google.javascript.jscomp.TypeValidator#366,63,106,43
Closure6,com.google.javascript.jscomp.TypeValidator#367,1,1,0
Closure6,com.google.javascript.jscomp.TypeValidator#405,3587,3859,272
Closure6,com.google.javascript.jscomp.TypeValidator#406,80,15,-65
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,2,2,0
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,119,123,4
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#183,2866,2866,0
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,3,11,8
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,1,1,0
