Project,MinRank1,MinRank2,Difference
Chart1,37,42,5
Chart2,56,92,36
Chart3,2,3,1
Chart4,37,165,128
Chart5,4,8,4
Chart6,47,57,10
Chart7,28,81,53
Chart8,8,1,-7
Chart9,7,14,7
Chart10,2,3,1
Chart11,4,5,1
Chart12,34,13,-21
Chart13,43,47,4
Chart14,23,15,-8
Chart15,17,29,12
Chart16,2,1,-1
Chart17,1,2,1
Chart18,1,3,2
Chart19,2,1,-1
Chart20,8,5,-3
Chart21,3,3,0
Chart22,5,51,46
Chart24,1,3,2
Chart25,1879,2745,866
Chart26,38,134,96
Closure1,92,122,30
Closure2,65,96,31
Closure3,391,279,-112
Closure4,49,168,119
Closure5,121,154,33
Closure6,1,1,0
Closure7,2,2,0
Closure8,119,123,4
Closure9,1,1,0
Closure10,180,264,84
Closure11,1178,2712,1534
Closure12,647,1081,434
Closure13,4868,5651,783
Closure14,1,1,0
Closure15,121,185,64
Closure16,54,93,39
Closure17,95,114,19
Closure18,595,1805,1210
Closure19,2,9,7
Closure20,17,2,-15
Closure21,7,15,8
Closure22,7,14,7
Closure23,6,8,2
Closure24,1,1,0
Closure25,128,107,-21
Closure26,4,11,7
Closure27,1,3,2
Closure29,285,357,72
Closure30,137,220,83
Closure31,753,1492,739
Closure32,36,30,-6
Closure33,707,573,-134
Closure34,392,199,-193
Closure35,14,6,-8
Closure36,1199,1062,-137
Closure37,570,967,397
Closure38,228,284,56
Closure39,50,73,23
Closure40,105,120,15
Closure41,1577,902,-675
Closure42,1,1,0
Closure43,266,465,199
Closure44,1536,571,-965
Closure45,178,280,102
Closure46,1,1,0
Closure47,182,274,92
Closure48,744,2192,1448
Closure49,690,1090,400
Closure50,70,76,6
Closure51,207,274,67
Closure52,114,138,24
Closure53,42,47,5
Closure54,16,31,15
Closure55,194,329,135
Closure56,20,50,30
Closure57,60,50,-10
Closure58,2,7,5
Closure59,3328,5974,2646
Closure60,24,26,2
Closure61,68,115,47
Closure62,1,4,3
Closure63,1,4,3
Closure64,702,1556,854
Closure65,222,283,61
Closure66,2505,2784,279
Closure67,97,223,126
Closure68,3,3,0
Closure69,1401,2398,997
Closure70,2018,2674,656
Closure71,202,390,188
Closure72,219,241,22
Closure73,745,1355,610
Closure74,14,38,24
Closure75,10,9,-1
Closure76,83,114,31
Closure77,1222,1329,107
Closure78,30,1,-29
Closure79,23,45,22
Closure80,26,58,32
Closure81,106,137,31
Closure82,1387,599,-788
Closure83,10,10,0
Closure84,116,172,56
Closure85,75,162,87
Closure86,1,1,0
Closure87,104,150,46
Closure88,61,69,8
Closure89,117,159,42
Closure90,18,46,28
Closure91,526,284,-242
Closure92,68,85,17
Closure93,68,85,17
Closure94,3,1,-2
Closure95,1348,1640,292
Closure96,263,424,161
Closure97,21,1,-20
Closure98,284,425,141
Closure99,62,17,-45
Closure100,3,38,35
Closure101,728,2775,2047
Closure102,4221,4752,531
Closure103,186,290,104
Closure104,12,13,1
Closure105,83,7,-76
Closure106,55,113,58
Closure107,168,132,-36
Closure108,145,237,92
Closure109,10,33,23
Closure110,7,2,-5
Closure111,1,1,0
Closure112,55,89,34
Closure113,10,17,7
Closure114,393,215,-178
Closure115,6,8,2
Closure116,6,10,4
Closure117,319,280,-39
Closure118,1,2,1
Closure120,205,287,82
Closure121,283,388,105
Closure122,2,9,7
Closure123,116,222,106
