Project,now,before,Difference
Chart1,148,42,-106
Chart2,87,92,5
Chart3,2,3,1
Chart4,49,179,130
Chart5,4,8,4
Chart6,62,104,42
Chart7,53,81,28
Chart8,8,1,-7
Chart9,7,14,7
Chart10,2,3,1
Chart11,4,5,1
Chart12,43,13,-30
Chart13,41,47,6
Chart14,18,6,-12
Chart15,11,29,18
Chart16,1,1,0
Chart17,2,2,0
Chart18,1,3,2
Chart19,2,1,-1
Chart20,14,5,-9
Chart21,3,3,0
Chart22,4,12,8
Chart24,1,3,2
Chart25,2494,2640,146
Chart26,15,134,119
Closure1,1016,619,-397
Closure2,82,66,-16
Closure3,1286,279,-1007
Closure4,65,191,126
Closure5,625,154,-471
Closure6,1,1,0
Closure7,2,2,0
Closure8,729,123,-606
Closure9,1,1,0
Closure10,483,221,-262
Closure11,688,1147,459
Closure12,735,1081,346
Closure13,3468,5651,2183
Closure14,3,4,1
Closure15,346,185,-161
Closure16,168,200,32
Closure17,319,86,-233
Closure18,253,2060,1807
Closure19,1,1,0
Closure20,15,2,-13
Closure21,6,6,0
Closure22,6,4,-2
Closure23,6,8,2
Closure24,1,1,0
Closure25,108,107,-1
Closure26,4,5,1
Closure27,1,3,2
Closure29,667,432,-235
Closure30,513,242,-271
Closure31,290,1664,1374
Closure32,54,35,-19
Closure33,2892,510,-2382
Closure34,529,230,-299
Closure35,17,6,-11
Closure36,2572,1062,-1510
Closure37,153,1226,1073
Closure38,742,345,-397
Closure39,43,21,-22
Closure40,300,120,-180
Closure41,2035,695,-1340
Closure42,1,1,0
Closure43,200,506,306
Closure44,1735,778,-957
Closure45,459,280,-179
Closure46,1,1,0
Closure47,216,338,122
Closure48,687,389,-298
Closure49,462,1260,798
Closure50,96,88,-8
Closure51,719,326,-393
Closure52,430,116,-314
Closure53,247,47,-200
Closure54,138,55,-83
Closure55,574,329,-245
Closure56,31,65,34
Closure57,292,25,-267
Closure58,4,7,3
Closure59,436,6779,6343
Closure60,105,19,-86
Closure61,63,138,75
Closure62,1,4,3
Closure63,1,4,3
Closure64,146,1484,1338
Closure65,347,78,-269
Closure66,841,2743,1902
Closure67,103,281,178
Closure68,3,3,0
Closure69,808,1006,198
Closure70,1588,2011,423
Closure71,284,284,0
Closure72,770,241,-529
Closure73,588,305,-283
Closure74,69,117,48
Closure75,17,8,-9
Closure76,109,136,27
Closure77,1240,306,-934
Closure78,1,1,0
Closure79,34,51,17
Closure80,23,13,-10
Closure81,258,173,-85
Closure82,3093,1092,-2001
Closure83,73,10,-63
Closure84,97,195,98
Closure85,119,164,45
Closure86,2,2,0
Closure87,409,150,-259
Closure88,69,69,0
Closure89,350,164,-186
Closure90,61,46,-15
Closure91,783,284,-499
Closure92,76,85,9
Closure93,76,85,9
Closure94,4,4,0
Closure95,1578,1764,186
Closure96,478,247,-231
Closure97,19,1,-18
Closure98,446,425,-21
Closure99,76,19,-57
Closure100,6,7,1
Closure101,410,2775,2365
Closure102,1939,4752,2813
Closure103,309,289,-20
Closure104,19,13,-6
Closure105,70,7,-63
Closure106,12,105,93
Closure107,1185,132,-1053
Closure108,231,237,6
Closure109,9,33,24
Closure110,7,2,-5
Closure111,1,1,0
Closure112,377,109,-268
Closure113,44,17,-27
Closure114,1768,215,-1553
Closure115,8,8,0
Closure116,16,30,14
Closure117,2142,225,-1917
Closure118,2,2,0
Closure120,993,239,-754
Closure121,1008,388,-620
Closure122,8,9,1
Closure123,267,159,-108
Closure124,14,10,-4
Closure125,3377,396,-2981
Closure126,35,5,-30
Closure127,251,210,-41
Closure128,586,102,-484
Closure129,766,3293,2527
Closure130,457,545,88
Closure131,549,300,-249
Closure132,71,80,9
Closure133,428,516,88
Lang1,1,3,2
Lang2,4,3,-1
Lang3,5,3,-2
Lang4,3,2,-1
Lang5,1,1,0
Lang6,49,98,49
Lang7,11,122,111
Lang8,6,6,0
Lang9,175,142,-33
Lang10,58,56,-2
Lang11,3,3,0
Lang12,1,5,4
Lang13,3,5,2
Lang14,1,4,3
Lang15,38,191,153
Lang16,40,27,-13
Lang17,12,102,90
Lang18,41,41,0
Lang19,8,8,0
Lang20,2,8,6
Lang21,1,2,1
Lang22,33,31,-2
Lang24,6,64,58
Lang26,15,7,-8
Lang27,137,127,-10
Lang28,1,3,2
Lang30,2,8,6
Lang31,2,4,2
Lang32,2,26,24
