Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,38,42,4
Chart2,org.jfree.data.general.DatasetUtilities#755,68,102,34
Chart2,org.jfree.data.general.DatasetUtilities#757,58,104,46
Chart2,org.jfree.data.general.DatasetUtilities#758,579,579,0
Chart2,org.jfree.data.general.DatasetUtilities#761,580,580,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,38,92,54
Chart2,org.jfree.data.general.DatasetUtilities#1243,79,93,14
Chart2,org.jfree.data.general.DatasetUtilities#1245,760,760,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,761,761,0
Chart3,org.jfree.data.time.TimeSeries#1056,5,3,-2
Chart3,org.jfree.data.time.TimeSeries#1057,2,4,2
Chart4,org.jfree.chart.plot.XYPlot#4493,21,179,158
Chart5,org.jfree.data.xy.XYSeries#548,4,8,4
Chart6,org.jfree.chart.util.ShapeList#111,60,104,44
Chart7,org.jfree.data.time.TimePeriodValues#300,29,81,52
Chart7,org.jfree.data.time.TimePeriodValues#302,110,82,-28
Chart8,org.jfree.data.time.Week#175,8,1,-7
Chart9,org.jfree.data.time.TimeSeries#944,7,14,7
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,2,3,1
Chart11,org.jfree.chart.util.ShapeUtilities#275,4,5,1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,34,13,-21
Chart13,org.jfree.chart.block.BorderArrangement#454,43,47,4
Chart14,org.jfree.chart.plot.XYPlot#2293,20,19,-1
Chart14,org.jfree.chart.plot.XYPlot#2529,22,26,4
Chart14,org.jfree.chart.plot.CategoryPlot#2166,19,6,-13
Chart14,org.jfree.chart.plot.CategoryPlot#2448,21,13,-8
Chart15,org.jfree.chart.plot.PiePlot#1379,6721,6721,0
Chart15,org.jfree.chart.plot.PiePlot#2051,10,29,19
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,6,1,-5
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,30,2,-28
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,26,37,11
Chart17,org.jfree.data.time.TimeSeries#857,1,2,1
Chart18,org.jfree.data.DefaultKeyedValues#318,3,3,0
Chart18,org.jfree.data.DefaultKeyedValues#335,1,9,8
Chart18,org.jfree.data.DefaultKeyedValues2D#455,6,10,4
Chart18,org.jfree.data.DefaultKeyedValues2D#458,8,13,5
Chart18,org.jfree.data.DefaultKeyedValues2D#460,14,15,1
Chart19,org.jfree.chart.plot.CategoryPlot#698,6,1,-5
Chart19,org.jfree.chart.plot.CategoryPlot#973,2,2,0
Chart20,org.jfree.chart.plot.ValueMarker#95,8,5,-3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,12,80,68
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,18,81,63
