Project,MinRank1,MinRank2,Difference
Chart1,38,42,4
Chart2,38,92,54
Chart3,2,3,1
Chart4,21,179,158
Chart5,4,8,4
Chart6,60,104,44
Chart7,29,81,52
Chart8,8,1,-7
Chart9,7,14,7
Chart10,2,3,1
Chart11,4,5,1
Chart12,34,13,-21
Chart13,43,47,4
Chart14,19,6,-13
Chart15,10,29,19
Chart16,6,1,-5
Chart17,1,2,1
Chart18,1,3,2
Chart19,2,1,-1
Chart20,8,5,-3
Chart21,3,3,0
Chart22,2,12,10
Chart24,1,3,2
Chart25,456,2640,2184
Chart26,12,134,122
Closure1,245,619,374
Closure2,32,66,34
Closure3,385,279,-106
Closure4,53,191,138
Closure5,122,154,32
Closure6,1,1,0
Closure7,2,2,0
Closure8,117,123,6
Closure9,1,1,0
Closure10,147,221,74
Closure11,572,1147,575
Closure12,642,1081,439
Closure13,4864,5651,787
Closure14,1,4,3
Closure15,114,185,71
Closure16,98,200,102
Closure17,64,86,22
Closure18,1076,2060,984
Closure19,1,1,0
Closure20,17,2,-15
Closure21,4,6,2
Closure22,4,4,0
Closure23,6,8,2
Closure24,1,1,0
Closure25,127,107,-20
Closure26,4,5,1
Closure27,1,3,2
Closure29,269,432,163
Closure30,153,242,89
Closure31,1024,1664,640
Closure32,78,35,-43
Closure33,495,510,15
Closure34,368,230,-138
Closure35,14,6,-8
Closure36,1225,1062,-163
Closure37,701,1226,525
Closure38,272,345,73
Closure39,11,21,10
Closure40,106,120,14
Closure41,1106,695,-411
Closure42,1,1,0
Closure43,278,506,228
Closure44,1715,778,-937
Closure45,178,280,102
Closure46,1,1,0
Closure47,49,338,289
Closure48,259,389,130
Closure49,784,1260,476
Closure50,69,88,19
Closure51,249,326,77
Closure52,95,116,21
Closure53,41,47,6
Closure54,27,55,28
Closure55,188,329,141
Closure56,27,65,38
Closure57,34,25,-9
Closure58,2,7,5
Closure59,4121,6779,2658
Closure60,33,19,-14
Closure61,72,138,66
Closure62,1,4,3
Closure63,1,4,3
Closure64,631,1484,853
Closure65,56,78,22
Closure66,1898,2743,845
Closure67,115,281,166
Closure68,3,3,0
Closure69,606,1006,400
Closure70,1589,2011,422
Closure71,120,284,164
Closure72,218,241,23
Closure73,241,305,64
Closure74,39,117,78
Closure75,7,8,1
Closure76,70,136,66
Closure77,513,306,-207
Closure78,48,1,-47
Closure79,25,51,26
Closure80,9,13,4
Closure81,121,173,52
Closure82,2646,1092,-1554
Closure83,10,10,0
Closure84,130,195,65
Closure85,74,164,90
Closure86,3,2,-1
Closure87,103,150,47
Closure88,44,69,25
Closure89,110,164,54
Closure90,17,46,29
Closure91,529,284,-245
Closure92,66,85,19
Closure93,66,85,19
Closure94,9,4,-5
Closure95,1551,1764,213
Closure96,179,247,68
Closure97,21,1,-20
Closure98,284,425,141
Closure99,14,19,5
Closure100,1,7,6
Closure101,692,2775,2083
Closure102,4215,4752,537
Closure103,172,289,117
Closure104,13,13,0
Closure105,83,7,-76
Closure106,10,105,95
Closure107,165,132,-33
Closure108,145,237,92
Closure109,10,33,23
Closure110,7,2,-5
Closure111,1,1,0
Closure112,69,109,40
Closure113,10,17,7
Closure114,393,215,-178
Closure115,6,8,2
Closure116,6,30,24
Closure117,187,225,38
Closure118,2,2,0
Closure120,168,239,71
Closure121,283,388,105
Closure122,3,9,6
Closure123,82,159,77
Closure124,4,10,6
Closure125,461,396,-65
Closure126,39,5,-34
Closure127,221,210,-11
Closure128,90,102,12
Closure129,2310,3293,983
Closure130,294,545,251
Closure131,228,300,72
Closure132,44,80,36
Closure133,370,516,146
Lang1,1,3,2
Lang2,3,3,0
Lang3,3,3,0
Lang4,2,2,0
Lang5,1,1,0
Lang6,49,98,49
Lang7,4,122,118
Lang8,2,6,4
Lang9,165,142,-23
Lang10,39,56,17
Lang11,2,3,1
Lang12,1,5,4
Lang13,3,5,2
Lang14,1,4,3
Lang15,20,191,171
Lang16,36,27,-9
Lang17,24,102,78
Lang18,15,41,26
Lang19,6,8,2
Lang20,2,8,6
Lang21,1,2,1
Lang22,30,31,1
Lang24,6,64,58
Lang26,6,7,1
Lang27,68,127,59
Lang28,1,3,2
Lang30,2,8,6
Lang31,2,4,2
Lang32,2,26,24
Lang33,1,7,6
Lang34,56,64,8
Lang35,1,2,1
Lang36,21,42,21
Lang37,1,6,5
Lang38,1,3,2
Lang39,13,27,14
Lang40,1,2,1
Lang41,3,6,3
Lang42,5,13,8
Lang43,3,6,3
Lang44,2,3,1
Lang45,17,10,-7
Lang46,1,1,0
Lang47,3,5,2
Lang48,1,2,1
Lang49,1,1,0
Lang50,12,8,-4
Lang53,9,16,7
Lang54,5,3,-2
Lang55,2,7,5
Lang57,4,6,2
Lang58,5,20,15
Lang59,1,6,5
Lang60,2,2,0
Lang61,3,21,18
Lang62,7,4,-3
Lang63,1,1,0
Lang64,1,4,3
Lang65,4,7,3
Math1,8,8,0
Math2,38,44,6
Math3,2,3,1
Math4,1,17,16
Math5,2,1,-1
Math6,8,170,162
Math7,12,42,30
Math8,1,4,3
Math9,1,1,0
Math10,18,12,-6
Math11,59,31,-28
Math13,54,159,105
Math14,60,99,39
Math15,141,211,70
Math16,7,1,-6
Math17,61,89,28
Math18,15,14,-1
Math19,29,56,27
Math20,74,598,524
Math21,4,41,37
Math22,1,1,0
Math23,57,148,91
Math24,87,150,63
Math25,6,1,-5
Math26,38,38,0
Math27,1,1,0
Math28,6,12,6
Math29,1,6,5
Math30,12,41,29
Math31,109,190,81
Math32,1,4,3
Math33,128,44,-84
Math34,1,3,2
Math35,2,3,1
Math36,2,2,0
Math37,4,6,2
Math38,2,5,3
Math39,105,117,12
Math40,22,33,11
Math41,29,43,14
Math42,43,72,29
Math43,44,72,28
Math44,8,14,6
Math45,1,1,0
Math46,2,1,-1
Math47,2,2,0
Math48,78,355,277
Math49,30,7,-23
Math50,1,1,0
Math51,22,30,8
Math52,14,22,8
Math53,1,1,0
Math54,243,136,-107
Math55,1,1,0
Math56,2,20,18
Math57,2,4,2
Math58,617,545,-72
Math59,2,2,0
Math60,26,36,10
Math61,1,1,0
Math62,36,128,92
Math63,3,1,-2
Math64,55,144,89
Math65,40,41,1
Math66,1,54,53
Math67,322,8,-314
Math68,21,127,106
Math69,74,44,-30
Math70,1,1,0
Math71,1,1,0
Math72,1,1,0
Math73,5,1,-4
Math74,489,777,288
Math75,1,1,0
Math76,140,99,-41
Math77,1,19,18
Math78,20,117,97
Math79,13,29,16
Math80,4,14,10
Math81,2,10,8
Math82,104,151,47
Math83,1,40,39
Math84,38,45,7
