Project,now,before,Difference
Chart1,47,42,-5
Chart2,88,92,4
Chart3,2,3,1
Chart4,89,171,82
Chart5,5,8,3
Chart6,59,57,-2
Chart7,52,81,29
Chart8,8,1,-7
Chart9,7,14,7
Chart10,2,3,1
Chart11,4,5,1
Chart12,26,13,-13
Chart13,41,47,6
Chart14,18,6,-12
Chart15,26,29,3
Chart16,1,1,0
Chart17,2,2,0
Chart18,2,3,1
Chart19,2,1,-1
Chart20,8,5,-3
Chart21,3,3,0
Chart22,4,12,8
Chart24,1,3,2
Chart25,2494,2640,146
Chart26,30,134,104
Closure1,226,240,14
Closure2,94,95,1
Closure3,295,279,-16
Closure4,83,168,85
Closure5,142,154,12
Closure6,1,1,0
Closure7,2,2,0
Closure8,123,123,0
Closure9,1,1,0
Closure10,220,264,44
Closure11,1075,2712,1637
Closure12,895,1081,186
Closure13,5968,5651,-317
Closure14,3,3,0
Closure15,185,185,0
Closure16,112,111,-1
Closure17,114,114,0
Closure18,474,1805,1331
Closure19,1,1,0
Closure20,15,2,-13
Closure21,7,7,0
Closure22,4,2,-2
Closure23,6,8,2
Closure24,1,1,0
Closure25,107,107,0
Closure26,5,5,0
Closure27,1,3,2
Closure29,421,394,-27
Closure30,224,222,-2
Closure31,666,1492,826
Closure32,40,35,-5
Closure33,1114,573,-541
Closure34,425,199,-226
Closure35,6,6,0
Closure36,1080,1062,-18
Closure37,478,967,489
Closure38,470,284,-186
Closure39,56,68,12
Closure40,116,120,4
Closure41,1839,902,-937
Closure42,1,1,0
Closure43,301,465,164
Closure44,1604,571,-1033
Closure45,238,280,42
Closure46,1,1,0
Closure47,218,336,118
Closure48,741,2192,1451
Closure49,1098,1172,74
Closure50,93,88,-5
Closure51,449,274,-175
Closure52,122,138,16
Closure53,44,47,3
Closure54,35,39,4
Closure55,308,329,21
Closure56,42,59,17
Closure57,55,48,-7
Closure58,4,7,3
Closure59,2660,5974,3314
Closure60,27,29,2
Closure61,80,115,35
Closure62,1,4,3
Closure63,1,4,3
Closure64,665,1556,891
Closure65,71,71,0
Closure66,2549,2781,232
Closure67,147,223,76
Closure68,3,3,0
Closure69,1244,2435,1191
Closure70,2842,2674,-168
Closure71,272,383,111
Closure72,305,241,-64
Closure73,787,1355,568
Closure74,64,71,7
Closure75,8,8,0
Closure76,107,116,9
Closure77,1390,1329,-61
Closure78,1,1,0
Closure79,37,49,12
Closure80,22,20,-2
Closure81,203,137,-66
Closure82,1741,599,-1142
Closure83,10,10,0
Closure84,148,172,24
Closure85,158,162,4
Closure86,2,2,0
Closure87,135,150,15
Closure88,69,69,0
Closure89,141,164,23
Closure90,34,46,12
Closure91,416,284,-132
Closure92,76,85,9
Closure93,76,85,9
Closure94,4,4,0
Closure95,1704,1640,-64
Closure96,452,424,-28
Closure97,19,1,-18
Closure98,381,425,44
Closure99,30,22,-8
Closure100,7,7,0
Closure101,1017,2775,1758
Closure102,4299,4752,453
Closure103,229,290,61
Closure104,10,13,3
Closure105,70,7,-63
Closure106,4,26,22
Closure107,167,132,-35
Closure108,209,237,28
Closure109,11,33,22
Closure110,4,2,-2
Closure111,1,1,0
Closure112,83,89,6
Closure113,15,17,2
