Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,57,42,-15
Chart2,org.jfree.data.general.DatasetUtilities#755,64,102,38
Chart2,org.jfree.data.general.DatasetUtilities#757,46,104,58
Chart2,org.jfree.data.general.DatasetUtilities#758,579,579,0
Chart2,org.jfree.data.general.DatasetUtilities#761,580,580,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,26,92,66
Chart2,org.jfree.data.general.DatasetUtilities#1243,80,93,13
Chart2,org.jfree.data.general.DatasetUtilities#1245,760,760,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,761,761,0
Chart3,org.jfree.data.time.TimeSeries#1056,5,3,-2
Chart3,org.jfree.data.time.TimeSeries#1057,2,4,2
Chart4,org.jfree.chart.plot.XYPlot#4493,12,171,159
Chart5,org.jfree.data.xy.XYSeries#548,2,8,6
Chart6,org.jfree.chart.util.ShapeList#111,47,57,10
Chart7,org.jfree.data.time.TimePeriodValues#300,28,81,53
Chart7,org.jfree.data.time.TimePeriodValues#302,109,82,-27
Chart8,org.jfree.data.time.Week#175,9,1,-8
Chart9,org.jfree.data.time.TimeSeries#944,8,14,6
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,2,3,1
Chart11,org.jfree.chart.util.ShapeUtilities#275,4,5,1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,54,13,-41
Chart13,org.jfree.chart.block.BorderArrangement#454,45,47,2
Chart14,org.jfree.chart.plot.XYPlot#2293,21,19,-2
Chart14,org.jfree.chart.plot.XYPlot#2529,23,26,3
Chart14,org.jfree.chart.plot.CategoryPlot#2166,19,6,-13
Chart14,org.jfree.chart.plot.CategoryPlot#2448,22,13,-9
Chart15,org.jfree.chart.plot.PiePlot#1379,6721,6721,0
Chart15,org.jfree.chart.plot.PiePlot#2051,6,29,23
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,10,1,-9
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,37,2,-35
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,22,32,10
Chart17,org.jfree.data.time.TimeSeries#857,1,2,1
Chart18,org.jfree.data.DefaultKeyedValues#318,3,3,0
Chart18,org.jfree.data.DefaultKeyedValues#335,1,9,8
Chart18,org.jfree.data.DefaultKeyedValues2D#455,4,10,6
Chart18,org.jfree.data.DefaultKeyedValues2D#458,6,13,7
Chart18,org.jfree.data.DefaultKeyedValues2D#460,14,15,1
Chart19,org.jfree.chart.plot.CategoryPlot#698,7,1,-6
Chart19,org.jfree.chart.plot.CategoryPlot#973,2,2,0
Chart20,org.jfree.chart.plot.ValueMarker#95,10,5,-5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,7,80,73
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,13,81,68
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,52,82,30
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,50,83,33
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,104,84,-20
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,113,85,-28
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,24,86,62
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,60,87,27
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,39,88,49
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,124,89,-35
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,31,24,-7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,75,3,-72
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,87,4,-83
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,109,5,-104
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,105,90,-15
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,122,91,-31
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,121,92,-29
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,130,93,-37
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,76,12,-64
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#184,481,481,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#185,482,482,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#186,483,483,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,3,13,10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,77,14,-63
Chart22,org.jfree.data.KeyedObjects2D#231,7,81,74
Chart22,org.jfree.data.KeyedObjects2D#233,36,83,47
Chart22,org.jfree.data.KeyedObjects2D#378,2,12,10
Chart22,org.jfree.data.KeyedObjects2D#345,47,62,15
