Project,MinRank1,MinRank2,Difference
Chart1,57,42,-15
Chart2,26,92,66
Chart3,2,3,1
Chart4,12,171,159
Chart5,2,8,6
Chart6,47,57,10
Chart7,28,81,53
Chart8,9,1,-8
Chart9,8,14,6
Chart10,2,3,1
Chart11,4,5,1
Chart12,54,13,-41
Chart13,45,47,2
Chart14,19,6,-13
Chart15,6,29,23
Chart16,10,1,-9
Chart17,1,2,1
Chart18,1,3,2
Chart19,2,1,-1
Chart20,10,5,-5
Chart21,3,3,0
Chart22,2,12,10
Chart24,1,3,2
Chart25,196,2640,2444
Chart26,12,134,122
Closure1,120,240,120
Closure2,46,95,49
Closure3,383,279,-104
Closure4,26,168,142
Closure5,111,154,43
Closure6,1,1,0
Closure7,3,2,-1
Closure8,116,123,7
Closure9,2,1,-1
Closure10,151,264,113
Closure11,907,2712,1805
Closure12,527,1081,554
Closure13,4300,5651,1351
Closure14,1,3,2
Closure15,86,185,99
Closure16,48,111,63
Closure17,86,114,28
Closure18,400,1805,1405
Closure19,1,1,0
Closure20,25,2,-23
Closure21,2,7,5
Closure22,3,2,-1
Closure23,12,8,-4
Closure24,1,1,0
Closure25,138,107,-31
Closure26,5,5,0
Closure27,1,3,2
Closure29,252,394,142
Closure30,118,222,104
Closure31,569,1492,923
Closure32,80,35,-45
Closure33,1282,573,-709
Closure34,453,199,-254
Closure35,28,6,-22
Closure36,1511,1062,-449
Closure37,398,967,569
Closure38,247,284,37
Closure39,40,68,28
Closure40,85,120,35
Closure41,1767,902,-865
Closure42,1,1,0
Closure43,171,465,294
Closure44,1648,571,-1077
Closure45,141,280,139
Closure46,1,1,0
Closure47,21,336,315
Closure48,605,2192,1587
Closure49,396,1172,776
Closure50,59,88,29
Closure51,233,274,41
Closure52,102,138,36
Closure53,45,47,2
Closure54,19,39,20
Closure55,157,329,172
Closure56,14,59,45
Closure57,80,48,-32
Closure58,1,7,6
Closure59,2294,5974,3680
Closure60,31,29,-2
Closure61,45,115,70
Closure62,1,4,3
Closure63,1,4,3
Closure64,488,1556,1068
Closure65,48,71,23
Closure66,2002,2781,779
Closure67,67,223,156
Closure68,5,3,-2
Closure69,1018,2435,1417
Closure70,1761,2674,913
Closure71,157,383,226
Closure72,229,241,12
Closure73,682,1355,673
Closure74,18,71,53
Closure75,5,8,3
Closure76,45,116,71
Closure77,1243,1329,86
Closure78,440,1,-439
Closure79,16,49,33
Closure80,16,20,4
Closure81,98,137,39
Closure82,1911,599,-1312
Closure83,30,10,-20
Closure84,95,172,77
Closure85,45,162,117
Closure86,5,2,-3
Closure87,93,150,57
Closure88,37,69,32
Closure89,130,164,34
Closure90,16,46,30
Closure91,677,284,-393
Closure92,44,85,41
Closure93,44,85,41
Closure94,13,4,-9
Closure95,1289,1640,351
Closure96,263,424,161
Closure97,28,1,-27
Closure98,243,425,182
Closure99,149,22,-127
Closure100,1,7,6
Closure101,432,2775,2343
Closure102,3467,4752,1285
Closure103,144,290,146
Closure104,22,13,-9
Closure105,75,7,-68
Closure106,4,26,22
Closure107,182,132,-50
Closure108,105,237,132
Closure109,5,33,28
Closure110,12,2,-10
Closure111,1,1,0
Closure112,44,89,45
Closure113,11,17,6
Closure114,1119,215,-904
Closure115,15,8,-7
Closure116,2,14,12
Closure117,584,279,-305
Closure118,3,2,-1
Closure120,206,285,79
Closure121,431,388,-43
Closure122,2,9,7
Closure123,87,219,132
Closure124,5,10,5
Closure125,1960,563,-1397
Closure126,50,5,-45
Closure127,257,200,-57
Closure128,114,133,19
Closure129,936,2329,1393
Closure130,260,545,285
Closure131,206,340,134
Closure132,29,80,51
Closure133,433,597,164
Lang1,1,3,2
Lang2,4,3,-1
Lang3,5,3,-2
Lang4,2,2,0
Lang5,1,1,0
Lang6,43,98,55
Lang7,4,122,118
Lang8,2,8,6
Lang9,127,92,-35
Lang10,19,48,29
Lang11,4,3,-1
Lang12,1,5,4
Lang13,3,5,2
Lang14,1,4,3
Lang15,15,191,176
Lang16,36,27,-9
Lang17,14,102,88
Lang18,7,41,34
Lang19,6,8,2
Lang20,2,8,6
Lang21,1,2,1
Lang22,28,26,-2
Lang24,11,64,53
Lang26,6,7,1
Lang27,65,127,62
Lang28,1,3,2
Lang30,2,8,6
Lang31,2,4,2
Lang32,1,26,25
Lang33,1,7,6
Lang34,63,61,-2
Lang35,1,2,1
Lang36,19,42,23
Lang37,1,6,5
Lang38,1,3,2
Lang39,12,27,15
Lang40,1,2,1
Lang41,3,6,3
Lang42,7,13,6
Lang43,3,6,3
Lang44,2,3,1
Lang45,17,10,-7
Lang46,1,1,0
Lang47,3,5,2
Lang48,2,2,0
Lang49,1,1,0
Lang50,13,8,-5
Lang53,9,16,7
Lang54,7,3,-4
Lang55,2,7,5
Lang57,4,6,2
Lang58,5,20,15
Lang59,1,6,5
Lang60,2,2,0
Lang61,1,21,20
Lang62,15,4,-11
Lang63,1,1,0
Lang64,5,4,-1
Lang65,4,7,3
Math1,9,11,2
Math2,44,44,0
Math3,2,3,1
Math4,1,17,16
Math5,3,1,-2
Math6,10,170,160
Math7,5,42,37
Math8,1,4,3
Math9,1,1,0
Math10,30,12,-18
Math11,56,31,-25
Math13,42,159,117
Math14,47,99,52
Math15,140,211,71
Math16,86,214,128
Math17,54,258,204
Math18,156,14,-142
Math19,20,56,36
Math20,60,598,538
Math21,4,41,37
Math22,1,1,0
Math23,25,148,123
Math24,69,150,81
Math25,9,1,-8
Math26,114,38,-76
Math27,1,1,0
Math28,2,12,10
Math29,2,6,4
Math30,30,41,11
Math31,42,101,59
Math32,1,4,3
Math33,170,44,-126
Math34,1,3,2
Math35,2,3,1
Math36,159,2,-157
Math37,9,6,-3
Math38,2,5,3
Math39,108,117,9
Math40,18,33,15
Math41,29,43,14
Math42,52,72,20
Math43,36,62,26
Math44,16,14,-2
Math45,1,1,0
Math46,2,1,-1
Math47,3,2,-1
Math48,24,355,331
Math49,178,7,-171
Math50,1,1,0
Math51,14,30,16
Math52,14,22,8
Math53,1,1,0
Math54,318,306,-12
Math55,1,1,0
Math56,2,20,18
Math57,5,4,-1
Math58,569,545,-24
Math59,2,2,0
Math60,18,36,18
Math61,19,1,-18
Math62,36,128,92
Math63,3,1,-2
Math64,22,143,121
Math65,50,41,-9
Math66,1,81,80
Math67,342,8,-334
Math68,5,127,122
Math69,104,44,-60
Math70,1,1,0
Math71,1,1,0
Math72,2,1,-1
Math73,7,1,-6
Math74,363,777,414
Math75,1,1,0
Math76,173,99,-74
Math77,1,19,18
Math78,17,117,100
Math79,9,29,20
Math80,4,14,10
Math81,2,10,8
Math82,101,151,50
Math83,1,40,39
Math84,31,45,14
Math85,38,77,39
Math86,65,71,6
Math87,6,115,109
Math88,1,1,0
Math89,1,1,0
Math90,3,3,0
Math91,1,1,0
Math92,1,2,1
Math93,2,2,0
Math94,4,6,2
Math95,5,15,10
Math96,8,5,-3
Math97,1,1,0
Math98,3,4,1
Math99,3,4,1
Math100,5,9,4
Math101,24,12,-12
Math102,1,3,2
Math103,17,32,15
Math105,3,25,22
Math106,53,10,-43
Mockito1,1,2,1
Mockito2,182,3,-179
Mockito3,9,1,-8
Mockito4,4,5,1
Mockito5,4060,4060,0
Mockito6,1,1,0
