Project,now,before,Difference
Chart1,45,42,-3
Chart2,100,137,37
Chart3,2,3,1
Chart4,6,17,11
Chart5,1,8,7
Chart6,11,16,5
Chart7,52,81,29
Chart8,8,1,-7
Chart9,7,14,7
Chart10,2,3,1
Chart11,4,5,1
Chart12,33,13,-20
Chart13,43,47,4
Chart14,333,317,-16
Chart15,1,29,28
Chart16,2,1,-1
Chart17,2,2,0
Chart18,2,3,1
Chart19,477,474,-3
Chart20,5,5,0
Chart21,4,3,-1
Chart22,50,61,11
Chart24,1,3,2
Chart25,2599,2745,146
Chart26,36,134,98
Closure1,95,121,26
Closure2,1690,1666,-24
Closure3,339,275,-64
Closure4,6,157,151
Closure5,130,154,24
Closure6,3480,3885,405
Closure7,757,909,152
Closure8,128,123,-5
Closure9,2,1,-1
Closure10,2816,2889,73
Closure11,2321,2641,320
Closure12,1018,1081,63
Closure13,5639,5651,12
Closure14,2,1,-1
Closure15,114,185,71
Closure16,4,2,-2
Closure17,2350,2301,-49
Closure18,330,661,331
Closure19,2286,2272,-14
Closure20,31,2,-29
Closure21,2812,2788,-24
Closure22,2795,2787,-8
Closure23,28,8,-20
Closure24,1,1,0
Closure25,120,107,-13
Closure26,2181,2181,0
Closure27,55,35,-20
Closure29,228,184,-44
Closure30,95,102,7
Closure31,173,409,236
Closure32,660,673,13
Closure33,2638,2576,-62
Closure34,6,6,0
Closure35,39,6,-33
Closure36,1355,1062,-293
Closure37,138,171,33
Closure38,3,7,4
Closure39,642,662,20
Closure40,28,35,7
Closure41,2425,2163,-262
Closure42,1,1,0
Closure43,1876,2222,346
Closure44,220,153,-67
Closure45,260,280,20
Closure46,6,1,-5
Closure47,2039,1914,-125
Closure48,2267,2324,57
Closure49,23,96,73
Closure50,71,76,5
Closure51,3,13,10
Closure52,2008,2028,20
Closure53,44,47,3
Closure54,592,1478,886
Closure55,320,329,9
Closure56,432,593,161
Closure57,1729,1729,0
Closure58,1,7,6
Closure59,1122,2114,992
Closure60,2368,2348,-20
Closure61,1883,1895,12
Closure62,11,13,2
Closure63,11,13,2
Closure64,164,364,200
Closure65,2383,2328,-55
Closure66,2561,2557,-4
Closure67,90,116,26
Closure68,8,3,-5
Closure69,2319,2275,-44
Closure70,2501,2295,-206
Closure71,2458,2498,40
Closure72,234,241,7
Closure73,1979,1977,-2
Closure74,2,10,8
Closure75,2365,2358,-7
Closure76,32,79,47
Closure77,1966,1956,-10
