Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,131,42,-89
Chart2,org.jfree.data.general.DatasetUtilities#755,59,147,88
Chart2,org.jfree.data.general.DatasetUtilities#757,43,149,106
Chart2,org.jfree.data.general.DatasetUtilities#758,1122,1122,0
Chart2,org.jfree.data.general.DatasetUtilities#761,1123,1123,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,14,137,123
Chart2,org.jfree.data.general.DatasetUtilities#1243,86,138,52
Chart2,org.jfree.data.general.DatasetUtilities#1245,1115,1115,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,1116,1116,0
Chart3,org.jfree.data.time.TimeSeries#1056,8,3,-5
Chart3,org.jfree.data.time.TimeSeries#1057,2,4,2
Chart4,org.jfree.chart.plot.XYPlot#4493,6,17,11
Chart5,org.jfree.data.xy.XYSeries#548,1,8,7
Chart6,org.jfree.chart.util.ShapeList#111,17,16,-1
Chart7,org.jfree.data.time.TimePeriodValues#300,27,81,54
Chart7,org.jfree.data.time.TimePeriodValues#302,108,82,-26
Chart8,org.jfree.data.time.Week#175,8,1,-7
Chart9,org.jfree.data.time.TimeSeries#944,17,14,-3
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,2,3,1
Chart11,org.jfree.chart.util.ShapeUtilities#275,4,5,1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,194,13,-181
Chart13,org.jfree.chart.block.BorderArrangement#454,113,47,-66
Chart14,org.jfree.chart.plot.XYPlot#2293,192,330,138
Chart14,org.jfree.chart.plot.XYPlot#2529,196,337,141
Chart14,org.jfree.chart.plot.CategoryPlot#2166,191,317,126
Chart14,org.jfree.chart.plot.CategoryPlot#2448,193,324,131
Chart15,org.jfree.chart.plot.PiePlot#1379,7454,7415,-39
Chart15,org.jfree.chart.plot.PiePlot#2051,8,29,21
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,12,1,-11
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,31,2,-29
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,28,37,9
Chart17,org.jfree.data.time.TimeSeries#857,3,2,-1
Chart18,org.jfree.data.DefaultKeyedValues#318,4,3,-1
Chart18,org.jfree.data.DefaultKeyedValues#335,1,26,25
Chart18,org.jfree.data.DefaultKeyedValues2D#455,9,27,18
Chart18,org.jfree.data.DefaultKeyedValues2D#458,11,30,19
Chart18,org.jfree.data.DefaultKeyedValues2D#460,39,32,-7
Chart19,org.jfree.chart.plot.CategoryPlot#698,266,474,208
Chart19,org.jfree.chart.plot.CategoryPlot#973,164,475,311
Chart20,org.jfree.chart.plot.ValueMarker#95,11,5,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,6,80,74
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,14,81,67
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,49,82,33
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,46,83,37
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,103,84,-19
