Project,MinRank1,MinRank2,Difference
Chart1,131,42,-89
Chart2,14,137,123
Chart3,2,3,1
Chart4,6,17,11
Chart5,1,8,7
Chart6,17,16,-1
Chart7,27,81,54
Chart8,8,1,-7
Chart9,17,14,-3
Chart10,2,3,1
Chart11,4,5,1
Chart12,194,13,-181
Chart13,113,47,-66
Chart14,191,317,126
Chart15,8,29,21
Chart16,12,1,-11
Chart17,3,2,-1
Chart18,1,3,2
Chart19,164,474,310
Chart20,11,5,-6
Chart21,3,3,0
Chart22,10,61,51
Chart24,1,3,2
Chart25,549,2745,2196
Chart26,43,134,91
Closure1,448,121,-327
Closure2,959,1666,707
Closure3,1022,275,-747
Closure4,10,157,147
Closure5,174,154,-20
Closure6,1132,3885,2753
Closure7,594,909,315
Closure8,475,123,-352
Closure9,2,1,-1
Closure10,1444,2889,1445
Closure11,1068,2641,1573
Closure12,254,1081,827
Closure13,3568,5651,2083
Closure14,6,1,-5
Closure15,73,185,112
Closure16,132,2,-130
Closure17,2019,2301,282
Closure18,36,661,625
Closure19,887,2272,1385
Closure20,375,2,-373
Closure21,1092,2788,1696
Closure22,862,2787,1925
Closure23,427,8,-419
Closure24,21,1,-20
Closure25,76,107,31
Closure26,406,2181,1775
Closure27,49,35,-14
Closure29,1588,184,-1404
Closure30,407,102,-305
Closure31,53,409,356
Closure32,102,673,571
Closure33,3129,2576,-553
Closure34,432,6,-426
Closure35,358,6,-352
Closure36,3325,1062,-2263
Closure37,29,171,142
Closure38,268,7,-261
Closure39,383,662,279
Closure40,496,35,-461
Closure41,2021,2163,142
Closure42,10,1,-9
Closure43,478,2222,1744
Closure44,1508,153,-1355
Closure45,63,280,217
Closure46,21,1,-20
Closure47,1102,1914,812
Closure48,1115,2324,1209
Closure49,31,96,65
Closure50,79,76,-3
Closure51,265,13,-252
Closure52,1031,2028,997
Closure53,91,47,-44
Closure54,226,1478,1252
Closure55,122,329,207
Closure56,100,593,493
Closure57,1165,1729,564
Closure58,3,7,4
Closure59,181,2114,1933
Closure60,893,2348,1455
Closure61,317,1895,1578
Closure62,2,13,11
Closure63,2,13,11
Closure64,14,364,350
Closure65,2052,2328,276
Closure66,1852,2557,705
Closure67,8,116,108
Closure68,18,3,-15
Closure69,1622,2275,653
Closure70,1804,2295,491
Closure71,1617,2498,881
Closure72,166,241,75
Closure73,939,1977,1038
Closure74,22,10,-12
Closure75,990,2358,1368
Closure76,38,79,41
Closure77,1404,1956,552
Closure78,2020,1,-2019
Closure79,545,1676,1131
Closure80,724,1615,891
Closure81,97,1,-96
Closure82,1332,164,-1168
Closure83,38,10,-28
Closure84,25,9,-16
Closure85,14,86,72
Closure86,1825,1947,122
Closure87,61,150,89
Closure88,468,69,-399
Closure89,288,133,-155
Closure90,736,1579,843
Closure91,590,284,-306
Closure92,21,85,64
Closure93,21,85,64
Closure94,1534,1463,-71
Closure95,1165,1192,27
Closure96,861,2028,1167
Closure97,287,1,-286
Closure98,129,425,296
Closure99,371,4,-367
Closure100,346,1428,1082
Closure101,591,2775,2184
Closure102,1340,4752,3412
Closure103,608,1805,1197
Closure104,210,533,323
Closure105,104,7,-97
Closure106,883,1826,943
Closure107,651,132,-519
Closure108,36,237,201
Closure109,5,137,132
Closure110,1914,1931,17
Closure111,16,1,-15
Closure112,148,64,-84
Closure113,91,17,-74
Closure114,1228,215,-1013
Closure115,211,8,-203
Closure116,16,3,-13
Closure117,2037,1845,-192
Closure118,889,2,-887
Closure120,1560,2413,853
Closure121,418,388,-30
Closure122,123,233,110
Closure123,814,2096,1282
Closure124,8,10,2
Closure125,3320,1913,-1407
Closure126,420,5,-415
Closure127,1502,187,-1315
Closure128,1077,1949,872
Closure129,117,330,213
Closure130,115,545,430
Closure131,651,1696,1045
Closure132,18,80,62
Closure133,332,597,265
Lang1,2,3,1
Lang2,3,3,0
Lang3,6,3,-3
Lang4,2,2,0
Lang5,1,1,0
Lang6,34,98,64
Lang7,3,122,119
Lang8,78,189,111
Lang9,93,55,-38
Lang10,2,17,15
Lang11,2,3,1
Lang12,1,4,3
Lang13,5,5,0
Lang14,1,4,3
Lang15,2,12,10
Lang16,36,27,-9
Lang17,20,102,82
Lang18,3,41,38
Lang19,6,6,0
Lang20,3,27,24
Lang21,1,2,1
Lang22,19,14,-5
Lang24,28,64,36
Lang26,4,7,3
Lang27,50,127,77
Lang28,1,3,2
Lang30,2,30,28
Lang31,1,4,3
Lang32,1,26,25
Lang33,1,7,6
Lang34,63,5,-58
Lang35,1,2,1
Lang36,13,42,29
Lang37,1,6,5
Lang38,9,3,-6
Lang39,10,27,17
Lang40,1,2,1
Lang41,4,38,34
Lang42,12,13,1
Lang43,6,6,0
Lang44,2,3,1
Lang45,17,10,-7
Lang46,1,1,0
Lang47,12,35,23
Lang48,2,2,0
Lang49,4,1,-3
Lang50,62,134,72
Lang53,8,16,8
Lang54,6,3,-3
Lang55,1,7,6
Lang57,4,6,2
Lang58,5,20,15
Lang59,2,6,4
Lang60,5,2,-3
Lang61,1,8,7
Lang62,25,4,-21
Lang63,3,1,-2
Lang64,18,4,-14
Lang65,4,7,3
Math1,318,356,38
Math2,38,44,6
Math3,2,3,1
Math4,4,76,72
Math5,10,1,-9
Math6,24,70,46
Math7,6,42,36
Math8,8,4,-4
Math9,1,1,0
Math10,133,12,-121
Math11,53,31,-22
Math13,37,159,122
Math14,43,99,56
Math15,155,217,62
Math16,181,252,71
Math17,29,258,229
Math18,326,14,-312
Math19,8,56,48
Math20,55,598,543
Math21,3,41,38
Math22,45,53,8
Math23,9,148,139
Math24,49,150,101
Math25,9,1,-8
Math26,188,38,-150
Math27,1,1,0
Math28,1,12,11
Math29,58,194,136
Math30,12,41,29
Math31,6,28,22
Math32,1,4,3
Math33,137,44,-93
Math34,5,3,-2
Math35,2,3,1
Math36,186,356,170
Math37,121,249,128
Math38,2,5,3
Math39,97,117,20
Math40,11,33,22
Math41,34,43,9
Math42,46,72,26
Math43,34,44,10
Math44,36,14,-22
Math45,1,1,0
Math46,6,1,-5
Math47,11,2,-9
Math48,2,355,353
Math49,253,7,-246
Math50,1,1,0
Math51,3,30,27
Math52,16,22,6
Math53,1,1,0
Math54,324,306,-18
Math55,1,1,0
Math56,2,20,18
