Project,now,before,Difference
Chart1,4786,4997,211
Chart2,4,1010,1006
Chart3,2,367,365
Chart4,221,22992,22771
Chart5,1,137,136
Chart6,644,650,6
Chart7,406,435,29
Chart8,121,116,-5
Chart9,8,411,403
Chart10,2,3,1
Chart11,4,142,138
Chart12,2573,2328,-245
Chart13,43,47,4
Chart14,26,6,-20
Chart15,1,5674,5673
Chart16,1,1,0
Chart17,1,626,625
Chart18,1,3,2
Chart19,4,1,-3
Chart20,447,448,1
Chart21,3,3,0
Chart22,2,12,10
Chart24,1,3,2
Chart25,2488,2640,152
Chart26,20,134,114
Closure1,21776,21998,222
Closure2,63,5968,5905
Closure3,12119,11851,-268
Closure4,12,11222,11210
Closure5,9010,9551,541
Closure6,32,1,-31
Closure7,76,2,-74
Closure8,8687,8719,32
Closure9,2,1,-1
Closure10,104,7124,7020
Closure11,13639,14008,369
Closure12,14952,15178,226
Closure13,24258,24214,-44
Closure14,13,6287,6274
Closure15,56,10348,10292
Closure16,9916,11567,1651
Closure17,116,6665,6549
Closure18,16484,17361,877
Closure19,28,1,-27
Closure20,40,2,-38
Closure21,35,51,16
Closure22,14,2,-12
Closure23,36,8,-28
Closure24,1,1,0
Closure25,9867,8962,-905
Closure26,168,5,-163
Closure27,12,3,-9
Closure29,17949,18968,1019
Closure30,11173,11758,585
Closure31,15905,16568,663
Closure32,122,7508,7386
Closure33,11564,11392,-172
Closure34,1587,1603,16
Closure35,5733,5691,-42
Closure36,17813,17315,-498
Closure37,16138,16628,490
Closure38,11096,11140,44
Closure39,40,789,749
Closure40,10576,11391,815
Closure41,13168,12952,-216
Closure42,1,1852,1851
Closure43,7045,12326,5281
Closure44,11703,11138,-565
Closure45,10728,10809,81
Closure46,12,817,805
Closure47,20,336,316
Closure48,11288,11706,418
Closure49,14255,14368,113
Closure50,78,6829,6751
Closure51,10483,10526,43
Closure52,75,5924,5849
Closure53,7713,7967,254
Closure54,80,9207,9127
Closure55,11715,11935,220
Closure56,3,5824,5821
Closure57,5415,4194,-1221
Closure58,1,5694,5693
