Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,77,4997,4920
Chart2,org.jfree.data.general.DatasetUtilities#755,37,1058,1021
Chart2,org.jfree.data.general.DatasetUtilities#757,24,1060,1036
Chart2,org.jfree.data.general.DatasetUtilities#758,1116,1066,-50
Chart2,org.jfree.data.general.DatasetUtilities#761,1117,1067,-50
Chart2,org.jfree.data.general.DatasetUtilities#1242,3,1010,1007
Chart2,org.jfree.data.general.DatasetUtilities#1243,55,1011,956
Chart2,org.jfree.data.general.DatasetUtilities#1245,1109,1050,-59
Chart2,org.jfree.data.general.DatasetUtilities#1248,1110,1051,-59
Chart3,org.jfree.data.time.TimeSeries#1056,5,367,362
Chart3,org.jfree.data.time.TimeSeries#1057,2,368,366
Chart4,org.jfree.chart.plot.XYPlot#4493,33,22992,22959
Chart5,org.jfree.data.xy.XYSeries#548,1,137,136
Chart6,org.jfree.chart.util.ShapeList#111,57,650,593
Chart7,org.jfree.data.time.TimePeriodValues#300,40,435,395
Chart7,org.jfree.data.time.TimePeriodValues#302,92,436,344
Chart8,org.jfree.data.time.Week#175,8,116,108
Chart9,org.jfree.data.time.TimeSeries#944,9,411,402
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,2,3,1
Chart11,org.jfree.chart.util.ShapeUtilities#275,4,142,138
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,131,2328,2197
Chart13,org.jfree.chart.block.BorderArrangement#454,81,47,-34
Chart14,org.jfree.chart.plot.XYPlot#2293,74,19,-55
Chart14,org.jfree.chart.plot.XYPlot#2529,77,26,-51
Chart14,org.jfree.chart.plot.CategoryPlot#2166,73,6,-67
Chart14,org.jfree.chart.plot.CategoryPlot#2448,75,13,-62
Chart15,org.jfree.chart.plot.PiePlot#1379,7448,6501,-947
Chart15,org.jfree.chart.plot.PiePlot#2051,1,5674,5673
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,3,1,-2
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,32,2,-30
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,2,4,2
Chart17,org.jfree.data.time.TimeSeries#857,1,626,625
Chart18,org.jfree.data.DefaultKeyedValues#318,8,3,-5
Chart18,org.jfree.data.DefaultKeyedValues#335,1,9,8
Chart18,org.jfree.data.DefaultKeyedValues2D#455,3,10,7
Chart18,org.jfree.data.DefaultKeyedValues2D#458,5,13,8
Chart18,org.jfree.data.DefaultKeyedValues2D#460,17,15,-2
Chart19,org.jfree.chart.plot.CategoryPlot#698,86,1,-85
Chart19,org.jfree.chart.plot.CategoryPlot#973,11,2,-9
Chart20,org.jfree.chart.plot.ValueMarker#95,7,448,441
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,16,544,528
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,22,545,523
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,52,546,494
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,50,547,497
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,89,548,459
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,96,549,453
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,33,550,517
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,58,551,493
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,42,552,510
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,107,553,446
