Project,MinRank1,MinRank2,Difference
Chart1,77,4997,4920
Chart2,3,1010,1007
Chart3,2,367,365
Chart4,33,22992,22959
Chart5,1,137,136
Chart6,57,650,593
Chart7,40,435,395
Chart8,8,116,108
Chart9,9,411,402
Chart10,2,3,1
Chart11,4,142,138
Chart12,131,2328,2197
Chart13,81,47,-34
Chart14,73,6,-67
Chart15,1,5674,5673
Chart16,2,1,-1
Chart17,1,626,625
Chart18,1,3,2
Chart19,11,1,-10
Chart20,7,448,441
Chart21,3,3,0
Chart22,2,12,10
Chart24,1,3,2
Chart25,211,2640,2429
Chart26,53,134,81
Closure1,1862,21998,20136
Closure2,89,5968,5879
Closure3,281,11851,11570
Closure4,10,11222,11212
Closure5,91,9551,9460
Closure6,44,1,-43
Closure7,108,2,-106
Closure8,111,8719,8608
Closure9,2,1,-1
Closure10,135,7124,6989
Closure11,446,14008,13562
Closure12,529,15178,14649
Closure13,4622,24214,19592
Closure14,14,6287,6273
Closure15,38,10348,10310
Closure16,173,11567,11394
Closure17,245,6665,6420
Closure18,1314,17361,16047
Closure19,35,1,-34
Closure20,56,2,-54
Closure21,45,51,6
Closure22,16,2,-14
Closure23,64,8,-56
Closure24,7,1,-6
Closure25,81,8962,8881
Closure26,286,5,-281
Closure27,12,3,-9
Closure29,749,18968,18219
Closure30,96,11758,11662
Closure31,1109,16568,15459
Closure32,103,7508,7405
Closure33,1176,11392,10216
Closure34,245,1603,1358
Closure35,261,5691,5430
Closure36,2083,17315,15232
Closure37,1389,16628,15239
Closure38,241,11140,10899
Closure39,49,789,740
Closure40,119,11391,11272
Closure41,1041,12952,11911
Closure42,2,1852,1850
Closure43,48,12326,12278
Closure44,1093,11138,10045
Closure45,97,10809,10712
Closure46,16,817,801
Closure47,26,336,310
Closure48,94,11706,11612
Closure49,1254,14368,13114
Closure50,59,6829,6770
Closure51,231,10526,10295
Closure52,93,5924,5831
Closure53,44,7967,7923
Closure54,128,9207,9079
Closure55,127,11935,11808
Closure56,4,5824,5820
Closure57,190,4194,4004
Closure58,1,5694,5693
Closure59,8261,25904,17643
Closure60,929,9727,8798
Closure61,14,9300,9286
Closure62,2,40,38
Closure63,2,40,38
Closure64,209,15912,15703
Closure65,210,13,-197
Closure66,580,12718,12138
Closure67,74,9850,9776
Closure68,7,48,41
Closure69,245,11783,11538
Closure70,1141,13038,11897
Closure71,51,8694,8643
Closure72,161,7045,6884
Closure73,121,9280,9159
Closure74,33,8071,8038
Closure75,51,8,-43
Closure76,12,5796,5784
Closure77,308,188,-120
Closure78,325,1,-324
Closure79,39,6210,6171
Closure80,43,3361,3318
Closure81,92,3041,2949
Closure82,4191,14561,10370
Closure83,10,14934,14924
Closure84,108,2530,2422
Closure85,31,3009,2978
Closure86,591,5505,4914
Closure87,68,8924,8856
Closure88,127,69,-58
Closure89,64,11574,11510
Closure90,49,6238,6189
Closure91,333,11997,11664
Closure92,17,5866,5849
Closure93,17,5879,5862
Closure94,511,863,352
Closure95,2091,14561,12470
Closure96,44,10100,10056
Closure97,78,1,-77
Closure98,232,11500,11268
Closure99,37,345,308
Closure100,4,6873,6869
Closure101,21984,21984,0
Closure102,3175,21975,18800
Closure103,61,10288,10227
Closure104,61,939,878
Closure105,93,7,-86
Closure106,10,26,16
Closure107,209,23500,23291
Closure108,58,12844,12786
Closure109,2,2804,2802
Closure110,227,4586,4359
Closure111,7,2748,2741
Closure112,52,10505,10453
Closure113,31,7843,7812
Closure114,395,15351,14956
