Project,now,before,Difference
Chart1,70,42,-28
Chart2,44,92,48
Chart3,2,3,1
Chart4,47,311,264
Chart5,1,8,7
Chart6,642,650,8
Chart7,406,435,29
Chart8,8,1,-7
Chart9,8,14,6
Chart10,-1,53,-1
Chart11,4,5,1
Chart12,37,13,-24
Chart13,41,47,6
Chart14,19,6,-13
Chart15,4,29,25
Chart16,1,1,0
Chart17,2,2,0
Chart18,1,3,2
Chart19,2,1,-1
Chart20,341,448,107
Chart21,4,3,-1
Chart22,2,12,10
Chart24,1,3,2
Chart25,1230,2640,1410
Chart26,12,134,122
Closure1,1233,1744,511
Closure2,71,66,-5
Closure3,410,279,-131
Closure4,13,9518,9505
Closure5,150,154,4
Closure6,1,1,0
Closure7,3,2,-1
Closure8,148,123,-25
Closure9,1,1,0
Closure10,189,215,26
Closure11,13113,14008,895
Closure12,13881,15178,1297
Closure13,24197,24214,17
Closure14,1,4,3
Closure15,143,185,42
Closure16,161,205,44
Closure17,188,86,-102
Closure18,14974,17361,2387
Closure19,1,1,0
Closure20,17,2,-15
Closure21,4,6,2
Closure22,3,4,1
Closure23,7,8,1
Closure24,1,1,0
Closure25,8747,107,-8640
Closure26,5,5,0
Closure27,3,3,0
Closure29,481,447,-34
Closure30,243,242,-1
Closure31,14352,16568,2216
Closure32,138,35,-103
Closure33,11965,10413,-1552
Closure34,1655,1644,-11
Closure35,42,6,-36
Closure36,1752,1062,-690
Closure37,16020,16628,608
Closure38,10979,11132,153
Closure39,43,21,-22
Closure40,143,120,-23
Closure41,13321,12951,-370
Closure42,2,1,-1
Closure43,77,12296,12219
Closure44,11494,11138,-356
Closure45,176,10793,10617
Closure46,2,1,-1
Closure47,43,338,295
Closure48,191,11694,11503
Closure49,1379,13810,12431
Closure50,94,88,-6
Closure51,10376,10525,149
Closure52,129,116,-13
Closure53,52,47,-5
Closure54,106,55,-51
Closure55,212,9947,9735
Closure56,15,65,50
Closure57,86,25,-61
Closure58,1,7,6
Closure59,24772,25904,1132
Closure60,143,21,-122
Closure61,19,146,127
Closure62,1,4,3
Closure63,1,4,3
Closure64,269,1481,1212
Closure65,127,78,-49
Closure66,11883,12664,781
Closure67,99,9571,9472
Closure68,3,3,0
Closure69,369,11744,11375
Closure70,13026,13035,9
Closure71,88,227,139
Closure72,7180,7121,-59
Closure73,185,9137,8952
Closure74,47,123,76
Closure75,13,8,-5
Closure76,97,138,41
Closure77,405,370,-35
Closure78,1,1,0
Closure79,27,51,24
Closure80,18,13,-5
Closure81,2747,3026,279
Closure82,14745,14561,-184
Closure83,13088,12732,-356
Closure84,2555,2543,-12
Closure85,107,164,57
Closure86,8,2,-6
Closure87,109,8724,8615
Closure88,73,69,-4
Closure89,118,142,24
Closure90,36,46,10
Closure91,12011,11997,-14
Closure92,72,85,13
Closure93,72,85,13
Closure94,6,4,-2
Closure95,14706,14561,-145
Closure96,103,10045,9942
Closure97,20,1,-19
Closure98,9650,11498,1848
Closure99,32,16,-16
Closure100,1,7,6
Closure101,20646,21984,1338
Closure102,21389,21975,586
Closure103,163,288,125
Closure104,32,13,-19
Closure105,72,7,-65
Closure106,7,105,98
Closure107,220,132,-88
Closure108,113,11732,11619
Closure109,3,33,30
Closure110,16,2,-14
Closure111,1,1,0
Closure112,73,110,37
Closure113,32,17,-15
Closure114,15447,15347,-100
Closure115,9,8,-1
Closure116,12,31,19
Closure117,8866,10050,1184
Closure118,10,2,-8
Closure120,290,226,-64
Closure121,14227,14779,552
Closure122,16,9,-7
Closure123,51,139,88
Closure124,10,10,0
Closure125,13589,12959,-630
Closure126,35,5,-30
Closure127,246,210,-36
Closure128,156,102,-54
Closure129,22865,25226,2361
Closure130,14657,16541,1884
Closure131,196,11546,11350
Closure132,71,80,9
Closure133,3851,4229,378
Lang1,2,3,1
Lang2,3,3,0
Lang3,5,3,-2
Lang4,19,17,-2
Lang5,1,1,0
Lang6,2630,2766,136
Lang7,4,122,118
Lang8,6,6,0
Lang9,654,648,-6
Lang10,380,480,100
Lang11,3,3,0
Lang12,1,5,4
Lang13,3,5,2
Lang14,1,4,3
Lang15,185,217,32
Lang16,42,27,-15
Lang17,1163,1221,58
Lang18,17,41,24
Lang19,7,8,1
Lang20,2,8,6
Lang21,1,2,1
Lang22,35,35,0
Lang24,12,64,52
Lang26,242,245,3
Lang27,142,127,-15
Lang28,1,3,2
Lang30,2,8,6
Lang31,2,6,4
Lang32,2,26,24
Lang33,1,7,6
Lang34,156,475,319
Lang35,1,2,1
Lang36,22,42,20
Lang37,1,6,5
