Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,107,42,-65
Chart2,org.jfree.data.general.DatasetUtilities#755,47,102,55
Chart2,org.jfree.data.general.DatasetUtilities#757,32,104,72
Chart2,org.jfree.data.general.DatasetUtilities#758,1116,1077,-39
Chart2,org.jfree.data.general.DatasetUtilities#761,1117,1078,-39
Chart2,org.jfree.data.general.DatasetUtilities#1242,11,92,81
Chart2,org.jfree.data.general.DatasetUtilities#1243,69,93,24
Chart2,org.jfree.data.general.DatasetUtilities#1245,1109,1070,-39
Chart2,org.jfree.data.general.DatasetUtilities#1248,1110,1071,-39
Chart3,org.jfree.data.time.TimeSeries#1056,5,3,-2
Chart3,org.jfree.data.time.TimeSeries#1057,2,4,2
Chart4,org.jfree.chart.plot.XYPlot#4493,11,311,300
Chart5,org.jfree.data.xy.XYSeries#548,1,8,7
Chart6,org.jfree.chart.util.ShapeList#111,43,650,607
Chart7,org.jfree.data.time.TimePeriodValues#300,34,435,401
Chart7,org.jfree.data.time.TimePeriodValues#302,92,436,344
Chart8,org.jfree.data.time.Week#175,8,1,-7
Chart9,org.jfree.data.time.TimeSeries#944,9,14,5
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,2,53,51
Chart11,org.jfree.chart.util.ShapeUtilities#275,4,5,1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,142,13,-129
Chart13,org.jfree.chart.block.BorderArrangement#454,77,47,-30
Chart14,org.jfree.chart.plot.XYPlot#2293,63,19,-44
Chart14,org.jfree.chart.plot.XYPlot#2529,67,26,-41
Chart14,org.jfree.chart.plot.CategoryPlot#2166,61,6,-55
Chart14,org.jfree.chart.plot.CategoryPlot#2448,64,13,-51
Chart15,org.jfree.chart.plot.PiePlot#1379,7448,6542,-906
Chart15,org.jfree.chart.plot.PiePlot#2051,3,29,26
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,2,1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,25,2,-23
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,5,5,0
Chart17,org.jfree.data.time.TimeSeries#857,1,2,1
Chart18,org.jfree.data.DefaultKeyedValues#318,7,3,-4
Chart18,org.jfree.data.DefaultKeyedValues#335,1,9,8
Chart18,org.jfree.data.DefaultKeyedValues2D#455,3,10,7
Chart18,org.jfree.data.DefaultKeyedValues2D#458,5,13,8
Chart18,org.jfree.data.DefaultKeyedValues2D#460,17,15,-2
Chart19,org.jfree.chart.plot.CategoryPlot#698,52,1,-51
Chart19,org.jfree.chart.plot.CategoryPlot#973,4,2,-2
Chart20,org.jfree.chart.plot.ValueMarker#95,8,448,440
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,13,544,531
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,18,545,527
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,49,546,497
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,47,547,500
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,89,548,459
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,98,549,451
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,27,550,523
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,55,551,496
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,38,552,514
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,108,553,445
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,15,24,9
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,44,3,-41
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,68,4,-64
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,81,5,-76
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,91,554,463
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,105,555,450
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,104,556,452
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,118,557,439
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,39,12,-27
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#184,351,256,-95
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#185,352,257,-95
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#186,353,258,-95
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,3,13,10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,41,14,-27
Chart22,org.jfree.data.KeyedObjects2D#231,3,19,16
Chart22,org.jfree.data.KeyedObjects2D#233,21,21,0
Chart22,org.jfree.data.KeyedObjects2D#378,2,12,10
Chart22,org.jfree.data.KeyedObjects2D#345,29,39,10
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,1,3,2
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,918,2640,1722
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,155,2659,2504
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,332,2851,2519
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,1122,2832,1710
Chart26,org.jfree.chart.axis.Axis#1192,12,134,122
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,1092,1744,652
Closure2,com.google.javascript.jscomp.TypeCheck#1574,140,66,-74
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,363,11456,11093
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,1103,279,-824
Closure4,com.google.javascript.rhino.jstype.NamedType#190,11,9518,9507
Closure4,com.google.javascript.rhino.jstype.NamedType#202,16247,11411,-4836
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,225,166,-59
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,134,154,20
Closure6,com.google.javascript.jscomp.TypeValidator#366,240,116,-124
Closure6,com.google.javascript.jscomp.TypeValidator#367,1,1,0
Closure6,com.google.javascript.jscomp.TypeValidator#405,2497,13714,11217
Closure6,com.google.javascript.jscomp.TypeValidator#406,2980,3,-2977
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,20,2,-18
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,180,123,-57
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#183,2649,2627,-22
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,2,11,9
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,7,1,-6
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#124,3,12,9
Closure10,com.google.javascript.jscomp.NodeUtil#1417,182,215,33
Closure11,com.google.javascript.jscomp.TypeCheck#1314,540,14087,13547
Closure11,com.google.javascript.jscomp.TypeCheck#1315,368,14008,13640
Closure12,com.google.javascript.jscomp.MaybeReachingVariableUse#160,345,15178,14833
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#126,5048,24214,19166
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#128,4431,24216,19785
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#127,3844,24215,20371
Closure14,com.google.javascript.jscomp.ControlFlowAnalysis#767,3,4,1
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#94,71,189,118
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#98,111,185,74
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#103,109,186,77
Closure16,com.google.javascript.jscomp.ScopedAliases#174,4643,205,-4438
Closure16,com.google.javascript.jscomp.ScopedAliases#180,243,208,-35
Closure16,com.google.javascript.jscomp.ScopedAliases#468,432,220,-212
Closure16,com.google.javascript.jscomp.ScopedAliases#175,5417,206,-5211
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1291,731,87,-644
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1295,859,86,-773
Closure18,com.google.javascript.jscomp.Compiler#1288,675,17361,16686
Closure19,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#175,3,1,-2
Closure20,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax#220,32,2,-30
Closure21,com.google.javascript.jscomp.CheckSideEffects#101,229,11329,11100
Closure21,com.google.javascript.jscomp.CheckSideEffects#113,171,11333,11162
Closure21,com.google.javascript.jscomp.CheckSideEffects#114,208,21,-187
Closure21,com.google.javascript.jscomp.CheckSideEffects#115,84,6,-78
Closure21,com.google.javascript.jscomp.CheckSideEffects#117,48,22,-26
Closure21,com.google.javascript.jscomp.CheckSideEffects#118,7,7,0
Closure21,com.google.javascript.jscomp.CheckSideEffects#119,22,8,-14
Closure21,com.google.javascript.jscomp.CheckSideEffects#120,177,9,-168
Closure21,com.google.javascript.jscomp.CheckSideEffects#121,149,10,-139
Closure21,com.google.javascript.jscomp.CheckSideEffects#125,770,11334,10564
Closure21,com.google.javascript.jscomp.CheckSideEffects#126,225,11189,10964
Closure21,com.google.javascript.jscomp.CheckSideEffects#127,894,11190,10296
Closure21,com.google.javascript.jscomp.CheckSideEffects#130,319,11335,11016
Closure22,com.google.javascript.jscomp.CheckSideEffects#101,184,11336,11152
Closure22,com.google.javascript.jscomp.CheckSideEffects#102,2,17,15
Closure22,com.google.javascript.jscomp.CheckSideEffects#103,51,18,-33
Closure22,com.google.javascript.jscomp.CheckSideEffects#104,6293,3280,-3013
Closure22,com.google.javascript.jscomp.CheckSideEffects#105,6294,3281,-3013
Closure22,com.google.javascript.jscomp.CheckSideEffects#111,43,19,-24
Closure22,com.google.javascript.jscomp.CheckSideEffects#112,9,20,11
Closure22,com.google.javascript.jscomp.CheckSideEffects#113,33,21,-12
Closure22,com.google.javascript.jscomp.CheckSideEffects#114,232,22,-210
Closure22,com.google.javascript.jscomp.CheckSideEffects#115,229,4,-225
Closure22,com.google.javascript.jscomp.CheckSideEffects#116,287,23,-264
Closure22,com.google.javascript.jscomp.CheckSideEffects#117,764,24,-740
Closure22,com.google.javascript.jscomp.CheckSideEffects#122,406,25,-381
Closure22,com.google.javascript.jscomp.CheckSideEffects#123,268,11239,10971
Closure22,com.google.javascript.jscomp.CheckSideEffects#134,132,170,38
Closure22,com.google.javascript.jscomp.CheckSideEffects#135,8006,4998,-3008
Closure22,com.google.javascript.jscomp.CheckSideEffects#136,117,154,37
Closure22,com.google.javascript.jscomp.CheckSideEffects#137,8007,4999,-3008
Closure23,com.google.javascript.jscomp.PeepholeFoldConstants#1451,32,8,-24
Closure24,com.google.javascript.jscomp.ScopedAliases#278,33,7344,7311
Closure24,com.google.javascript.jscomp.ScopedAliases#279,28,6883,6855
Closure24,com.google.javascript.jscomp.ScopedAliases#293,1,1,0
Closure25,com.google.javascript.jscomp.TypeInference#1038,76,12182,12106
Closure25,com.google.javascript.jscomp.TypeInference#1054,132,12128,11996
Closure25,com.google.javascript.jscomp.TypeInference#1059,151,12187,12036
Closure25,com.google.javascript.jscomp.TypeInference#1060,496,107,-389
Closure26,com.google.javascript.jscomp.ProcessCommonJSModules#127,8,5,-3
