Project,MinRank1,MinRank2,Difference
Chart1,107,42,-65
Chart2,11,92,81
Chart3,2,3,1
Chart4,11,311,300
Chart5,1,8,7
Chart6,43,650,607
Chart7,34,435,401
Chart8,8,1,-7
Chart9,9,14,5
Chart10,2,53,51
Chart11,4,5,1
Chart12,142,13,-129
Chart13,77,47,-30
Chart14,61,6,-55
Chart15,3,29,26
Chart16,2,1,-1
Chart17,1,2,1
Chart18,1,3,2
Chart19,4,1,-3
Chart20,8,448,440
Chart21,3,3,0
Chart22,2,12,10
Chart24,1,3,2
Chart25,155,2640,2485
Chart26,12,134,122
Closure1,1092,1744,652
Closure2,140,66,-74
Closure3,363,279,-84
Closure4,11,9518,9507
Closure5,134,154,20
Closure6,1,1,0
Closure7,20,2,-18
Closure8,180,123,-57
Closure9,2,1,-1
Closure10,182,215,33
Closure11,368,14008,13640
Closure12,345,15178,14833
Closure13,3844,24214,20370
Closure14,3,4,1
Closure15,71,185,114
Closure16,243,205,-38
Closure17,731,86,-645
Closure18,675,17361,16686
Closure19,3,1,-2
Closure20,32,2,-30
Closure21,7,6,-1
Closure22,2,4,2
Closure23,32,8,-24
Closure24,1,1,0
Closure25,76,107,31
Closure26,8,5,-3
Closure27,4,3,-1
Closure29,630,447,-183
Closure30,144,242,98
Closure31,632,16568,15936
Closure32,104,35,-69
Closure33,1903,10413,8510
Closure34,215,1644,1429
Closure35,285,6,-279
Closure36,2566,1062,-1504
Closure37,947,16628,15681
Closure38,189,11132,10943
Closure39,56,21,-35
Closure40,284,120,-164
Closure41,1176,12951,11775
Closure42,5,1,-4
Closure43,43,12296,12253
Closure44,1065,11138,10073
Closure45,98,10793,10695
Closure46,3,1,-2
Closure47,9,338,329
Closure48,167,11694,11527
Closure49,812,13810,12998
Closure50,60,88,28
Closure51,175,10525,10350
Closure52,132,116,-16
Closure53,58,47,-11
Closure54,202,55,-147
Closure55,135,9947,9812
Closure56,5,65,60
Closure57,271,25,-246
Closure58,1,7,6
Closure59,8238,25904,17666
Closure60,477,21,-456
Closure61,10,146,136
Closure62,1,4,3
Closure63,1,4,3
Closure64,242,1481,1239
Closure65,234,78,-156
Closure66,456,12664,12208
Closure67,49,9571,9522
Closure68,9,3,-6
Closure69,278,11744,11466
Closure70,1060,13035,11975
Closure71,63,227,164
Closure72,171,7121,6950
Closure73,123,9137,9014
Closure74,29,123,94
Closure75,21,8,-13
Closure76,33,138,105
Closure77,420,370,-50
Closure78,343,1,-342
Closure79,27,51,24
Closure80,31,13,-18
Closure81,61,3026,2965
Closure82,4045,14561,10516
Closure83,10,12732,12722
Closure84,54,2543,2489
Closure85,37,164,127
Closure86,343,2,-341
Closure87,73,8724,8651
Closure88,40,69,29
Closure89,79,142,63
Closure90,64,46,-18
Closure91,309,11997,11688
Closure92,27,85,58
Closure93,27,85,58
Closure94,479,4,-475
Closure95,1989,14561,12572
Closure96,88,10045,9957
Closure97,51,1,-50
Closure98,184,11498,11314
Closure99,21,16,-5
Closure100,1,7,6
Closure101,21984,21984,0
Closure102,2164,21975,19811
Closure103,98,288,190
Closure104,59,13,-46
Closure105,81,7,-74
Closure106,5,105,100
Closure107,223,132,-91
Closure108,45,11732,11687
Closure109,2,33,31
Closure110,243,2,-241
Closure111,1,1,0
Closure112,89,110,21
Closure113,68,17,-51
Closure114,551,15347,14796
Closure115,166,8,-158
Closure116,5,31,26
Closure117,1094,10050,8956
Closure118,211,2,-209
Closure120,395,226,-169
Closure121,300,14779,14479
Closure122,16,9,-7
Closure123,51,139,88
Closure124,4,10,6
Closure125,2227,12959,10732
Closure126,106,5,-101
Closure127,543,210,-333
Closure128,169,102,-67
Closure129,1289,25226,23937
Closure130,226,16541,16315
Closure131,104,11546,11442
Closure132,24,80,56
Closure133,171,4229,4058
Lang1,2,3,1
Lang2,3,3,0
Lang3,6,3,-3
Lang4,5,17,12
Lang5,1,1,0
Lang6,42,2766,2724
Lang7,3,122,119
Lang8,2,6,4
Lang9,342,648,306
Lang10,69,480,411
Lang11,2,3,1
Lang12,1,5,4
Lang13,3,5,2
Lang14,1,4,3
Lang15,31,217,186
Lang16,35,27,-8
Lang17,27,1221,1194
Lang18,5,41,36
Lang19,4,8,4
Lang20,2,8,6
Lang21,1,2,1
Lang22,31,35,4
Lang24,14,64,50
Lang26,2,245,243
Lang27,57,127,70
Lang28,1,3,2
Lang30,1,8,7
Lang31,2,6,4
Lang32,1,26,25
Lang33,1,7,6
Lang34,78,475,397
Lang35,1,2,1
Lang36,18,42,24
Lang37,1,6,5
Lang38,2,3,1
Lang39,12,27,15
Lang40,1,2,1
Lang41,2,6,4
Lang42,6,13,7
Lang43,3,6,3
Lang44,2,3,1
Lang45,17,10,-7
Lang46,1,1,0
Lang47,3,5,2
Lang48,2,167,165
Lang49,3,1,-2
Lang50,15,8,-7
Lang53,9,16,7
Lang54,5,3,-2
Lang55,3,36,33
Lang57,4,48,44
Lang58,5,20,15
Lang59,1,6,5
Lang60,2,2,0
Lang61,1,21,20
Lang62,11,4,-7
Lang63,1,1,0
Lang64,4,4,0
Lang65,4,7,3
Math1,15,8,-7
Math2,37,44,7
Math3,2,3,1
Math4,1,17,16
Math5,6,1,-5
Math6,11,170,159
Math7,6,42,36
Math8,4,4,0
Math9,1,1,0
Math10,64,12,-52
Math11,54,31,-23
Math13,66,5357,5291
Math14,70,4595,4525
Math15,211,211,0
Math16,82,1,-81
Math17,27,591,564
Math18,121,14,-107
Math19,12,56,44
Math20,69,4057,3988
Math21,3,46,43
Math22,1,1,0
Math23,45,1982,1937
Math24,70,1982,1912
Math25,6,1,-5
Math26,152,1846,1694
Math27,1,1,0
Math28,2,12,10
Math29,3,6,3
Math30,10,41,31
Math31,42,748,706
Math32,1,4,3
Math33,77,2967,2890
Math34,2,3,1
Math35,2,3,1
Math36,1,2,1
Math37,4,6,2
Math38,2,5,3
Math39,87,2042,1955
Math40,14,33,19
Math41,30,43,13
Math42,33,3004,2971
Math43,66,2003,1937
Math44,24,14,-10
Math45,1,1,0
Math46,19,2,-17
Math47,64,2,-62
Math48,10,355,345
Math49,208,7,-201
Math50,1,1,0
Math51,11,2215,2204
Math52,14,22,8
Math53,1,1,0
Math54,206,112,-94
Math55,1,1,0
Math56,2,20,18
Math57,1,4,3
Math58,627,2081,1454
Math59,168,2,-166
Math60,15,36,21
Math61,66,1,-65
Math62,36,150,114
Math63,3,1,-2
Math64,109,180,71
Math65,60,41,-19
Math66,354,503,149
Math67,297,8,-289
Math68,23,333,310
Math69,48,44,-4
Math70,2,1,-1
Math71,1,1,0
Math72,3,1,-2
Math73,7,1,-6
Math74,398,2481,2083
Math75,1,1,0
Math76,25,1889,1864
Math77,1,19,18
Math78,20,366,346
Math79,7,29,22
Math80,4,14,10
Math81,2,10,8
Math82,1804,1804,0
Math83,1,1661,1660
Math84,38,55,17
Math85,33,77,44
Math86,105,446,341
Math87,67,1656,1589
Math88,1,1,0
Math89,1,1,0
Math90,3,54,51
Math91,1,1,0
Math92,1,2,1
Math93,1,2,1
Math94,5,204,199
Math95,5,15,10
Math96,8,92,84
Math97,1,1,0
Math98,3,4,1
Math99,4,4,0
Math100,18,9,-9
Math101,23,39,16
Math102,1,3,2
Math103,13,32,19
Math105,68,68,0
Math106,42,10,-32
Mockito1,1,2,1
Mockito2,116,916,800
Mockito3,32,1,-31
Mockito4,22,7,-15
Mockito5,3066,2980,-86
Mockito6,1,1,0
Mockito7,11,967,956
Mockito8,59,155,96
Mockito9,117,1077,960
Mockito10,12,12,0
Mockito11,1,1,0
Mockito12,2,2,0
Mockito13,32,1030,998
Mockito14,23,868,845
Mockito15,109,859,750
Mockito16,4,4,0
Mockito17,1,4,3
Mockito18,10,647,637
Mockito19,18,12,-6
Mockito20,492,226,-266
Mockito21,3,1,-2
Mockito22,6,608,602
Mockito23,17,66,49
Mockito24,22,1,-21
Mockito25,10,63,53
Mockito26,2984,-1,-1
Mockito27,24,37,13
Mockito28,167,853,686
Mockito29,68,31,-37
Mockito30,1,1,0
Mockito31,7,2,-5
Mockito32,151,2,-149
Mockito33,129,1119,990
Mockito34,199,1589,1390
Mockito35,4,1,-3
Mockito36,9,4,-5
Mockito37,51,809,758
Mockito38,26,583,557
Time1,4,2,-2
Time2,40,3,-37
Time3,23,1,-22
Time4,26,30,4
Time5,10,26,16
Time6,1,4,3
Time7,22,17,-5
Time8,9,24,15
Time9,7,3,-4
Time10,51,199,148
Time11,126,448,322
Time12,2,7,5
Time13,87,19,-68
Time14,1,5,4
Time15,4,2,-2
Time16,57,7,-50
Time17,2,5,3
Time18,20,3,-17
Time19,138,5379,5241
Time20,490,339,-151
Time21,7,33,26
Time22,17,16,-1
Time23,9,1301,1292
Time24,301,5370,5069
Time25,902,5266,4364
Time26,609,332,-277
Time27,68,4502,4434
