Project,now,before,Difference
Chart1,167,350,183
Chart2,98,108,10
Chart3,22,86,64
Chart4,6,331,325
Chart5,2,44,42
Chart6,10,38,28
Chart7,26,80,54
Chart8,17,8,-9
Chart9,51,146,95
Chart10,2,3,1
Chart11,4,5,1
Chart12,213,151,-62
Chart13,125,147,22
Chart14,333,329,-4
Chart15,17,399,382
Chart16,15,19,4
Chart17,10,63,53
Chart18,4,20,16
Chart19,481,487,6
Chart20,10,22,12
Chart21,2,106,104
Chart22,53,65,12
Chart24,1,10,9
Chart25,2601,2879,278
Chart26,47,172,125
Closure1,583,1426,843
Closure2,2231,2237,6
Closure3,1500,1432,-68
Closure4,69,4379,4310
Closure5,982,1153,171
Closure6,3949,4377,428
Closure7,1307,1482,175
Closure8,1462,526,-936
Closure9,3,10,7
Closure10,2841,2883,42
Closure11,2135,2770,635
Closure12,537,1797,1260
Closure13,2907,4076,1169
Closure14,97,440,343
Closure15,799,1356,557
Closure16,738,1131,393
Closure17,3386,3832,446
Closure18,72,550,478
Closure19,2475,3558,1083
Closure20,1416,1350,-66
Closure21,2831,2852,21
Closure22,2801,2852,51
Closure23,1289,981,-308
Closure24,456,1309,853
Closure25,852,1594,742
Closure26,2187,2294,107
Closure27,97,43,-54
Closure29,2468,1122,-1346
Closure30,800,1209,409
Closure31,113,402,289
Closure32,676,718,42
Closure33,4069,5170,1101
Closure34,110,26,-84
Closure35,1593,2308,715
Closure36,4893,3702,-1191
Closure37,46,660,614
Closure38,415,107,-308
Closure39,735,989,254
Closure40,1182,1012,-170
Closure41,2829,2116,-713
Closure42,266,165,-101
Closure43,1917,3486,1569
Closure44,954,90,-864
Closure45,404,1763,1359
Closure46,95,690,595
Closure47,2076,2560,484
Closure48,2533,3583,1050
Closure49,30,673,643
Closure50,390,1190,800
Closure51,410,104,-306
Closure52,2032,2024,-8
Closure53,881,1016,135
Closure54,213,1634,1421
Closure55,702,928,226
Closure56,594,633,39
Closure57,1746,1730,-16
Closure58,87,775,688
Closure59,108,473,365
Closure60,2449,2771,322
Closure61,1883,1918,35
Closure62,11,47,36
Closure63,11,47,36
Closure64,35,521,486
Closure65,2406,2378,-28
Closure66,2430,2746,316
Closure67,35,99,64
Closure68,217,145,-72
Closure69,2543,2907,364
Closure70,2601,3013,412
Closure71,2584,2552,-32
Closure72,724,1086,362
Closure73,1961,1964,3
Closure74,209,927,718
Closure75,2378,2418,40
Closure76,183,961,778
Closure77,1952,1940,-12
Closure78,2249,1058,-1191
Closure79,1663,1805,142
Closure80,1623,1629,6
Closure81,180,123,-57
Closure82,325,207,-118
Closure83,103,96,-7
Closure84,69,107,38
Closure85,155,1066,911
Closure86,1972,1996,24
Closure87,463,1011,548
Closure88,652,915,263
Closure89,376,990,614
Closure90,1915,1922,7
Closure91,796,62,-734
Closure92,91,955,864
Closure93,91,955,864
Closure94,1480,1467,-13
Closure95,987,1556,569
Closure96,2252,2670,418
Closure97,855,702,-153
Closure98,357,1282,925
Closure99,676,28,-648
Closure100,1428,1435,7
Closure101,109,573,464
Closure102,519,2811,2292
Closure103,1824,1969,145
Closure104,632,886,254
Closure105,629,636,7
Closure106,1926,2011,85
Closure107,2059,585,-1474
Closure108,253,1442,1189
Closure109,114,162,48
Closure110,2627,2645,18
Closure111,503,1314,811
Closure112,1290,2379,1089
Closure113,729,1207,478
Closure114,1800,1176,-624
Closure115,366,878,512
Closure116,63,383,320
Closure117,3340,3025,-315
Closure118,1864,1470,-394
Closure120,2750,2913,163
Closure121,1017,968,-49
