Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,167,350,183
Chart2,org.jfree.data.general.DatasetUtilities#755,72,108,36
Chart2,org.jfree.data.general.DatasetUtilities#757,54,110,56
Chart2,org.jfree.data.general.DatasetUtilities#758,579,579,0
Chart2,org.jfree.data.general.DatasetUtilities#761,580,580,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,27,124,97
Chart2,org.jfree.data.general.DatasetUtilities#1243,96,125,29
Chart2,org.jfree.data.general.DatasetUtilities#1245,760,760,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,761,761,0
Chart3,org.jfree.data.time.TimeSeries#1056,40,86,46
Chart3,org.jfree.data.time.TimeSeries#1057,22,87,65
Chart4,org.jfree.chart.plot.XYPlot#4493,6,331,325
Chart5,org.jfree.data.xy.XYSeries#548,2,44,42
Chart6,org.jfree.chart.util.ShapeList#111,11,38,27
Chart7,org.jfree.data.time.TimePeriodValues#300,26,80,54
Chart7,org.jfree.data.time.TimePeriodValues#302,108,81,-27
Chart8,org.jfree.data.time.Week#175,17,8,-9
Chart9,org.jfree.data.time.TimeSeries#944,51,146,95
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,2,3,1
Chart11,org.jfree.chart.util.ShapeUtilities#275,4,5,1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,213,151,-62
Chart13,org.jfree.chart.block.BorderArrangement#454,125,147,22
Chart14,org.jfree.chart.plot.XYPlot#2293,217,349,132
Chart14,org.jfree.chart.plot.XYPlot#2529,219,356,137
Chart14,org.jfree.chart.plot.CategoryPlot#2166,216,329,113
Chart14,org.jfree.chart.plot.CategoryPlot#2448,218,336,118
Chart15,org.jfree.chart.plot.PiePlot#1379,6721,6721,0
Chart15,org.jfree.chart.plot.PiePlot#2051,17,399,382
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,15,19,4
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,28,20,-8
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,35,37,2
Chart17,org.jfree.data.time.TimeSeries#857,10,63,53
Chart18,org.jfree.data.DefaultKeyedValues#318,5,20,15
Chart18,org.jfree.data.DefaultKeyedValues#335,1,26,25
Chart18,org.jfree.data.DefaultKeyedValues2D#455,14,55,41
Chart18,org.jfree.data.DefaultKeyedValues2D#458,16,58,42
Chart18,org.jfree.data.DefaultKeyedValues2D#460,46,60,14
Chart19,org.jfree.chart.plot.CategoryPlot#698,322,487,165
Chart19,org.jfree.chart.plot.CategoryPlot#973,217,502,285
Chart20,org.jfree.chart.plot.ValueMarker#95,10,22,12
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,2,106,104
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,9,107,98
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,48,108,60
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,45,109,64
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,101,110,9
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,112,111,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,20,112,92
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,57,113,56
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,33,114,81
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,123,115,-8
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,58,116,58
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,99,117,18
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,122,118,-4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,130,119,-11
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,103,120,17
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,118,121,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,117,122,5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,129,123,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,90,124,34
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#184,481,481,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#185,482,482,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#186,483,483,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,5,129,124
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,91,130,39
Chart22,org.jfree.data.KeyedObjects2D#231,17,65,48
Chart22,org.jfree.data.KeyedObjects2D#233,42,67,25
Chart22,org.jfree.data.KeyedObjects2D#378,19,73,54
Chart22,org.jfree.data.KeyedObjects2D#345,81,113,32
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,1,10,9
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,1457,2879,1422
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,782,2898,2116
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,780,2943,2163
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,1446,2924,1478
Chart26,org.jfree.chart.axis.Axis#1192,48,172,124
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,588,1426,838
Closure2,com.google.javascript.jscomp.TypeCheck#1574,1653,2237,584
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,1500,1432,-68
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,3174,1488,-1686
Closure4,com.google.javascript.rhino.jstype.NamedType#190,69,4379,4310
Closure4,com.google.javascript.rhino.jstype.NamedType#202,17972,17972,0
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,1403,1153,-250
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,982,1154,172
Closure6,com.google.javascript.jscomp.TypeValidator#366,2158,4377,2219
Closure6,com.google.javascript.jscomp.TypeValidator#367,1675,4378,2703
Closure6,com.google.javascript.jscomp.TypeValidator#405,4941,5108,167
Closure6,com.google.javascript.jscomp.TypeValidator#406,5314,5109,-205
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,927,1482,555
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,1462,526,-936
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#183,2866,2866,0
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,3,10,7
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,23,11,-12
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#124,6,12,6
Closure10,com.google.javascript.jscomp.NodeUtil#1417,1916,2883,967
Closure11,com.google.javascript.jscomp.TypeCheck#1314,1444,2770,1326
Closure11,com.google.javascript.jscomp.TypeCheck#1315,1227,2771,1544
Closure12,com.google.javascript.jscomp.MaybeReachingVariableUse#160,537,1797,1260
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#126,5666,4076,-1590
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#128,4407,4078,-329
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#127,2907,4077,1170
Closure14,com.google.javascript.jscomp.ControlFlowAnalysis#767,97,440,343
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#94,799,1356,557
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#98,1166,1358,192
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#103,1156,1359,203
Closure16,com.google.javascript.jscomp.ScopedAliases#174,6569,1131,-5438
Closure16,com.google.javascript.jscomp.ScopedAliases#180,739,1134,395
Closure16,com.google.javascript.jscomp.ScopedAliases#468,1001,1239,238
Closure16,com.google.javascript.jscomp.ScopedAliases#175,7124,1132,-5992
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1291,2758,3832,1074
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1295,2891,3833,942
