Project,MinRank1,MinRank2,Difference
Chart1,167,350,183
Chart2,27,108,81
Chart3,22,86,64
Chart4,6,331,325
Chart5,2,44,42
Chart6,11,38,27
Chart7,26,80,54
Chart8,17,8,-9
Chart9,51,146,95
Chart10,2,3,1
Chart11,4,5,1
Chart12,213,151,-62
Chart13,125,147,22
Chart14,216,329,113
Chart15,17,399,382
Chart16,15,19,4
Chart17,10,63,53
Chart18,1,20,19
Chart19,217,487,270
Chart20,10,22,12
Chart21,2,106,104
Chart22,17,65,48
Chart24,1,10,9
Chart25,780,2879,2099
Chart26,48,172,124
Closure1,588,1426,838
Closure2,1653,2237,584
Closure3,1500,1432,-68
Closure4,69,4379,4310
Closure5,982,1153,171
Closure6,1675,4377,2702
Closure7,927,1482,555
Closure8,1462,526,-936
Closure9,3,10,7
Closure10,1916,2883,967
Closure11,1227,2770,1543
Closure12,537,1797,1260
Closure13,2907,4076,1169
Closure14,97,440,343
Closure15,799,1356,557
Closure16,739,1131,392
Closure17,2758,3832,1074
Closure18,72,550,478
Closure19,1555,3558,2003
Closure20,1416,1350,-66
Closure21,1701,2852,1151
Closure22,1514,2852,1338
Closure23,1289,981,-308
Closure24,456,1309,853
Closure25,852,1594,742
Closure26,550,2294,1744
Closure27,78,43,-35
Closure29,1936,1122,-814
Closure30,801,1209,408
Closure31,113,402,289
Closure32,181,718,537
Closure33,3655,5170,1515
Closure34,476,26,-450
Closure35,1593,2308,715
Closure36,4893,3702,-1191
Closure37,46,660,614
Closure38,443,107,-336
Closure39,495,989,494
Closure40,1193,1012,-181
Closure41,2127,2116,-11
Closure42,266,165,-101
Closure43,825,3486,2661
Closure44,1413,90,-1323
Closure45,404,1763,1359
Closure46,96,690,594
Closure47,1221,2560,1339
Closure48,1638,3583,1945
Closure49,30,673,643
Closure50,390,1190,800
Closure51,436,104,-332
Closure52,1396,2024,628
Closure53,881,1016,135
Closure54,213,1634,1421
Closure55,702,928,226
Closure56,185,633,448
Closure57,1393,1730,337
Closure58,87,775,688
Closure59,108,473,365
Closure60,1209,2771,1562
Closure61,560,1918,1358
Closure62,4,47,43
Closure63,4,47,43
Closure64,35,521,486
Closure65,2180,2378,198
Closure66,1910,2746,836
Closure67,35,99,64
Closure68,217,145,-72
Closure69,1782,2907,1125
Closure70,1826,3013,1187
Closure71,1860,2552,692
Closure72,724,1086,362
Closure73,1272,1964,692
Closure74,210,927,717
Closure75,1466,2418,952
Closure76,183,961,778
Closure77,1605,1940,335
Closure78,2249,1058,-1191
Closure79,693,1805,1112
Closure80,1062,1629,567
Closure81,183,123,-60
Closure82,1182,207,-975
Closure83,103,96,-7
Closure84,69,107,38
Closure85,155,1066,911
Closure86,1967,1996,29
Closure87,463,1011,548
Closure88,657,915,258
Closure89,376,990,614
Closure90,1140,1922,782
Closure91,796,62,-734
Closure92,91,955,864
Closure93,91,955,864
Closure94,1674,1467,-207
Closure95,994,1556,562
Closure96,1425,2670,1245
Closure97,855,702,-153
Closure98,357,1282,925
Closure99,567,28,-539
Closure100,464,1435,971
Closure101,109,573,464
Closure102,519,2811,2292
Closure103,1144,1969,825
Closure104,392,886,494
Closure105,629,636,7
Closure106,1106,2011,905
Closure107,2059,585,-1474
Closure108,253,1442,1189
Closure109,28,162,134
Closure110,2082,2645,563
Closure111,503,1314,811
Closure112,1290,2379,1089
Closure113,729,1207,478
Closure114,1800,1176,-624
Closure115,374,878,504
Closure116,64,383,319
Closure117,2884,3025,141
Closure118,1864,1470,-394
Closure120,2098,2913,815
Closure121,1017,968,-49
Closure122,249,239,-10
Closure123,1275,2062,787
Closure124,236,812,576
Closure125,3970,2672,-1298
Closure126,792,910,118
Closure127,1589,1286,-303
Closure128,1401,1958,557
Closure129,182,1000,818
Closure130,380,462,82
Closure131,988,2230,1242
Closure132,340,1152,812
Closure133,533,617,84
Lang1,3,33,30
Lang2,6,4,-2
Lang3,6,48,42
Lang4,2,3,1
Lang5,3,6,3
Lang6,31,71,40
Lang7,3,139,136
Lang8,104,262,158
Lang9,92,27,-65
Lang10,2,48,46
Lang11,4,6,2
Lang12,1,4,3
Lang13,5,33,28
Lang14,1,5,4
Lang15,6,184,178
Lang16,36,47,11
Lang17,7,56,49
Lang18,17,47,30
Lang19,6,14,8
Lang20,7,28,21
Lang21,2,4,2
Lang22,15,22,7
Lang24,32,159,127
Lang26,11,87,76
Lang27,49,151,102
Lang28,2,30,28
Lang30,2,30,28
Lang31,1,26,25
Lang32,1,24,23
Lang33,5,58,53
Lang34,64,118,54
Lang35,1,22,21
Lang36,13,42,29
Lang37,1,25,24
Lang38,59,103,44
Lang39,10,26,16
Lang40,1,4,3
Lang41,16,38,22
Lang42,15,7,-8
Lang43,11,27,16
Lang44,2,3,1
Lang45,17,11,-6
Lang46,1,3,2
Lang47,17,35,18
Lang48,5,10,5
Lang49,11,28,17
Lang50,97,137,40
Lang53,9,16,7
Lang54,11,14,3
Lang55,4,14,10
Lang57,4,6,2
Lang58,5,41,36
Lang59,3,12,9
Lang60,13,27,14
Lang61,5,27,22
Lang62,35,30,-5
Lang63,6,25,19
Lang64,22,40,18
Lang65,4,9,5
Math1,367,406,39
Math2,55,44,-11
Math3,2,3,1
Math4,31,91,60
Math5,13,14,1
Math6,26,23,-3
Math7,12,190,178
Math8,23,26,3
Math9,21,10,-11
Math10,184,210,26
Math11,113,40,-73
Math13,23,150,127
Math14,28,125,97
Math15,182,314,132
Math16,194,252,58
Math17,75,289,214
Math18,499,622,123
Math19,36,450,414
Math20,45,611,566
Math21,5,140,135
Math22,83,74,-9
Math23,4,130,126
