Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,130,42,-88
Chart2,org.jfree.data.general.DatasetUtilities#755,42,102,60
Chart2,org.jfree.data.general.DatasetUtilities#757,25,104,79
Chart2,org.jfree.data.general.DatasetUtilities#758,579,579,0
Chart2,org.jfree.data.general.DatasetUtilities#761,580,580,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,4,92,88
Chart2,org.jfree.data.general.DatasetUtilities#1243,63,93,30
Chart2,org.jfree.data.general.DatasetUtilities#1245,760,760,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,761,761,0
Chart3,org.jfree.data.time.TimeSeries#1056,11,3,-8
Chart3,org.jfree.data.time.TimeSeries#1057,3,4,1
Chart4,org.jfree.chart.plot.XYPlot#4493,18,660,642
Chart5,org.jfree.data.xy.XYSeries#548,1,8,7
Chart6,org.jfree.chart.util.ShapeList#111,38,104,66
Chart7,org.jfree.data.time.TimePeriodValues#300,28,81,53
Chart7,org.jfree.data.time.TimePeriodValues#302,108,82,-26
Chart8,org.jfree.data.time.Week#175,9,1,-8
Chart9,org.jfree.data.time.TimeSeries#944,17,14,-3
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,2,3,1
Chart11,org.jfree.chart.util.ShapeUtilities#275,4,5,1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,181,13,-168
Chart13,org.jfree.chart.block.BorderArrangement#454,111,47,-64
Chart14,org.jfree.chart.plot.XYPlot#2293,95,19,-76
Chart14,org.jfree.chart.plot.XYPlot#2529,102,26,-76
Chart14,org.jfree.chart.plot.CategoryPlot#2166,92,6,-86
Chart14,org.jfree.chart.plot.CategoryPlot#2448,96,13,-83
Chart15,org.jfree.chart.plot.PiePlot#1379,6721,6721,0
Chart15,org.jfree.chart.plot.PiePlot#2051,4,29,25
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,16,4,-12
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,37,5,-32
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,3,2,-1
Chart17,org.jfree.data.time.TimeSeries#857,3,2,-1
Chart18,org.jfree.data.DefaultKeyedValues#318,9,3,-6
Chart18,org.jfree.data.DefaultKeyedValues#335,1,8,7
Chart18,org.jfree.data.DefaultKeyedValues2D#455,3,11,8
Chart18,org.jfree.data.DefaultKeyedValues2D#458,5,14,9
Chart18,org.jfree.data.DefaultKeyedValues2D#460,23,16,-7
Chart19,org.jfree.chart.plot.CategoryPlot#698,157,1,-156
Chart19,org.jfree.chart.plot.CategoryPlot#973,36,2,-34
Chart20,org.jfree.chart.plot.ValueMarker#95,11,5,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,6,80,74
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,12,81,69
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,50,82,32
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,48,83,35
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,102,84,-18
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,112,85,-27
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,23,86,63
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,60,87,27
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,38,88,50
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,123,89,-34
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,40,24,-16
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,84,3,-81
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,105,4,-101
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,124,5,-119
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,104,90,-14
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,121,91,-30
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,120,92,-28
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,130,93,-37
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,78,12,-66
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#184,481,481,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#185,482,482,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#186,483,483,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,3,13,10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,79,14,-65
Chart22,org.jfree.data.KeyedObjects2D#231,6,44,38
Chart22,org.jfree.data.KeyedObjects2D#233,27,46,19
Chart22,org.jfree.data.KeyedObjects2D#378,2,31,29
Chart22,org.jfree.data.KeyedObjects2D#345,31,22,-9
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,1,3,2
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,410,154,-256
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,4,173,169
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,160,2856,2696
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,906,2837,1931
Chart26,org.jfree.chart.axis.Axis#1192,71,666,595
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,474,870,396
Closure2,com.google.javascript.jscomp.TypeCheck#1574,70,37,-33
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,530,441,-89
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,2575,279,-2296
Closure4,com.google.javascript.rhino.jstype.NamedType#190,8,192,184
Closure4,com.google.javascript.rhino.jstype.NamedType#202,17972,17972,0
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,377,166,-211
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,152,154,2
Closure6,com.google.javascript.jscomp.TypeValidator#366,117,116,-1
Closure6,com.google.javascript.jscomp.TypeValidator#367,28,1,-27
Closure6,com.google.javascript.jscomp.TypeValidator#405,3044,719,-2325
Closure6,com.google.javascript.jscomp.TypeValidator#406,3705,2,-3703
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,92,2,-90
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,481,123,-358
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#183,2866,2866,0
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,2,11,9
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,20,1,-19
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#124,3,12,9
Closure10,com.google.javascript.jscomp.NodeUtil#1417,142,215,73
Closure11,com.google.javascript.jscomp.TypeCheck#1314,750,1243,493
Closure11,com.google.javascript.jscomp.TypeCheck#1315,488,1147,659
Closure12,com.google.javascript.jscomp.MaybeReachingVariableUse#160,322,1081,759
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#126,6059,5651,-408
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#128,4954,5653,699
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#127,3678,5652,1974
Closure14,com.google.javascript.jscomp.ControlFlowAnalysis#767,13,5,-8
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#94,51,189,138
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#98,140,185,45
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#103,136,186,50
Closure16,com.google.javascript.jscomp.ScopedAliases#174,6453,208,-6245
Closure16,com.google.javascript.jscomp.ScopedAliases#180,200,211,11
Closure16,com.google.javascript.jscomp.ScopedAliases#468,409,223,-186
Closure16,com.google.javascript.jscomp.ScopedAliases#175,7065,209,-6856
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1291,299,87,-212
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1295,427,76,-351
Closure18,com.google.javascript.jscomp.Compiler#1288,346,2060,1714
Closure19,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#175,21,1,-20
Closure20,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax#220,354,2,-352
Closure21,com.google.javascript.jscomp.CheckSideEffects#101,289,584,295
Closure21,com.google.javascript.jscomp.CheckSideEffects#113,201,588,387
Closure21,com.google.javascript.jscomp.CheckSideEffects#114,464,12,-452
Closure21,com.google.javascript.jscomp.CheckSideEffects#115,260,3,-257
Closure21,com.google.javascript.jscomp.CheckSideEffects#117,116,13,-103
Closure21,com.google.javascript.jscomp.CheckSideEffects#118,41,4,-37
Closure21,com.google.javascript.jscomp.CheckSideEffects#119,95,5,-90
Closure21,com.google.javascript.jscomp.CheckSideEffects#120,460,6,-454
Closure21,com.google.javascript.jscomp.CheckSideEffects#121,379,7,-372
Closure21,com.google.javascript.jscomp.CheckSideEffects#125,1300,589,-711
Closure21,com.google.javascript.jscomp.CheckSideEffects#126,278,554,276
Closure21,com.google.javascript.jscomp.CheckSideEffects#127,1490,555,-935
Closure21,com.google.javascript.jscomp.CheckSideEffects#130,450,590,140
Closure22,com.google.javascript.jscomp.CheckSideEffects#101,221,587,366
Closure22,com.google.javascript.jscomp.CheckSideEffects#102,15,8,-7
Closure22,com.google.javascript.jscomp.CheckSideEffects#103,129,9,-120
Closure22,com.google.javascript.jscomp.CheckSideEffects#104,4075,4075,0
Closure22,com.google.javascript.jscomp.CheckSideEffects#105,4076,4076,0
Closure22,com.google.javascript.jscomp.CheckSideEffects#111,110,10,-100
Closure22,com.google.javascript.jscomp.CheckSideEffects#112,35,11,-24
Closure22,com.google.javascript.jscomp.CheckSideEffects#113,84,12,-72
Closure22,com.google.javascript.jscomp.CheckSideEffects#114,536,13,-523
Closure22,com.google.javascript.jscomp.CheckSideEffects#115,729,1,-728
Closure22,com.google.javascript.jscomp.CheckSideEffects#116,658,14,-644
Closure22,com.google.javascript.jscomp.CheckSideEffects#117,1528,15,-1513
Closure22,com.google.javascript.jscomp.CheckSideEffects#122,915,16,-899
Closure22,com.google.javascript.jscomp.CheckSideEffects#123,351,565,214
Closure22,com.google.javascript.jscomp.CheckSideEffects#134,106,168,62
Closure22,com.google.javascript.jscomp.CheckSideEffects#135,4077,4077,0
Closure22,com.google.javascript.jscomp.CheckSideEffects#136,98,154,56
Closure22,com.google.javascript.jscomp.CheckSideEffects#137,4078,4078,0
Closure23,com.google.javascript.jscomp.PeepholeFoldConstants#1451,432,8,-424
Closure24,com.google.javascript.jscomp.ScopedAliases#278,35,40,5
Closure24,com.google.javascript.jscomp.ScopedAliases#279,27,26,-1
