Project,MinRank1,MinRank2,Difference
Chart1,130,42,-88
Chart2,4,92,88
Chart3,3,3,0
Chart4,18,660,642
Chart5,1,8,7
Chart6,38,104,66
Chart7,28,81,53
Chart8,9,1,-8
Chart9,17,14,-3
Chart10,2,3,1
Chart11,4,5,1
Chart12,181,13,-168
Chart13,111,47,-64
Chart14,92,6,-86
Chart15,4,29,25
Chart16,3,2,-1
Chart17,3,2,-1
Chart18,1,3,2
Chart19,36,1,-35
Chart20,11,5,-6
Chart21,3,3,0
Chart22,2,22,20
Chart24,1,3,2
Chart25,4,154,150
Chart26,71,666,595
Closure1,474,870,396
Closure2,70,37,-33
Closure3,530,279,-251
Closure4,8,192,184
Closure5,152,154,2
Closure6,28,1,-27
Closure7,92,2,-90
Closure8,481,123,-358
Closure9,2,1,-1
Closure10,142,215,73
Closure11,488,1147,659
Closure12,322,1081,759
Closure13,3678,5651,1973
Closure14,13,5,-8
Closure15,51,185,134
Closure16,200,208,8
Closure17,299,76,-223
Closure18,346,2060,1714
Closure19,21,1,-20
Closure20,354,2,-352
Closure21,41,3,-38
Closure22,15,1,-14
Closure23,432,8,-424
Closure24,17,1,-16
Closure25,93,107,14
Closure26,184,16,-168
Closure27,12,1,-11
Closure29,486,536,50
Closure30,147,242,95
Closure31,374,1664,1290
Closure32,40,43,3
Closure33,1818,510,-1308
Closure34,398,230,-168
Closure35,712,6,-706
Closure36,3242,1062,-2180
Closure37,222,1226,1004
Closure38,260,345,85
Closure39,63,19,-44
Closure40,252,120,-132
Closure41,1551,695,-856
Closure42,7,1,-6
Closure43,29,506,477
Closure44,1679,778,-901
Closure45,82,280,198
Closure46,21,13,-8
Closure47,24,160,136
Closure48,110,389,279
Closure49,274,1734,1460
Closure50,56,94,38
Closure51,245,326,81
Closure52,95,116,21
Closure53,87,47,-40
Closure54,129,56,-73
Closure55,146,329,183
Closure56,2,65,63
Closure57,462,25,-437
Closure58,2,7,5
Closure59,1850,6782,4932
Closure60,805,21,-784
Closure61,6,143,137
Closure62,2,4,2
Closure63,2,4,2
Closure64,215,1484,1269
Closure65,241,1,-240
Closure66,1464,2743,1279
Closure67,14,308,294
Closure68,11,3,-8
Closure69,328,1006,678
Closure70,1480,2011,531
Closure71,36,250,214
Closure72,231,241,10
Closure73,221,305,84
Closure74,26,178,152
Closure75,38,1,-37
Closure76,15,112,97
Closure77,959,306,-653
Closure78,2036,1,-2035
Closure79,27,57,30
Closure80,27,10,-17
Closure81,79,173,94
Closure82,2835,1092,-1743
Closure83,44,10,-34
Closure84,50,195,145
Closure85,23,172,149
Closure86,965,21,-944
Closure87,74,150,76
Closure88,104,196,92
Closure89,90,154,64
Closure90,42,46,4
Closure91,684,284,-400
Closure92,20,85,65
Closure93,20,85,65
Closure94,946,5,-941
Closure95,1426,1764,338
Closure96,47,246,199
Closure97,316,1,-315
Closure98,149,425,276
Closure99,64,16,-48
Closure100,1,6,5
Closure101,318,2775,2457
Closure102,1537,4752,3215
Closure103,51,289,238
Closure104,67,13,-54
Closure105,116,7,-109
Closure106,10,24,14
Closure107,822,132,-690
Closure108,37,237,200
Closure109,1,33,32
Closure110,591,2,-589
Closure111,12,1,-11
Closure112,76,109,33
Closure113,71,17,-54
Closure114,1347,215,-1132
Closure115,104,8,-96
Closure116,5,42,37
Closure117,630,225,-405
Closure118,513,2,-511
Closure120,338,239,-99
Closure121,557,388,-169
Closure122,9,9,0
Closure123,28,159,131
Closure124,7,10,3
Closure125,2241,396,-1845
Closure126,202,5,-197
Closure127,1126,277,-849
Closure128,144,102,-42
Closure129,903,3293,2390
Closure130,171,545,374
Closure131,73,300,227
Closure132,13,80,67
Closure133,279,516,237
Lang1,2,3,1
Lang2,5,3,-2
Lang3,6,3,-3
Lang4,2,2,0
Lang5,1,1,0
Lang6,35,98,63
Lang7,3,122,119
Lang8,19,10,-9
Lang9,180,153,-27
Lang10,22,77,55
Lang11,4,3,-1
Lang12,1,5,4
Lang13,5,5,0
Lang14,1,4,3
Lang15,24,217,193
Lang16,36,27,-9
Lang17,14,102,88
Lang18,3,41,38
Lang19,3,8,5
Lang20,2,8,6
Lang21,2,2,0
Lang22,30,34,4
Lang24,28,64,36
Lang26,5,7,2
Lang27,50,127,77
Lang28,1,3,2
Lang30,1,10,9
Lang31,2,6,4
Lang32,1,26,25
Lang33,1,7,6
Lang34,81,145,64
Lang35,1,2,1
Lang36,10,94,84
Lang37,1,6,5
Lang38,9,3,-6
Lang39,10,27,17
Lang40,1,2,1
Lang41,1,6,5
Lang42,12,13,1
Lang43,6,6,0
Lang44,2,3,1
Lang45,17,10,-7
Lang46,1,1,0
Lang47,3,5,2
Lang48,3,2,-1
Lang49,4,1,-3
Lang50,18,2,-16
Lang53,8,16,8
Lang54,9,3,-6
Lang55,2,7,5
Lang57,4,6,2
Lang58,5,20,15
Lang59,2,6,4
Lang60,4,2,-2
Lang61,1,21,20
Lang62,25,4,-21
Lang63,3,1,-2
Lang64,18,4,-14
Lang65,4,7,3
Math1,61,6,-55
Math2,42,44,2
Math3,2,3,1
Math4,1,17,16
Math5,10,1,-9
Math6,11,231,220
Math7,6,42,36
Math8,9,4,-5
Math9,1,1,0
Math10,129,12,-117
Math11,53,31,-22
Math13,36,159,123
Math14,41,99,58
Math15,94,211,117
Math16,77,1,-76
Math17,19,89,70
Math18,339,14,-325
Math19,6,56,50
Math20,54,598,544
Math21,3,46,43
Math22,10,1,-9
Math23,10,148,138
Math24,51,150,99
Math25,9,1,-8
Math26,187,38,-149
Math27,1,1,0
Math28,1,12,11
Math29,9,6,-3
Math30,22,41,19
Math31,32,190,158
Math32,1,4,3
Math33,170,44,-126
Math34,4,3,-1
Math35,2,3,1
Math36,11,2,-9
Math37,12,4,-8
Math38,2,5,3
Math39,103,117,14
Math40,11,33,22
Math41,37,43,6
Math42,51,72,21
Math43,49,88,39
Math44,29,14,-15
Math45,1,1,0
Math46,53,2,-51
Math47,67,2,-65
Math48,3,355,352
Math49,262,7,-255
Math50,1,1,0
Math51,3,30,27
Math52,17,22,5
Math53,1,1,0
Math54,279,136,-143
Math55,4,1,-3
Math56,2,20,18
Math57,4,4,0
Math58,554,545,-9
Math59,465,2,-463
Math60,22,36,14
Math61,147,1,-146
Math62,36,128,92
Math63,3,1,-2
Math64,17,144,127
Math65,24,41,17
Math66,54,503,449
Math67,322,8,-314
Math68,3,128,125
Math69,107,44,-63
Math70,3,1,-2
Math71,1,1,0
Math72,5,1,-4
Math73,24,1,-23
Math74,280,777,497
Math75,1,1,0
Math76,85,100,15
Math77,4,19,15
Math78,7,117,110
Math79,3,29,26
Math80,21,14,-7
Math81,5,10,5
Math82,102,151,49
Math83,1,40,39
Math84,16,55,39
Math85,22,77,55
Math86,80,75,-5
Math87,6,115,109
Math88,2,1,-1
Math89,1,1,0
Math90,3,3,0
Math91,1,1,0
Math92,1,2,1
Math93,1,2,1
Math94,3,6,3
Math95,5,15,10
Math96,9,5,-4
Math97,5,1,-4
Math98,3,4,1
Math99,13,4,-9
Math100,28,9,-19
Math101,25,12,-13
Math102,1,3,2
Math103,11,32,21
Math105,3,25,22
Math106,58,10,-48
Mockito1,1,2,1
Mockito2,215,8,-207
Mockito3,85,8,-77
Mockito4,13,5,-8
Mockito5,4060,4060,0
Mockito6,1,1,0
Mockito7,17,50,33
Mockito8,59,31,-28
Mockito9,1827,1827,0
Mockito10,12,12,0
Mockito11,1,1,0
Mockito12,4,2,-2
Mockito13,45,85,40
Mockito14,26,96,70
Mockito15,79,178,99
Mockito16,4,4,0
Mockito17,1,4,3
Mockito18,86,5,-81
Mockito19,18,12,-6
Mockito20,412,119,-293
Mockito21,5,1,-4
Mockito22,66,11,-55
Mockito23,31,66,35
Mockito24,17,9,-8
Mockito25,3,73,70
Mockito26,2984,-1,-1
Mockito27,17,37,20
Mockito28,105,198,93
Mockito29,141,31,-110
Mockito30,1,1,0
Mockito31,12,2,-10
Mockito32,224,2,-222
Mockito33,138,203,65
Mockito34,374,62,-312
Mockito35,7,1,-6
Mockito36,6,4,-2
Mockito37,152,4,-148
Mockito38,20,5,-15
Time1,3,2,-1
Time2,33,3,-30
Time3,54,1,-53
Time4,81,30,-51
Time5,12,68,56
Time6,2,16,14
Time7,34,17,-17
