Project,now,before,Difference
Chart1,1,1,0
Chart2,22,51,29
Chart3,2,2,0
Chart4,144,431,287
Chart5,5,9,4
Chart6,51,56,5
Chart7,32,29,-3
Chart8,5,5,0
Chart9,9,11,2
Chart10,1,1,0
Chart11,2,2,0
Chart12,27,16,-11
Chart13,2,1,-1
Chart14,8,1,-7
Chart15,1,7,6
Chart16,1,1,0
Chart17,1,1,0
Chart18,1,1,0
Chart19,2,1,-1
Chart20,6,6,0
Chart21,5,4,-1
Chart22,1,1,0
Chart24,1,2,1
Chart25,1,3,2
Chart26,1,2,1
Closure1,20,29,9
Closure2,67,69,2
Closure3,40,41,1
Closure4,1,1,0
Closure5,6,1,-5
Closure6,1,1,0
Closure7,52,52,0
Closure8,14,10,-4
Closure9,1,1,0
Closure10,114,138,24
Closure11,5,3,-2
Closure12,101,162,61
Closure13,2644,2704,60
Closure14,1,2,1
Closure15,76,116,40
Closure16,212,185,-27
Closure17,2,1,-1
Closure18,160,372,212
Closure19,51,77,26
Closure20,227,193,-34
Closure21,1,1,0
Closure22,1,1,0
Closure23,48,38,-10
Closure24,1,1,0
Closure25,26,3,-23
Closure26,116,82,-34
Closure27,4,4,0
Closure29,38,25,-13
Closure30,147,140,-7
Closure31,125,243,118
Closure32,1,1,0
Closure33,70,54,-16
Closure34,4,2,-2
Closure35,174,114,-60
Closure36,66,58,-8
Closure37,460,551,91
Closure38,1,1,0
Closure39,5,1,-4
Closure40,3,2,-1
Closure41,540,499,-41
Closure42,2,1,-1
Closure43,32,223,191
Closure44,161,130,-31
Closure45,25,18,-7
Closure46,1,1,0
Closure47,4,5,1
Closure48,2,1,-1
Closure49,96,112,16
Closure50,3,5,2
Closure51,1,1,0
Closure52,70,71,1
Closure53,25,11,-14
Closure54,58,46,-12
Closure55,17,32,15
Closure56,24,29,5
Closure57,29,21,-8
Closure58,12,89,77
Closure59,932,1482,550
Closure60,40,54,14
Closure61,43,86,43
Closure62,1,1,0
Closure63,1,1,0
Closure64,452,700,248
Closure65,6,2,-4
Closure66,2,2,0
Closure67,2,13,11
Closure68,15,4,-11
Closure69,133,229,96
Closure70,1,1,0
Closure71,1,1,0
Closure72,155,200,45
Closure73,1,1,0
Closure74,2,3,1
Closure75,48,78,30
Closure76,3,7,4
Closure77,27,12,-15
Closure78,54,11,-43
Closure79,61,86,25
Closure80,189,235,46
Closure81,4,4,0
Closure82,2941,2817,-124
Closure83,1,1,0
Closure84,4,5,1
Closure85,3,10,7
Closure86,41,38,-3
Closure87,30,53,23
Closure88,4,2,-2
Closure89,5,9,4
Closure90,28,24,-4
Closure91,188,189,1
Closure92,1,1,0
Closure93,2,3,1
Closure94,30,16,-14
Closure95,1012,984,-28
Closure96,17,24,7
Closure97,67,52,-15
Closure98,52,71,19
Closure99,4,3,-1
Closure100,2,10,8
Closure101,872,1807,935
Closure102,3541,4169,628
Closure103,459,584,125
Closure104,3,4,1
Closure105,38,14,-24
Closure106,2,2,0
Closure107,6,4,-2
Closure108,24,18,-6
Closure109,7,59,52
Closure110,85,68,-17
Closure111,75,112,37
Closure112,174,158,-16
Closure113,6,6,0
Closure114,14,12,-2
Closure115,5,2,-3
Closure116,98,113,15
Closure117,9,5,-4
Closure118,133,83,-50
Closure120,604,592,-12
Closure121,31,22,-9
Closure122,1,1,0
Closure123,82,137,55
Closure124,35,62,27
Closure125,52,47,-5
Closure126,2,1,-1
Closure127,21,17,-4
Closure128,3,1,-2
Closure129,690,933,243
Closure130,28,52,24
Closure131,10,9,-1
Closure132,29,111,82
Closure133,77,77,0
Lang1,1,1,0
Lang2,18,18,0
Lang3,3,2,-1
Lang4,3,2,-1
Lang5,1,1,0
Lang6,16,17,1
Lang7,7,10,3
Lang8,2,3,1
Lang9,42,34,-8
Lang10,28,38,10
Lang11,9,10,1
Lang12,2,2,0
Lang13,2,2,0
Lang14,2,3,1
Lang15,1,1,0
Lang16,30,23,-7
Lang17,13,13,0
Lang18,37,55,18
Lang19,2,2,0
Lang20,1,1,0
Lang21,1,1,0
Lang22,1,1,0
Lang24,13,49,36
Lang26,1,1,0
Lang27,2,1,-1
Lang28,1,1,0
Lang30,7,14,7
Lang31,1,1,0
Lang32,3,6,3
Lang33,1,1,0
