Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,20,1,-19
Chart2,org.jfree.data.general.DatasetUtilities#755,56,102,46
Chart2,org.jfree.data.general.DatasetUtilities#757,19,62,43
Chart2,org.jfree.data.general.DatasetUtilities#1242,6,51,45
Chart2,org.jfree.data.general.DatasetUtilities#1243,73,100,27
Chart3,org.jfree.data.time.TimeSeries#1056,10,4,-6
Chart3,org.jfree.data.time.TimeSeries#1057,3,2,-1
Chart4,org.jfree.chart.plot.XYPlot#4493,12,431,419
Chart5,org.jfree.data.xy.XYSeries#548,3,9,6
Chart6,org.jfree.chart.util.ShapeList#111,28,56,28
Chart7,org.jfree.data.time.TimePeriodValues#300,20,50,30
Chart7,org.jfree.data.time.TimePeriodValues#302,81,29,-52
Chart8,org.jfree.data.time.Week#175,8,5,-3
Chart9,org.jfree.data.time.TimeSeries#944,9,11,2
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,1,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,2,2,0
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,117,16,-101
Chart13,org.jfree.chart.block.BorderArrangement#454,72,1,-71
Chart14,org.jfree.chart.plot.XYPlot#2293,19,2,-17
Chart14,org.jfree.chart.plot.XYPlot#2529,22,4,-18
Chart14,org.jfree.chart.plot.CategoryPlot#2166,18,1,-17
Chart14,org.jfree.chart.plot.CategoryPlot#2448,20,3,-17
Chart15,org.jfree.chart.plot.PiePlot#2051,1,7,6
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,2,2,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,26,1,-25
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,3,9,6
Chart17,org.jfree.data.time.TimeSeries#857,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#318,3,1,-2
Chart18,org.jfree.data.DefaultKeyedValues#335,4,52,48
Chart18,org.jfree.data.DefaultKeyedValues2D#455,5,11,6
Chart18,org.jfree.data.DefaultKeyedValues2D#458,1,5,4
Chart18,org.jfree.data.DefaultKeyedValues2D#460,35,16,-19
Chart19,org.jfree.chart.plot.CategoryPlot#698,91,6,-85
Chart19,org.jfree.chart.plot.CategoryPlot#973,14,1,-13
Chart20,org.jfree.chart.plot.ValueMarker#95,4,6,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,19,79,60
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,9,35,26
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,35,38,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,62,80,18
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,78,34,-44
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,87,50,-37
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,15,36,21
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,42,49,7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,50,84,34
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,110,93,-17
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,26,12,-14
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,67,4,-63
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,80,5,-75
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,97,9,-88
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,77,28,-49
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,94,48,-46
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,86,30,-56
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,102,32,-70
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,61,6,-55
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,3,7,4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,66,18,-48
Chart22,org.jfree.data.KeyedObjects2D#231,10,75,65
Chart22,org.jfree.data.KeyedObjects2D#233,38,55,17
Chart22,org.jfree.data.KeyedObjects2D#378,1,1,0
Chart22,org.jfree.data.KeyedObjects2D#345,54,43,-11
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,1,2,1
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,157,159,2
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,1,3,2
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,4,94,90
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,911,1704,793
Chart26,org.jfree.chart.axis.Axis#1192,2,2,0
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,91,29,-62
Closure2,com.google.javascript.jscomp.TypeCheck#1574,149,69,-80
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,121,41,-80
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,1428,43,-1385
Closure4,com.google.javascript.rhino.jstype.NamedType#190,1,1,0
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,157,1,-156
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,66,4,-62
Closure6,com.google.javascript.jscomp.TypeValidator#366,9,1,-8
Closure6,com.google.javascript.jscomp.TypeValidator#367,32,87,55
Closure6,com.google.javascript.jscomp.TypeValidator#405,1414,4,-1410
Closure6,com.google.javascript.jscomp.TypeValidator#406,2823,93,-2730
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,77,52,-25
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,129,10,-119
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,1,3,2
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,10,1,-9
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#124,4,10,6
Closure10,com.google.javascript.jscomp.NodeUtil#1417,141,138,-3
Closure11,com.google.javascript.jscomp.TypeCheck#1314,47,3,-44
Closure11,com.google.javascript.jscomp.TypeCheck#1315,463,1206,743
Closure12,com.google.javascript.jscomp.MaybeReachingVariableUse#160,56,162,106
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#126,4618,2881,-1737
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#128,4810,5990,1180
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#127,2062,2704,642
Closure14,com.google.javascript.jscomp.ControlFlowAnalysis#767,3,2,-1
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#94,66,116,50
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#98,141,122,-19
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#103,153,142,-11
Closure16,com.google.javascript.jscomp.ScopedAliases#174,5480,397,-5083
Closure16,com.google.javascript.jscomp.ScopedAliases#180,208,227,19
Closure16,com.google.javascript.jscomp.ScopedAliases#468,289,185,-104
Closure16,com.google.javascript.jscomp.ScopedAliases#175,6482,352,-6130
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1291,211,1,-210
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1295,274,2,-272
Closure18,com.google.javascript.jscomp.Compiler#1288,36,372,336
Closure19,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#175,46,77,31
Closure20,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax#220,378,193,-185
Closure21,com.google.javascript.jscomp.CheckSideEffects#101,184,291,107
Closure21,com.google.javascript.jscomp.CheckSideEffects#113,122,260,138
Closure21,com.google.javascript.jscomp.CheckSideEffects#114,345,168,-177
Closure21,com.google.javascript.jscomp.CheckSideEffects#115,456,642,186
Closure21,com.google.javascript.jscomp.CheckSideEffects#117,15,4,-11
Closure21,com.google.javascript.jscomp.CheckSideEffects#118,2,2,0
Closure21,com.google.javascript.jscomp.CheckSideEffects#119,98,140,42
Closure21,com.google.javascript.jscomp.CheckSideEffects#120,114,1,-113
Closure21,com.google.javascript.jscomp.CheckSideEffects#121,93,3,-90
Closure21,com.google.javascript.jscomp.CheckSideEffects#125,552,54,-498
Closure21,com.google.javascript.jscomp.CheckSideEffects#126,143,138,-5
Closure21,com.google.javascript.jscomp.CheckSideEffects#127,1045,743,-302
Closure21,com.google.javascript.jscomp.CheckSideEffects#130,156,30,-126
Closure22,com.google.javascript.jscomp.CheckSideEffects#101,123,204,81
Closure22,com.google.javascript.jscomp.CheckSideEffects#102,8,12,4
Closure22,com.google.javascript.jscomp.CheckSideEffects#103,97,72,-25
Closure22,com.google.javascript.jscomp.CheckSideEffects#111,14,2,-12
Closure22,com.google.javascript.jscomp.CheckSideEffects#112,1,1,0
Closure22,com.google.javascript.jscomp.CheckSideEffects#113,54,26,-28
Closure22,com.google.javascript.jscomp.CheckSideEffects#114,128,3,-125
Closure22,com.google.javascript.jscomp.CheckSideEffects#115,658,287,-371
Closure22,com.google.javascript.jscomp.CheckSideEffects#116,170,4,-166
Closure22,com.google.javascript.jscomp.CheckSideEffects#117,1402,568,-834
Closure22,com.google.javascript.jscomp.CheckSideEffects#122,670,174,-496
Closure22,com.google.javascript.jscomp.CheckSideEffects#123,184,154,-30
Closure22,com.google.javascript.jscomp.CheckSideEffects#134,85,86,1
Closure22,com.google.javascript.jscomp.CheckSideEffects#136,74,69,-5
Closure23,com.google.javascript.jscomp.PeepholeFoldConstants#1451,308,38,-270
Closure24,com.google.javascript.jscomp.ScopedAliases#278,4,1,-3
Closure24,com.google.javascript.jscomp.ScopedAliases#279,20,6,-14
Closure24,com.google.javascript.jscomp.ScopedAliases#293,12,3,-9
Closure25,com.google.javascript.jscomp.TypeInference#1038,80,56,-24
Closure25,com.google.javascript.jscomp.TypeInference#1054,306,184,-122
Closure25,com.google.javascript.jscomp.TypeInference#1059,266,51,-215
Closure25,com.google.javascript.jscomp.TypeInference#1060,1444,3,-1441
Closure26,com.google.javascript.jscomp.ProcessCommonJSModules#127,183,756,573
Closure26,com.google.javascript.jscomp.ProcessCommonJSModules#208,558,82,-476
Closure27,com.google.javascript.rhino.IR#224,3,13,10
Closure27,com.google.javascript.rhino.IR#233,2,4,2
Closure29,com.google.javascript.jscomp.InlineObjectLiterals#157,2836,25,-2811
Closure29,com.google.javascript.jscomp.InlineObjectLiterals#217,479,833,354
Closure30,com.google.javascript.jscomp.MustBeReachingVariableDef#396,243,521,278
Closure30,com.google.javascript.jscomp.FlowSensitiveInlineVariables#157,290,140,-150
Closure30,com.google.javascript.jscomp.MustBeReachingVariableDef#398,318,642,324
Closure30,com.google.javascript.jscomp.MustBeReachingVariableDef#397,260,235,-25
Closure30,com.google.javascript.jscomp.MustBeReachingVariableDef#431,257,433,176
Closure31,com.google.javascript.jscomp.Compiler#1284,32,243,211
Closure32,com.google.javascript.jscomp.parsing.JsDocInfoParser#1414,769,1,-768
Closure32,com.google.javascript.jscomp.parsing.JsDocInfoParser#1415,2168,3,-2165
Closure32,com.google.javascript.jscomp.parsing.JsDocInfoParser#1362,858,115,-743
Closure32,com.google.javascript.jscomp.parsing.JsDocInfoParser#1382,1008,26,-982
Closure32,com.google.javascript.jscomp.parsing.JsDocInfoParser#1391,16,19,3
Closure33,com.google.javascript.rhino.jstype.PrototypeObjectType#567,830,54,-776
Closure34,com.google.javascript.jscomp.CodeGenerator#122,48,2,-46
Closure34,com.google.javascript.jscomp.CodeGenerator#123,500,-1,-1
Closure34,com.google.javascript.jscomp.CodeGenerator#124,866,-1,-1
Closure35,com.google.javascript.jscomp.TypeInference#1121,613,862,249
Closure35,com.google.javascript.jscomp.TypeInference#1122,1178,378,-800
Closure35,com.google.javascript.jscomp.TypeInference#1123,1694,114,-1580
Closure36,com.google.javascript.jscomp.InlineVariables#569,885,58,-827
Closure37,com.google.javascript.jscomp.NodeTraversal#540,246,551,305
Closure37,com.google.javascript.jscomp.parsing.IRFactory#670,100,957,857
Closure37,com.google.javascript.jscomp.parsing.IRFactory#671,1200,1161,-39
Closure38,com.google.javascript.jscomp.CodeConsumer#245,13,1,-12
Closure39,com.google.javascript.rhino.jstype.PrototypeObjectType#380,26,1,-25
