Project,MinRank1,MinRank2,Difference
Chart1,20,1,-19
Chart2,6,51,45
Chart3,3,2,-1
Chart4,12,431,419
Chart5,3,9,6
Chart6,28,56,28
Chart7,20,29,9
Chart8,8,5,-3
Chart9,9,11,2
Chart10,1,1,0
Chart11,2,2,0
Chart12,117,16,-101
Chart13,72,1,-71
Chart14,18,1,-17
Chart15,1,7,6
Chart16,2,1,-1
Chart17,1,1,0
Chart18,1,1,0
Chart19,14,1,-13
Chart20,4,6,2
Chart21,3,4,1
Chart22,1,1,0
Chart24,1,2,1
Chart25,1,3,2
Chart26,2,2,0
Closure1,91,29,-62
Closure2,149,69,-80
Closure3,121,41,-80
Closure4,1,1,0
Closure5,66,1,-65
Closure6,9,1,-8
Closure7,77,52,-25
Closure8,129,10,-119
Closure9,1,1,0
Closure10,141,138,-3
Closure11,47,3,-44
Closure12,56,162,106
Closure13,2062,2704,642
Closure14,3,2,-1
Closure15,66,116,50
Closure16,208,185,-23
Closure17,211,1,-210
Closure18,36,372,336
Closure19,46,77,31
Closure20,378,193,-185
Closure21,2,1,-1
Closure22,1,1,0
Closure23,308,38,-270
Closure24,4,1,-3
Closure25,80,3,-77
Closure26,183,82,-101
Closure27,2,4,2
Closure29,479,25,-454
Closure30,243,140,-103
Closure31,32,243,211
Closure32,16,1,-15
Closure33,830,54,-776
Closure34,48,2,-46
Closure35,613,114,-499
Closure36,885,58,-827
Closure37,100,551,451
Closure38,13,1,-12
Closure39,26,1,-25
Closure40,84,2,-82
Closure41,729,499,-230
Closure42,20,1,-19
Closure43,23,223,200
Closure44,322,130,-192
Closure45,53,18,-35
Closure46,8,1,-7
Closure47,8,5,-3
Closure48,7,1,-6
Closure49,151,112,-39
Closure50,9,5,-4
Closure51,10,1,-9
Closure52,77,71,-6
Closure53,102,11,-91
Closure54,122,46,-76
Closure55,29,32,3
Closure56,7,29,22
Closure57,178,21,-157
Closure58,7,89,82
Closure59,249,1482,1233
Closure60,227,54,-173
Closure61,15,86,71
Closure62,1,1,0
Closure63,1,1,0
Closure64,194,700,506
Closure65,66,2,-64
Closure66,11,2,-9
Closure67,2,13,11
Closure68,35,4,-31
Closure69,99,229,130
Closure70,67,1,-66
Closure71,5,1,-4
Closure72,129,200,71
Closure73,12,1,-11
Closure74,4,3,-1
Closure75,31,78,47
Closure76,12,7,-5
Closure77,202,12,-190
Closure78,1486,11,-1475
Closure79,23,86,63
