Project,now,before,Difference
Chart1,1,1,0
Chart2,35,34,-1
Chart3,2,2,0
Chart4,150,192,42
Chart5,5,5,0
Chart6,94,96,2
Chart7,28,28,0
Chart8,3,3,0
Chart9,6,6,0
Chart10,1,1,0
Chart11,2,2,0
Chart12,41,41,0
Chart13,1,1,0
Chart14,1,1,0
Chart15,3,8,5
Chart16,1,1,0
Chart17,1,1,0
Chart18,1,1,0
Chart19,1,1,0
Chart20,6,6,0
Chart21,4,3,-1
Chart22,1,1,0
Chart24,2,1,-1
Chart25,2,12,10
Chart26,1,1,0
Closure1,17,36,19
Closure2,66,86,20
Closure3,36,41,5
Closure4,1,1,0
Closure5,1,1,0
Closure6,1,1,0
Closure7,54,64,10
Closure8,2,3,1
Closure9,1,1,0
Closure10,169,222,53
Closure11,1,3,2
Closure12,77,332,255
Closure13,2199,2227,28
Closure14,1,1,0
Closure15,113,108,-5
Closure16,85,126,41
Closure17,1,1,0
Closure18,420,506,86
Closure19,24,25,1
Closure20,29,36,7
Closure21,1,1,0
Closure22,1,1,0
Closure23,7,7,0
Closure24,1,1,0
Closure25,36,32,-4
Closure26,20,15,-5
Closure27,4,5,1
Closure29,23,22,-1
Closure30,146,143,-3
Closure31,215,294,79
Closure32,1,1,0
Closure33,11,18,7
Closure34,3,2,-1
Closure35,79,75,-4
Closure36,46,53,7
Closure37,274,289,15
Closure38,1,1,0
Closure39,1,1,0
Closure40,2,1,-1
Closure41,389,382,-7
Closure42,2,3,1
Closure43,161,177,16
Closure44,147,154,7
Closure45,21,22,1
Closure46,1,1,0
Closure47,4,4,0
Closure48,2,2,0
Closure49,102,109,7
Closure50,4,3,-1
Closure51,1,1,0
Closure52,81,98,17
Closure53,45,53,8
Closure54,37,40,3
Closure55,33,33,0
Closure56,17,23,6
Closure57,36,40,4
Closure58,29,44,15
Closure59,806,881,75
Closure60,45,70,25
Closure61,60,80,20
Closure62,1,1,0
Closure63,1,1,0
Closure64,574,604,30
Closure65,50,46,-4
Closure66,4,6,2
Closure67,9,8,-1
Closure68,7,4,-3
Closure69,486,508,22
Closure70,1,1,0
Closure71,1,1,0
Closure72,194,207,13
Closure73,1,1,0
Closure74,5,5,0
Closure75,25,24,-1
Closure76,3,4,1
Closure77,8,5,-3
Closure78,13,9,-4
Closure79,91,101,10
Closure80,22,97,75
Closure81,3,3,0
Closure82,2209,2336,127
Closure83,1,1,0
Closure84,8,8,0
Closure85,4,5,1
Closure86,7,28,21
Closure87,78,78,0
Closure88,1,1,0
Closure89,4,7,3
Closure90,17,19,2
Closure91,135,133,-2
Closure92,2,2,0
Closure93,2,2,0
Closure94,21,19,-2
Closure95,1108,1070,-38
Closure96,11,51,40
Closure97,94,88,-6
Closure98,12,70,58
Closure99,3,2,-1
Closure100,4,18,14
Closure101,1975,2030,55
Closure102,3694,4087,393
Closure103,502,657,155
Closure104,2,3,1
Closure105,19,14,-5
Closure106,2,2,0
Closure107,4,7,3
Closure108,20,20,0
Closure109,4,9,5
Closure110,18,17,-1
Closure111,68,90,22
Closure112,138,131,-7
Closure113,1,3,2
Closure114,10,12,2
Closure115,3,3,0
Closure116,120,115,-5
Closure117,8,15,7
Closure118,55,51,-4
Closure120,385,702,317
Closure121,24,23,-1
Closure122,1,1,0
Closure123,135,138,3
Closure124,30,32,2
Closure125,39,50,11
Closure126,1,1,0
Closure127,12,14,2
Closure128,2,4,2
Closure129,552,637,85
Closure130,58,64,6
Closure131,8,9,1
Closure132,23,55,32
Closure133,62,68,6
Lang1,1,1,0
Lang2,17,15,-2
Lang3,2,2,0
Lang4,3,1,-2
Lang5,1,1,0
Lang6,13,14,1
Lang7,8,10,2
Lang8,2,4,2
Lang9,47,41,-6
Lang10,19,31,12
Lang11,10,10,0
Lang12,4,7,3
Lang13,2,2,0
Lang14,1,1,0
Lang15,1,1,0
Lang16,20,16,-4
Lang17,13,13,0
Lang18,38,44,6
Lang19,1,1,0
Lang20,1,1,0
Lang21,1,1,0
Lang22,1,1,0
Lang24,14,45,31
Lang26,1,1,0
Lang27,1,1,0
Lang28,2,2,0
Lang30,7,13,6
Lang31,2,2,0
Lang32,4,4,0
Lang33,1,1,0
Lang34,3,1,-2
Lang35,3,2,-1
Lang36,20,19,-1
Lang37,1,2,1
Lang38,1,1,0
Lang39,5,5,0
Lang40,1,1,0
Lang41,5,5,0
Lang42,11,12,1
Lang43,12,12,0
Lang44,12,13,1
Lang45,22,22,0
Lang46,1,1,0
Lang47,3,3,0
Lang48,1,1,0
Lang49,1,1,0
Lang50,24,21,-3
Lang53,39,38,-1
Lang54,2,2,0
Lang55,1,1,0
Lang57,1,1,0
Lang58,3,3,0
Lang59,2,4,2
Lang60,1,1,0
Lang61,39,40,1
Lang62,4,4,0
Lang63,1,1,0
Lang64,1,1,0
Lang65,6,8,2
Math1,5,4,-1
Math2,15,16,1
Math3,11,11,0
Math4,10,9,-1
Math5,1,2,1
Math6,116,133,17
Math7,1,2,1
Math8,1,1,0
Math9,4,4,0
Math10,17,15,-2
Math11,37,55,18
Math13,53,53,0
Math14,48,52,4
Math15,18,22,4
Math16,3,1,-2
Math17,62,80,18
Math18,34,35,1
Math19,20,32,12
Math20,263,608,345
Math21,45,42,-3
Math22,1,1,0
Math23,35,54,19
Math24,49,55,6
Math25,1,2,1
Math26,4,5,1
Math27,1,1,0
Math28,9,9,0
Math29,7,7,0
Math30,3,4,1
Math31,45,40,-5
Math32,6,13,7
Math33,3,3,0
Math34,1,1,0
Math35,5,5,0
Math36,4,4,0
Math37,10,10,0
Math38,6,7,1
Math39,93,86,-7
Math40,2,2,0
Math41,16,14,-2
Math42,19,19,0
Math43,10,10,0
Math44,142,142,0
Math45,1,2,1
Math46,6,2,-4
Math47,2,2,0
Math48,78,87,9
Math49,22,17,-5
Math50,1,1,0
Math51,4,8,4
Math52,2,2,0
Math53,1,1,0
Math54,20,12,-8
Math55,1,1,0
Math56,3,6,3
Math57,10,10,0
Math58,297,307,10
Math59,1,1,0
Math60,14,18,4
Math61,1,1,0
Math62,17,12,-5
Math63,1,1,0
Math64,81,163,82
Math65,1,1,0
Math66,45,91,46
Math67,1,6,5
Math68,73,68,-5
Math69,6,6,0
Math70,1,1,0
Math71,30,36,6
Math72,1,1,0
Math73,4,4,0
Math74,543,591,48
Math75,1,3,2
Math76,53,55,2
Math77,1,1,0
Math78,28,45,17
Math79,26,28,2
Math80,1,1,0
Math81,1,5,4
Math82,45,46,1
Math83,1,1,0
Math84,1,1,0
Math85,16,22,6
Math86,10,15,5
Math87,33,36,3
Math88,1,1,0
Math89,1,1,0
Math90,3,3,0
Math91,2,2,0
Math92,1,1,0
Math93,2,2,0
Math94,9,9,0
Math95,3,4,1
Math96,2,2,0
Math97,1,1,0
Math98,6,7,1
Math99,2,2,0
Math100,5,5,0
Math101,5,6,1
Math102,3,2,-1
Math103,11,14,3
Math105,12,13,1
Math106,5,4,-1
Mockito1,14,17,3
Mockito2,3,3,0
Mockito3,1,1,0
Mockito4,1,1,0
Mockito6,31,21,-10
Mockito7,27,29,2
Mockito8,7,6,-1
Mockito9,2,1,-1
Mockito10,9,14,5
Mockito11,1,1,0
Mockito12,6,7,1
Mockito13,33,34,1
Mockito14,9,9,0
Mockito15,80,102,22
Mockito16,3,4,1
Mockito17,1,2,1
Mockito18,15,15,0
Mockito19,11,10,-1
Mockito20,69,90,21
Mockito21,3,3,0
Mockito22,10,10,0
Mockito23,5,4,-1
Mockito24,1,1,0
Mockito25,1,1,0
Mockito26,63,94,31
Mockito27,14,14,0
Mockito28,108,183,75
Mockito29,1,1,0
Mockito30,1,1,0
Mockito31,4,5,1
Mockito32,2,1,-1
Mockito33,91,93,2
Mockito34,2,2,0
Mockito35,1,1,0
Mockito36,4,4,0
Mockito37,8,7,-1
Mockito38,3,3,0
Time1,7,13,6
Time2,4,3,-1
Time3,1,1,0
Time4,4,6,2
Time5,3,17,14
Time6,8,8,0
Time7,18,20,2
Time8,12,12,0
Time9,3,2,-1
Time10,36,55,19
Time11,550,550,0
Time12,15,15,0
Time13,9,14,5
Time14,1,1,0
Time15,2,2,0
Time16,18,16,-2
Time17,11,11,0
Time18,23,23,0
Time19,1,1,0
Time20,22,22,0
Time21,1,1,0
Time22,81,83,2
Time23,23,31,8
Time24,355,387,32
Time25,214,236,22
Time26,274,304,30
Time27,163,173,10
