Project,now,before,Difference
Lang-32,13,4,-9
Lang-24,24,45,21
Lang-40,1,1,0
Lang-4,3,1,-2
Lang-19,1,1,0
Lang-35,3,2,-1
Lang-50,62,21,-41
Lang-29,-1,-1,0
Lang-14,1,1,0
Lang-2,19,15,-4
Lang-49,1,1,0
Lang-47,10,3,-7
Lang-5,2,1,-1
Lang-16,35,16,-19
Lang-3,7,2,-5
Lang-11,8,10,2
Lang-6,13,14,1
Lang-13,1,2,1
Lang-23,-1,-1,0
Lang-17,9,13,4
Lang-18,21,44,23
Lang-63,2,1,-1
Lang-26,2,1,-1
Lang-31,4,2,-2
Lang-61,10,40,30
Lang-65,5,8,3
Lang-60,3,1,-2
Lang-52,-1,-1,0
Lang-53,39,38,-1
Lang-51,-1,-1,0
Lang-58,2,3,1
Lang-1,1,1,0
Lang-59,4,4,0
Lang-22,2,1,-1
Lang-39,13,5,-8
Lang-56,-1,-1,0
Lang-28,2,2,0
Lang-41,1,5,4
Lang-21,1,1,0
Lang-43,10,12,2
Lang-45,22,22,0
Lang-37,1,2,1
Lang-7,1,10,9
Lang-25,-1,-1,0
Lang-12,1,7,6
Lang-64,2,1,-1
Lang-44,3,13,10
Lang-62,8,4,-4
Lang-38,2,1,-1
Lang-15,1,1,0
Lang-10,7,31,24
Lang-8,4,4,0
Lang-36,14,19,5
Lang-33,1,1,0
Lang-34,4,1,-3
Lang-46,1,1,0
Lang-55,1,1,0
Lang-20,1,1,0
Lang-42,7,12,5
Lang-48,2,1,-1
Lang-30,3,13,10
Lang-9,55,41,-14
Lang-57,1,1,0
Lang-54,4,2,-2
Lang-27,4,1,-3
Time-24,147,387,240
Time-4,9,6,-3
Time-19,2,1,-1
Time-14,1,1,0
Time-2,20,3,-17
Time-5,3,17,14
Time-16,294,16,-278
Time-3,3,1,-2
Time-11,365,550,185
Time-6,106,8,-98
Time-13,54,14,-40
Time-23,7,31,24
Time-17,24,11,-13
Time-18,72,23,-49
Time-26,78,304,226
Time-1,10,13,3
Time-22,70,83,13
Time-21,2,1,-1
Time-7,14,20,6
Time-25,78,236,158
Time-12,90,15,-75
Time-15,3,2,-1
Time-10,19,55,36
Time-8,31,12,-19
Time-20,124,22,-102
Time-9,7,2,-5
Time-27,55,173,118
Math-69,18,6,-12
Math-32,3,13,10
Math-73,13,4,-9
Math-24,14,55,41
Math-40,10,2,-8
Math-4,39,9,-30
Math-91,6,2,-4
Math-74,139,591,452
Math-106,19,4,-15
Math-19,17,32,15
Math-35,8,5,-3
Math-78,3,45,42
Math-103,8,14,6
Math-50,1,1,0
Math-29,4,7,3
Math-87,5,36,31
Math-14,20,52,32
Math-81,2,5,3
Math-2,34,16,-18
Math-49,92,17,-75
Math-47,6,2,-4
Math-92,1,1,0
Math-86,9,15,6
Math-66,11,91,80
Math-75,1,3,2
Math-82,37,46,9
Math-76,30,55,25
Math-93,1,2,1
Math-5,3,2,-1
Math-67,13,6,-7
Math-16,3,1,-2
Math-3,9,11,2
Math-11,28,55,27
Math-6,46,133,87
Math-13,43,53,10
Math-23,1,54,53
Math-17,12,80,68
Math-18,172,35,-137
Math-63,1,1,0
Math-26,5,5,0
Math-31,53,40,-13
Math-61,1,1,0
Math-77,3,1,-2
Math-65,3,1,-2
Math-60,11,18,7
Math-52,3,2,-1
Math-53,1,1,0
Math-51,5,8,3
Math-58,258,307,49
Math-97,1,1,0
Math-1,9,4,-5
Math-59,2,1,-1
Math-22,1,1,0
Math-39,80,86,6
Math-100,33,5,-28
Math-56,7,6,-1
Math-28,30,9,-21
Math-41,28,14,-14
Math-21,14,42,28
Math-96,5,2,-3
Math-43,13,10,-3
Math-68,5,68,63
Math-45,1,2,1
Math-37,102,10,-92
Math-83,2,1,-1
Math-7,5,2,-3
Math-25,2,2,0
Math-85,10,22,12
Math-90,2,3,1
Math-89,1,1,0
Math-95,1,4,3
Math-12,-1,-1,0
Math-88,1,1,0
Math-64,2,163,161
Math-101,11,6,-5
Math-71,5,36,31
Math-99,5,2,-3
Math-105,4,13,9
Math-44,6,142,136
Math-62,20,12,-8
Math-94,7,9,2
Math-84,1,1,0
Math-79,6,28,22
Math-38,16,7,-9
Math-15,17,22,5
Math-10,91,15,-76
Math-98,5,7,2
Math-102,6,2,-4
