Project,MinRank1,MinRank2,Difference
Chart1,1,1,0
Chart2,37,34,-3
Chart3,1,2,1
Chart4,19,192,173
Chart5,1,5,4
Chart6,26,96,70
Chart7,12,28,16
Chart8,4,3,-1
Chart9,3,6,3
Chart10,1,1,0
Chart11,1,2,1
Chart12,81,41,-40
Chart13,57,1,-56
Chart14,35,1,-34
Chart15,3,8,5
Chart16,6,1,-5
Chart17,1,1,0
Chart18,1,1,0
Chart19,9,1,-8
Chart20,3,6,3
Chart21,10,3,-7
Chart22,1,1,0
Chart24,2,1,-1
Chart25,1,12,11
Chart26,1,1,0
Closure1,5,36,31
Closure2,23,86,63
Closure3,15,41,26
Closure4,6,1,-5
Closure5,28,1,-27
Closure6,746,1,-745
Closure7,21,64,43
Closure8,3,3,0
Closure9,1,1,0
Closure10,8,222,214
Closure11,1,3,2
Closure12,1,332,331
Closure13,1323,2227,904
Closure14,3,1,-2
Closure15,237,108,-129
Closure16,31,126,95
Closure17,92,1,-91
Closure18,59,506,447
Closure19,4,25,21
Closure20,67,36,-31
Closure21,7,1,-6
Closure22,1,1,0
Closure23,40,7,-33
Closure24,3,1,-2
Closure25,18,32,14
Closure26,908,15,-893
Closure27,5,5,0
Closure29,107,22,-85
Closure30,81,143,62
Closure31,33,294,261
Closure32,42,1,-41
Closure33,16,18,2
Closure34,12,2,-10
Closure35,221,75,-146
Closure36,24,53,29
Closure37,85,289,204
Closure38,1,1,0
Closure39,7,1,-6
Closure40,51,1,-50
Closure41,575,382,-193
Closure42,28,3,-25
Closure43,41,177,136
Closure44,51,154,103
Closure45,98,22,-76
Closure46,26,1,-25
Closure47,220,4,-216
Closure48,47,2,-45
Closure49,157,109,-48
Closure50,10,3,-7
Closure51,1,1,0
Closure52,16,98,82
Closure53,68,53,-15
Closure54,115,40,-75
Closure55,27,33,6
Closure56,1,23,22
Closure57,7,40,33
Closure58,17,44,27
Closure59,336,881,545
Closure60,50,70,20
Closure61,10,80,70
Closure62,1,1,0
Closure63,1,1,0
Closure64,186,604,418
Closure65,79,46,-33
Closure66,5,6,1
Closure67,11,8,-3
Closure68,76,4,-72
Closure69,236,508,272
Closure70,9,1,-8
Closure71,22,1,-21
Closure72,90,207,117
Closure73,4,1,-3
Closure74,213,5,-208
Closure75,109,24,-85
Closure76,13,4,-9
Closure77,188,5,-183
Closure78,1471,9,-1462
Closure79,25,101,76
Closure80,1,97,96
Closure81,6,3,-3
Closure82,566,2336,1770
Closure83,5,1,-4
Closure84,7,8,1
Closure85,5,5,0
Closure86,2,28,26
Closure87,10,78,68
Closure88,9,1,-8
Closure89,7,7,0
Closure90,20,19,-1
Closure91,229,133,-96
Closure92,5,2,-3
Closure93,7,2,-5
Closure94,458,19,-439
Closure95,485,1070,585
Closure96,1,51,50
Closure97,396,88,-308
Closure98,1,70,69
Closure99,9,2,-7
Closure100,1,18,17
Closure101,820,2030,1210
Closure102,1184,4087,2903
Closure103,22,657,635
Closure104,2,3,1
Closure105,235,14,-221
Closure106,1,2,1
Closure107,1,7,6
Closure108,20,20,0
Closure109,1,9,8
Closure110,40,17,-23
Closure111,17,90,73
Closure112,672,131,-541
Closure113,1,3,2
Closure114,11,12,1
Closure115,10,3,-7
Closure116,115,115,0
Closure117,6,15,9
Closure118,400,51,-349
Closure120,10,702,692
Closure121,78,23,-55
Closure122,1,1,0
Closure123,99,138,39
Closure124,5,32,27
Closure125,21,50,29
Closure126,160,1,-159
Closure127,5,14,9
Closure128,1,4,3
Closure129,132,637,505
Closure130,9,64,55
Closure131,14,9,-5
Closure132,12,55,43
Closure133,3,68,65
Lang1,1,1,0
Lang2,16,15,-1
Lang3,26,2,-24
Lang4,6,1,-5
Lang5,1,1,0
Lang6,4,14,10
Lang7,2,10,8
Lang8,2,4,2
Lang9,44,41,-3
Lang10,3,31,28
Lang11,8,10,2
Lang12,2,7,5
Lang13,1,2,1
Lang14,1,1,0
Lang15,1,1,0
Lang16,32,16,-16
