Project,now,before,Difference
Chart1,1,1,0
Chart2,30,26,-4
Chart3,1,2,1
Chart4,12,137,125
Chart5,2,9,7
Chart6,44,99,55
Chart7,29,26,-3
Chart8,4,5,1
Chart9,4,11,7
Chart10,1,1,0
Chart11,1,1,0
Chart12,272,243,-29
Chart13,3,2,-1
Chart14,4,2,-2
Chart15,2,4,2
Chart16,1,1,0
Chart17,1,1,0
Chart18,1,1,0
Chart19,4,2,-2
Chart20,48,57,9
Chart21,8,5,-3
Chart22,1,2,1
Chart24,2,2,0
Chart25,151,729,578
Chart26,1323,1533,210
Closure1,949,867,-82
Closure2,224,367,143
Closure3,329,260,-69
Closure4,1100,1099,-1
Closure5,674,647,-27
Closure6,1216,1205,-11
Closure7,56,503,447
Closure8,175,168,-7
Closure9,1,1,0
Closure10,11,30,19
Closure11,450,893,443
Closure12,31,550,519
Closure13,1368,1576,208
Closure14,1,1,0
Closure15,902,955,53
Closure16,772,763,-9
Closure17,1,1,0
Closure18,3,41,38
Closure19,216,848,632
Closure20,1026,1129,103
Closure21,478,478,0
Closure22,521,503,-18
Closure23,48,65,17
Closure24,343,422,79
Closure25,15,26,11
Closure26,1667,1588,-79
Closure27,6,5,-1
Closure29,1349,1323,-26
Closure30,242,484,242
Closure31,4,41,37
Closure32,1,1,0
Closure33,1256,1305,49
Closure34,8,2,-6
Closure35,147,144,-3
Closure36,1647,1657,10
Closure37,634,783,149
Closure38,5,22,17
Closure39,79,102,23
Closure40,322,408,86
Closure41,165,189,24
Closure42,99,140,41
Closure43,520,617,97
Closure44,73,63,-10
Closure45,356,471,115
Closure46,5,3,-2
Closure47,1036,1065,29
Closure48,1,1,0
Closure49,280,560,280
Closure50,10,48,38
Closure51,1,1,0
Closure52,5,47,42
Closure53,140,181,41
Closure54,14,29,15
Closure55,742,963,221
Closure56,1,15,14
Closure57,1,9,8
Closure58,207,380,173
Closure59,855,1100,245
Closure60,1321,1537,216
Closure61,23,73,50
Closure62,25,45,20
Closure63,27,57,30
Closure64,36,76,40
Closure65,27,22,-5
Closure66,141,140,-1
Closure67,3,1,-2
Closure68,26,13,-13
Closure69,78,111,33
Closure70,3,1,-2
Closure71,269,372,103
Closure72,1142,1142,0
Closure73,1,1,0
Closure74,60,39,-21
Closure75,159,191,32
Closure76,118,89,-29
Closure77,34,17,-17
Closure78,600,597,-3
Closure79,982,963,-19
Closure80,1,141,140
Closure81,2,8,6
Closure82,427,515,88
Closure83,2,1,-1
Closure84,3,9,6
Closure85,169,168,-1
Closure86,1,1,0
Closure87,8,147,139
Closure88,192,525,333
Closure89,1,1,0
Closure90,191,440,249
Closure91,919,806,-113
Closure92,87,89,2
Closure93,67,74,7
Closure94,898,857,-41
Closure95,213,214,1
Closure96,1,7,6
Closure97,712,710,-2
Closure98,1,119,118
Closure99,161,281,120
Closure100,207,747,540
Closure101,334,674,340
Closure102,820,1276,456
Closure103,2,85,83
Closure104,23,115,92
Closure105,34,12,-22
Closure106,387,561,174
Closure107,326,601,275
Closure108,95,277,182
Closure109,1,17,16
Closure110,297,287,-10
Closure111,378,746,368
Closure112,515,506,-9
Closure113,136,676,540
Closure114,374,343,-31
Closure115,30,209,179
Closure116,59,49,-10
Closure117,3,6,3
Closure118,1091,1126,35
Closure119,539,522,-17
Closure120,5,187,182
Closure121,791,907,116
Closure122,94,380,286
Closure123,341,372,31
Closure124,237,417,180
Closure125,6,4,-2
Closure126,953,941,-12
Closure127,117,114,-3
Closure128,1,1,0
Closure129,555,1560,1005
Closure130,789,1271,482
Closure131,808,1069,261
Closure132,716,972,256
Closure133,4,38,34
Lang1,1,2,1
Lang2,19,18,-1
Lang3,4,2,-2
Lang4,5,2,-3
Lang5,1,1,0
Lang6,8,16,8
Lang7,2,6,4
Lang8,2,2,0
Lang9,38,31,-7
Lang10,38,35,-3
Lang11,8,6,-2
Lang12,2,2,0
Lang13,1,1,0
Lang14,1,1,0
Lang15,1,1,0
Lang16,27,22,-5
Lang17,5,5,0
Lang18,85,91,6
Lang19,1,2,1
Lang20,1,1,0
Lang21,1,1,0
Lang22,1,1,0
Lang24,24,40,16
Lang26,9,5,-4
Lang27,2,1,-1
Lang28,2,1,-1
Lang30,3,8,5
Lang31,4,1,-3
Lang32,10,4,-6
Lang33,2,1,-1
Lang34,2,1,-1
Lang35,4,7,3
