Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,1,1,0
Chart2,org.jfree.data.general.DatasetUtilities#755,22,65,43
Chart2,org.jfree.data.general.DatasetUtilities#757,11,26,15
Chart2,org.jfree.data.general.DatasetUtilities#1242,8,31,23
Chart2,org.jfree.data.general.DatasetUtilities#1243,21,56,35
Chart3,org.jfree.data.time.TimeSeries#1056,2,2,0
Chart3,org.jfree.data.time.TimeSeries#1057,1,3,2
Chart4,org.jfree.chart.plot.XYPlot#4493,5,137,132
Chart5,org.jfree.data.xy.XYSeries#548,5,9,4
Chart6,org.jfree.chart.util.ShapeList#111,20,99,79
Chart7,org.jfree.data.time.TimePeriodValues#300,10,39,29
Chart7,org.jfree.data.time.TimePeriodValues#302,27,26,-1
Chart8,org.jfree.data.time.Week#175,3,5,2
Chart9,org.jfree.data.time.TimeSeries#944,5,11,6
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,1,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,1,1,0
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,17,243,226
Chart13,org.jfree.chart.block.BorderArrangement#454,7,2,-5
Chart14,org.jfree.chart.plot.XYPlot#2293,7,4,-3
Chart14,org.jfree.chart.plot.XYPlot#2529,6,2,-4
Chart14,org.jfree.chart.plot.CategoryPlot#2166,416,-1,-1
Chart14,org.jfree.chart.plot.CategoryPlot#2448,428,-1,-1
Chart15,org.jfree.chart.plot.PiePlot#2051,2,4,2
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,14,17,3
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,2,1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,3,3,0
Chart17,org.jfree.data.time.TimeSeries#857,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#318,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#335,2,16,14
Chart18,org.jfree.data.DefaultKeyedValues2D#455,47,-1,-1
Chart18,org.jfree.data.DefaultKeyedValues2D#458,44,-1,-1
Chart18,org.jfree.data.DefaultKeyedValues2D#460,83,-1,-1
Chart19,org.jfree.chart.plot.CategoryPlot#698,5,2,-3
Chart19,org.jfree.chart.plot.CategoryPlot#973,2,3,1
Chart20,org.jfree.chart.plot.ValueMarker#95,15,57,42
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,14,66,52
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,17,25,8
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,26,36,10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,21,68,47
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,18,26,8
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,24,47,23
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,10,24,14
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,25,51,26
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,33,85,52
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,36,84,48
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,29,80,51
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,45,109,64
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,64,21,-43
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,20,20,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,13,22,9
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,23,41,18
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,22,32,10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,27,35,8
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,7,5,-2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#186,130,64,-66
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#187,141,74,-67
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,3,6,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,8,15,7
Chart22,org.jfree.data.KeyedObjects2D#231,26,62,36
Chart22,org.jfree.data.KeyedObjects2D#233,25,55,30
Chart22,org.jfree.data.KeyedObjects2D#378,1,2,1
Chart22,org.jfree.data.KeyedObjects2D#345,11,33,22
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,2,2,0
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,8,729,721
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,82,1227,1145
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,56,1090,1034
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,25,852,827
Chart26,org.jfree.chart.axis.Axis#1192,147,1533,1386
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,15,867,852
Closure2,com.google.javascript.jscomp.TypeCheck#1574,19,367,348
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,19,599,580
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#280,2635,1343,-1292
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,24,260,236
Closure4,com.google.javascript.rhino.jstype.NamedType#190,22,1391,1369
Closure4,com.google.javascript.rhino.jstype.NamedType#202,2219,1099,-1120
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,56,921,865
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,32,647,615
Closure6,com.google.javascript.jscomp.TypeValidator#366,74,1446,1372
Closure6,com.google.javascript.jscomp.TypeValidator#367,86,1550,1464
Closure6,com.google.javascript.jscomp.TypeValidator#368,2890,1447,-1443
Closure6,com.google.javascript.jscomp.TypeValidator#405,70,1406,1336
Closure6,com.google.javascript.jscomp.TypeValidator#406,49,1205,1156
Closure6,com.google.javascript.jscomp.TypeValidator#407,2667,1328,-1339
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,11,503,492
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,9,168,159
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,1,3,2
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,3,1,-2
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#124,5,9,4
Closure10,com.google.javascript.jscomp.NodeUtil#1417,4,30,26
Closure11,com.google.javascript.jscomp.TypeCheck#1314,110,893,783
Closure11,com.google.javascript.jscomp.TypeCheck#1315,135,1292,1157
Closure12,com.google.javascript.jscomp.MaybeReachingVariableUse#160,1,550,549
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#126,77,1680,1603
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#128,41,1577,1536
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#127,40,1576,1536
Closure14,com.google.javascript.jscomp.ControlFlowAnalysis#767,1,1,0
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#94,115,1165,1050
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#98,63,955,892
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#103,119,1171,1052
Closure16,com.google.javascript.jscomp.ScopedAliases#174,118,1449,1331
Closure16,com.google.javascript.jscomp.ScopedAliases#180,102,1530,1428
Closure16,com.google.javascript.jscomp.ScopedAliases#468,31,1186,1155
Closure16,com.google.javascript.jscomp.ScopedAliases#172,1653,763,-890
Closure16,com.google.javascript.jscomp.ScopedAliases#175,134,1529,1395
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1291,1,1,0
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1295,191,763,572
Closure18,com.google.javascript.jscomp.Compiler#1288,1,41,40
Closure19,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#175,5,848,843
Closure19,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#174,2657,1332,-1325
Closure20,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax#220,32,1129,1097
Closure21,com.google.javascript.jscomp.CheckSideEffects#101,44,1137,1093
Closure21,com.google.javascript.jscomp.CheckSideEffects#113,43,1146,1103
Closure21,com.google.javascript.jscomp.CheckSideEffects#114,57,1147,1090
Closure21,com.google.javascript.jscomp.CheckSideEffects#115,36,1148,1112
Closure21,com.google.javascript.jscomp.CheckSideEffects#116,1003,478,-525
Closure21,com.google.javascript.jscomp.CheckSideEffects#117,46,1149,1103
