Project,MinRank1,MinRank2,Difference
Chart1,1,1,0
Chart2,8,26,18
Chart3,1,2,1
Chart4,5,137,132
Chart5,5,9,4
Chart6,20,99,79
Chart7,10,26,16
Chart8,3,5,2
Chart9,5,11,6
Chart10,1,1,0
Chart11,1,1,0
Chart12,17,243,226
Chart13,7,2,-5
Chart14,6,2,-4
Chart15,2,4,2
Chart16,2,1,-1
Chart17,1,1,0
Chart18,1,1,0
Chart19,2,2,0
Chart20,15,57,42
Chart21,3,5,2
Chart22,1,2,1
Chart24,2,2,0
Chart25,8,729,721
Chart26,147,1533,1386
Closure1,15,867,852
Closure2,19,367,348
Closure3,19,260,241
Closure4,22,1099,1077
Closure5,32,647,615
Closure6,49,1205,1156
Closure7,11,503,492
Closure8,9,168,159
Closure9,1,1,0
Closure10,4,30,26
Closure11,110,893,783
Closure12,1,550,549
Closure13,40,1576,1536
Closure14,1,1,0
Closure15,63,955,892
Closure16,31,763,732
Closure17,1,1,0
Closure18,1,41,40
Closure19,5,848,843
Closure20,32,1129,1097
Closure21,10,478,468
Closure22,3,503,500
Closure23,5,65,60
Closure24,21,422,401
Closure25,1,26,25
Closure26,39,1588,1549
Closure27,3,5,2
Closure29,42,1323,1281
Closure30,7,484,477
Closure31,1,41,40
Closure32,1,1,0
Closure33,63,1305,1242
Closure34,5,2,-3
Closure35,46,144,98
Closure36,98,1657,1559
Closure37,65,783,718
Closure38,5,22,17
Closure39,31,102,71
Closure40,112,408,296
Closure41,6,189,183
Closure42,61,140,79
Closure43,128,617,489
Closure44,6,63,57
Closure45,35,471,436
Closure46,5,3,-2
Closure47,6,1065,1059
Closure48,1,1,0
Closure49,10,560,550
Closure50,1,48,47
Closure51,1,1,0
Closure52,6,47,41
Closure53,7,181,174
Closure54,3,29,26
Closure55,66,963,897
Closure56,1,15,14
Closure57,1,9,8
Closure58,5,380,375
Closure59,207,1100,893
Closure60,249,1537,1288
Closure61,7,73,66
Closure62,29,45,16
Closure63,30,57,27
Closure64,14,76,62
Closure65,19,22,3
Closure66,83,140,57
Closure67,2,1,-1
Closure68,25,13,-12
Closure69,25,111,86
Closure70,1,1,0
Closure71,8,372,364
Closure72,888,1142,254
Closure73,1,1,0
Closure74,52,39,-13
Closure75,10,191,181
Closure76,8,89,81
Closure77,23,17,-6
Closure78,54,597,543
Closure79,68,963,895
Closure80,2,141,139
Closure81,3,8,5
Closure82,12,515,503
Closure83,1,1,0
Closure84,2,9,7
Closure85,2,168,166
Closure86,1,1,0
Closure87,7,147,140
Closure88,4,525,521
Closure89,1,1,0
Closure90,12,440,428
Closure91,51,806,755
Closure92,8,89,81
Closure93,6,74,68
Closure94,33,857,824
Closure95,40,214,174
Closure96,2,7,5
Closure97,27,710,683
Closure98,5,119,114
Closure99,4,281,277
Closure100,18,747,729
Closure101,13,674,661
Closure102,148,1276,1128
Closure103,2,85,83
Closure104,8,115,107
Closure105,17,12,-5
Closure106,35,561,526
Closure107,6,601,595
Closure108,13,277,264
Closure109,2,17,15
Closure110,89,287,198
Closure111,28,746,718
Closure112,130,506,376
Closure113,44,676,632
Closure114,111,343,232
Closure115,10,209,199
Closure116,3,49,46
Closure117,1,6,5
Closure118,96,1126,1030
Closure119,1119,522,-597
Closure120,4,187,183
Closure121,78,907,829
Closure122,58,380,322
Closure123,96,372,276
Closure124,4,417,413
Closure125,2,4,2
Closure126,40,941,901
Closure127,1,114,113
Closure128,1,1,0
Closure129,20,1560,1540
Closure130,87,1271,1184
Closure131,13,1069,1056
Closure132,68,972,904
Closure133,7,38,31
Lang1,3,2,-1
Lang2,18,18,0
Lang3,13,2,-11
Lang4,4,2,-2
Lang5,1,1,0
Lang6,1,16,15
Lang7,2,6,4
Lang8,2,2,0
Lang9,29,31,2
Lang10,29,35,6
Lang11,6,6,0
Lang12,2,2,0
Lang13,1,1,0
Lang14,1,1,0
Lang15,1,1,0
Lang16,25,22,-3
Lang17,1,5,4
Lang18,43,91,48
Lang19,1,2,1
Lang20,1,1,0
Lang21,1,1,0
Lang22,1,1,0
Lang24,18,40,22
Lang26,4,5,1
Lang27,1,1,0
Lang28,1,1,0
Lang30,3,8,5
Lang31,1,1,0
Lang32,8,4,-4
Lang33,1,1,0
Lang34,1,1,0
Lang35,4,7,3
Lang37,2,3,1
Lang38,2,9,7
Lang39,5,5,0
Lang40,1,1,0
Lang41,1,6,5
Lang43,5,6,1
Lang44,4,7,3
Lang45,13,11,-2
Lang46,1,1,0
Lang47,13,3,-10
Lang48,1,1,0
Lang49,3,4,1
Lang50,18,20,2
Lang53,39,37,-2
Lang54,1,2,1
Lang55,1,1,0
Lang57,1,1,0
Lang58,2,2,0
Lang59,2,2,0
Lang60,3,3,0
Lang61,22,34,12
Lang63,1,1,0
Lang64,1,1,0
Lang65,7,11,4
Math1,18,177,159
Math2,1,11,10
Math3,10,13,3
Math4,2,52,50
Math5,3,4,1
Math6,12,650,638
Math7,4,26,22
Math8,1,1,0
Math9,2,4,2
Math10,29,29,0
Math12,672,343,-329
Math13,4,51,47
Math14,1,52,51
Math15,2,10,8
Math16,4,5,1
Math17,14,93,79
Math18,24,35,11
Math19,2,16,14
Math20,36,421,385
Math21,6,36,30
Math22,1,4,3
Math23,1,30,29
Math24,3,35,32
Math25,1,1,0
Math26,6,155,149
Math27,1,1,0
Math28,24,104,80
Math29,1,7,6
Math30,2,4,2
Math31,4,6,2
Math32,35,494,459
Math33,2,3,1
Math34,1,1,0
Math35,2,3,1
Math36,2,2,0
Math37,5,11,6
Math38,23,34,11
Math39,19,120,101
Math40,1,1,0
Math41,10,11,1
Math42,10,17,7
Math43,1,9,8
Math44,1,38,37
Math45,1,2,1
Math46,24,15,-9
Math47,107,376,269
Math48,1,116,115
Math49,62,22,-40
Math50,1,2,1
Math51,29,39,10
Math52,1,2,1
Math53,1,1,0
Math54,30,19,-11
Math55,1,1,0
Math56,4,12,8
Math57,45,314,269
Math58,2,273,271
Math59,1,2,1
Math60,1,8,7
Math61,1,33,32
Math62,4,28,24
Math63,1,1,0
Math64,113,190,77
Math65,9,45,36
Math66,9,35,26
Math67,11,51,40
Math68,55,54,-1
Math69,2,3,1
Math70,1,1,0
Math71,14,98,84
Math72,8,8,0
Math73,12,17,5
Math74,32,235,203
Math75,1,2,1
Math76,5,3,-2
Math77,1,10,9
Math78,4,53,49
Math79,2,21,19
Math80,1,1,0
Math81,2,10,8
Math82,9,57,48
Math83,2,2,0
Math84,1,1,0
Math85,2,6,4
Math86,1,1,0
Math87,9,42,33
Math88,1,1,0
Math89,1,1,0
Math90,3,3,0
Math91,1,2,1
Math92,1,1,0
Math93,2,2,0
Math94,13,13,0
Math95,1,2,1
Math96,3,2,-1
Math97,2,2,0
Math98,4,14,10
Math99,3,3,0
Math101,2,4,2
Math102,3,12,9
Math103,1,11,10
Math105,5,14,9
Math106,12,5,-7
Mockito1,5,103,98
Mockito2,3,6,3
Mockito3,2,1,-1
Mockito4,1,2,1
Mockito6,2,2,0
Mockito7,11,42,31
Mockito8,9,4,-5
Mockito9,6,115,109
Mockito10,4,29,25
Mockito11,1,33,32
Mockito12,6,84,78
Mockito13,13,64,51
Mockito14,11,95,84
Mockito15,62,92,30
Mockito16,3,29,26
Mockito17,37,83,46
Mockito18,19,100,81
Mockito19,17,86,69
Mockito20,6,99,93
Mockito21,4,50,46
Mockito22,2,1,-1
Mockito23,6,39,33
Mockito24,24,113,89
Mockito25,1,57,56
Mockito26,18,106,88
Mockito27,14,75,61
Mockito28,2,59,57
Mockito29,71,128,57
Mockito30,3,59,56
Mockito31,7,44,37
Mockito32,189,142,-47
Mockito33,1,20,19
Mockito34,1,6,5
Mockito35,1,1,0
Mockito36,1,1,0
Mockito37,7,106,99
Mockito38,42,122,80
Time1,3,2,-1
Time2,25,311,286
Time3,1,1,0
Time4,24,322,298
Time5,1,4,3
Time6,38,19,-19
Time7,1,2,1
Time8,9,11,2
Time9,5,4,-1
Time10,1,245,244
Time11,587,607,20
Time12,23,422,399
Time13,3,2,-1
Time14,10,467,457
Time15,2,2,0
Time16,9,9,0
Time17,1,5,4
Time18,61,296,235
Time19,1,1,0
Time20,11,13,2
Time21,4,484,480
Time22,2,27,25
Time23,11,23,12
Time24,28,638,610
Time25,3,71,68
Time26,25,720,695
Time27,19,73,54
